dv - | CRITICAL flwr 2024-09-11 13:45:08,322 | server_app.py:61 | running in fedcustom
dv - | CRITICAL flwr 2024-09-11 13:45:08,322 | server_app.py:64 | min num clients 2
dv - | INFO flwr 2024-09-11 13:45:08,322 | app.py:74 | Starting Flower ServerApp, config: num_rounds=20, no round_timeout
dv - | INFO flwr 2024-09-11 13:45:08,322 | app.py:79 | 
dv - | INFO flwr 2024-09-11 13:45:08,322 | server.py:92 | [INIT]
dv - | INFO flwr 2024-09-11 13:45:08,322 | server.py:277 | Using initial global parameters provided by strategy
dv - | INFO flwr 2024-09-11 13:45:08,322 | server.py:94 | Starting evaluation of initial global parameters
dv - | INFO flwr 2024-09-11 13:45:08,322 | server.py:106 | Evaluation returned no results (`None`)
dv - | INFO flwr 2024-09-11 13:45:08,322 | server.py:112 | 
dv - | INFO flwr 2024-09-11 13:45:08,322 | server.py:113 | [ROUND 1]
dv - | CRITICAL flwr 2024-09-11 13:45:08,322 | dvsaa_afl.py:162 | total num of rounds 20
dv - | ERROR flwr 2024-09-11 13:45:08,322 | dvsaa_afl.py:169 | CID_LIST ['503795445624714053', '-8936847233666666962', '-3914441494733611112', '1227754372335181873', '-2882069058387825482', '3290520909799058613', '3834905379212364310', '6527471679806967035']
dv - | ERROR flwr 2024-09-11 13:45:08,322 | dvsaa_afl.py:174 | FIT: GOOD CID LIST['3834905379212364310', '-2882069058387825482', '6527471679806967035', '1227754372335181873', '3290520909799058613', '503795445624714053']
dv - | DEBUG flwr 2024-09-11 13:45:08,322 | dvsaa_afl.py:176 | sample size 6
dv - | INFO flwr 2024-09-11 13:45:08,322 | server.py:226 | configure_fit: strategy sampled 6 clients (out of 8)
dv - | DEBUG flwr 2024-09-11 13:45:11,164 | raybackend.py:136 | Constructed ActorPool with: 4 actors
dv - | DEBUG flwr 2024-09-11 13:45:11,164 | state_factory.py:50 | Using InMemoryState
dv - | INFO flwr 2024-09-11 13:45:29,277 | server.py:240 | aggregate_fit: received 6 results and 0 failures
dv - | WARNING flwr 2024-09-11 13:45:29,277 | fedavg.py:252 | No fit_metrics_aggregation_fn provided
dv - | CRITICAL flwr 2024-09-11 13:45:29,277 | dvsaa_afl.py:109 | num of clients in manager 8
dv - | ERROR flwr 2024-09-11 13:45:29,277 | dvsaa_afl.py:119 | FIT: GOOD CID LIST['-8936847233666666962', '1227754372335181873', '-3914441494733611112', '6527471679806967035', '3834905379212364310', '3290520909799058613']
dv - | INFO flwr 2024-09-11 13:45:29,277 | server.py:178 | configure_evaluate: strategy sampled 6 clients (out of 8)
dv - | INFO flwr 2024-09-11 13:45:31,302 | server.py:192 | aggregate_evaluate: received 6 results and 0 failures
dv - | WARNING flwr 2024-09-11 13:45:31,302 | fedavg.py:283 | No evaluate_metrics_aggregation_fn provided
dv - | INFO flwr 2024-09-11 13:45:31,302 | server.py:112 | 
dv - | INFO flwr 2024-09-11 13:45:31,302 | server.py:113 | [ROUND 2]
dv - | CRITICAL flwr 2024-09-11 13:45:31,302 | dvsaa_afl.py:162 | total num of rounds 20
dv - | ERROR flwr 2024-09-11 13:45:31,302 | dvsaa_afl.py:169 | CID_LIST ['503795445624714053', '-8936847233666666962', '-3914441494733611112', '1227754372335181873', '-2882069058387825482', '3290520909799058613', '3834905379212364310', '6527471679806967035']
dv - | ERROR flwr 2024-09-11 13:45:31,302 | dvsaa_afl.py:174 | FIT: GOOD CID LIST['-2882069058387825482', '-3914441494733611112', '503795445624714053', '1227754372335181873', '3290520909799058613', '3834905379212364310', '-8936847233666666962']
dv - | DEBUG flwr 2024-09-11 13:45:31,302 | dvsaa_afl.py:176 | sample size 7
dv - | INFO flwr 2024-09-11 13:45:31,302 | server.py:226 | configure_fit: strategy sampled 7 clients (out of 8)
dv - | INFO flwr 2024-09-11 13:45:42,377 | server.py:240 | aggregate_fit: received 7 results and 0 failures
dv - | CRITICAL flwr 2024-09-11 13:45:42,377 | dvsaa_afl.py:109 | num of clients in manager 8
dv - | ERROR flwr 2024-09-11 13:45:42,377 | dvsaa_afl.py:119 | FIT: GOOD CID LIST['6527471679806967035', '-3914441494733611112', '1227754372335181873', '3834905379212364310', '-8936847233666666962', '-2882069058387825482', '3290520909799058613']
dv - | INFO flwr 2024-09-11 13:45:42,377 | server.py:178 | configure_evaluate: strategy sampled 7 clients (out of 8)
dv - | INFO flwr 2024-09-11 13:45:44,407 | server.py:192 | aggregate_evaluate: received 7 results and 0 failures
dv - | INFO flwr 2024-09-11 13:45:44,407 | server.py:112 | 
dv - | INFO flwr 2024-09-11 13:45:44,407 | server.py:113 | [ROUND 3]
dv - | CRITICAL flwr 2024-09-11 13:45:44,407 | dvsaa_afl.py:162 | total num of rounds 20
dv - | ERROR flwr 2024-09-11 13:45:44,407 | dvsaa_afl.py:169 | CID_LIST ['503795445624714053', '-8936847233666666962', '-3914441494733611112', '1227754372335181873', '-2882069058387825482', '3290520909799058613', '3834905379212364310', '6527471679806967035']
dv - | ERROR flwr 2024-09-11 13:45:44,407 | dvsaa_afl.py:174 | FIT: GOOD CID LIST['503795445624714053', '3290520909799058613']
dv - | DEBUG flwr 2024-09-11 13:45:44,407 | dvsaa_afl.py:176 | sample size 2
dv - | INFO flwr 2024-09-11 13:45:44,407 | server.py:226 | configure_fit: strategy sampled 2 clients (out of 8)
dv - | INFO flwr 2024-09-11 13:45:49,445 | server.py:240 | aggregate_fit: received 2 results and 0 failures
dv - | CRITICAL flwr 2024-09-11 13:45:49,445 | dvsaa_afl.py:109 | num of clients in manager 8
dv - | ERROR flwr 2024-09-11 13:45:49,445 | dvsaa_afl.py:119 | FIT: GOOD CID LIST['3290520909799058613', '-3914441494733611112']
dv - | INFO flwr 2024-09-11 13:45:49,445 | server.py:178 | configure_evaluate: strategy sampled 2 clients (out of 8)
dv - | INFO flwr 2024-09-11 13:45:50,454 | server.py:192 | aggregate_evaluate: received 2 results and 0 failures
dv - | INFO flwr 2024-09-11 13:45:50,454 | server.py:112 | 
dv - | INFO flwr 2024-09-11 13:45:50,454 | server.py:113 | [ROUND 4]
dv - | CRITICAL flwr 2024-09-11 13:45:50,454 | dvsaa_afl.py:162 | total num of rounds 20
dv - | ERROR flwr 2024-09-11 13:45:50,454 | dvsaa_afl.py:169 | CID_LIST ['503795445624714053', '-8936847233666666962', '-3914441494733611112', '1227754372335181873', '-2882069058387825482', '3290520909799058613', '3834905379212364310', '6527471679806967035']
dv - | ERROR flwr 2024-09-11 13:45:50,454 | dvsaa_afl.py:174 | FIT: GOOD CID LIST['-3914441494733611112', '-8936847233666666962', '-2882069058387825482', '3290520909799058613', '1227754372335181873', '6527471679806967035', '503795445624714053', '3834905379212364310']
dv - | DEBUG flwr 2024-09-11 13:45:50,454 | dvsaa_afl.py:176 | sample size 8
dv - | INFO flwr 2024-09-11 13:45:50,454 | server.py:226 | configure_fit: strategy sampled 8 clients (out of 8)
dv - | INFO flwr 2024-09-11 13:46:02,599 | server.py:240 | aggregate_fit: received 8 results and 0 failures
dv - | CRITICAL flwr 2024-09-11 13:46:02,599 | dvsaa_afl.py:109 | num of clients in manager 8
dv - | ERROR flwr 2024-09-11 13:46:02,599 | dvsaa_afl.py:119 | FIT: GOOD CID LIST['-3914441494733611112', '1227754372335181873', '503795445624714053', '3834905379212364310', '3290520909799058613', '6527471679806967035', '-2882069058387825482', '-8936847233666666962']
dv - | INFO flwr 2024-09-11 13:46:02,599 | server.py:178 | configure_evaluate: strategy sampled 8 clients (out of 8)
dv - | INFO flwr 2024-09-11 13:46:04,628 | server.py:192 | aggregate_evaluate: received 8 results and 0 failures
dv - | INFO flwr 2024-09-11 13:46:04,628 | server.py:112 | 
dv - | INFO flwr 2024-09-11 13:46:04,628 | server.py:113 | [ROUND 5]
dv - | CRITICAL flwr 2024-09-11 13:46:04,628 | dvsaa_afl.py:162 | total num of rounds 20
dv - | ERROR flwr 2024-09-11 13:46:04,628 | dvsaa_afl.py:169 | CID_LIST ['503795445624714053', '-8936847233666666962', '-3914441494733611112', '1227754372335181873', '-2882069058387825482', '3290520909799058613', '3834905379212364310', '6527471679806967035']
dv - | ERROR flwr 2024-09-11 13:46:04,628 | dvsaa_afl.py:174 | FIT: GOOD CID LIST['-3914441494733611112', '3834905379212364310', '1227754372335181873', '-2882069058387825482']
dv - | DEBUG flwr 2024-09-11 13:46:04,628 | dvsaa_afl.py:176 | sample size 4
dv - | INFO flwr 2024-09-11 13:46:04,628 | server.py:226 | configure_fit: strategy sampled 4 clients (out of 8)
dv - | INFO flwr 2024-09-11 13:46:10,689 | server.py:240 | aggregate_fit: received 4 results and 0 failures
dv - | CRITICAL flwr 2024-09-11 13:46:10,689 | dvsaa_afl.py:109 | num of clients in manager 8
dv - | ERROR flwr 2024-09-11 13:46:10,689 | dvsaa_afl.py:119 | FIT: GOOD CID LIST['3290520909799058613', '503795445624714053', '6527471679806967035', '1227754372335181873']
dv - | INFO flwr 2024-09-11 13:46:10,689 | server.py:178 | configure_evaluate: strategy sampled 4 clients (out of 8)
dv - | INFO flwr 2024-09-11 13:46:11,710 | server.py:192 | aggregate_evaluate: received 4 results and 0 failures
dv - | INFO flwr 2024-09-11 13:46:11,710 | server.py:112 | 
dv - | INFO flwr 2024-09-11 13:46:11,710 | server.py:113 | [ROUND 6]
dv - | CRITICAL flwr 2024-09-11 13:46:11,710 | dvsaa_afl.py:162 | total num of rounds 20
dv - | ERROR flwr 2024-09-11 13:46:11,710 | dvsaa_afl.py:169 | CID_LIST ['503795445624714053', '-8936847233666666962', '-3914441494733611112', '1227754372335181873', '-2882069058387825482', '3290520909799058613', '3834905379212364310', '6527471679806967035']
dv - | ERROR flwr 2024-09-11 13:46:11,710 | dvsaa_afl.py:174 | FIT: GOOD CID LIST['1227754372335181873', '503795445624714053', '6527471679806967035']
dv - | DEBUG flwr 2024-09-11 13:46:11,710 | dvsaa_afl.py:176 | sample size 3
dv - | INFO flwr 2024-09-11 13:46:11,710 | server.py:226 | configure_fit: strategy sampled 3 clients (out of 8)
dv - | INFO flwr 2024-09-11 13:46:17,778 | server.py:240 | aggregate_fit: received 3 results and 0 failures
dv - | CRITICAL flwr 2024-09-11 13:46:17,778 | dvsaa_afl.py:109 | num of clients in manager 8
dv - | ERROR flwr 2024-09-11 13:46:17,778 | dvsaa_afl.py:119 | FIT: GOOD CID LIST['1227754372335181873', '-3914441494733611112', '503795445624714053']
