round,accuracy,count
1,0.10047894631810018,7
2,0.10776292157254042,8
3,0.11135501895829175,5
4,0.11275194571941728,7
5,0.09798443424466174,10
6,0.19337457593294752,9
7,0.18030333266813012,7
8,0.1648373578128118,6
9,0.17721013769706645,5
10,0.24116942726002794,7
11,0.20205547794851328,6
12,0.19646777090401119,7
13,0.24276591498702854,7
14,0.22580323288764717,9
15,0.2778886449810417,10
16,0.24695669527040512,3
17,0.24077030532827778,9
18,0.2792855717421672,7
19,0.2221113550189583,5
20,0.3189982039513071,6
21,0.2877669127918579,8
22,0.28517262023548196,6
23,0.29574935142686093,6
24,0.34603871482737975,6
25,0.3183995210536819,6
26,0.34763520255438035,8
27,0.30652564358411494,6
28,0.33616044701656356,9
29,0.27100379165835164,9
30,0.3037317900618639,8
31,0.34813410496906805,7
32,0.3817601277190182,6
33,0.3698862502494512,6
34,0.28487327878666935,8
35,0.39153861504689685,8
36,0.41438834563959287,9
37,0.3458391538615047,5
38,0.3320694472161245,5
39,0.37417681101576533,7
40,0.3650967870684494,7
41,0.42636200359209736,9
42,0.3953302733985232,8
43,0.37287966473757733,5
44,0.4167830772300938,8
45,0.38974256635402116,6
46,0.39642785871083613,10
47,0.4164837357812812,8
48,0.4367391738176013,10
49,0.4069048094192776,12
50,0.43663939333466373,10
51,0.45330273398523246,11
52,0.4512073438435442,7
53,0.39832368788664935,7
54,0.4504090999800439,8
55,0.3940331271203353,5
56,0.45489922171223307,8
57,0.4730592696068649,7
58,0.4090001995609659,7
59,0.4733586110556775,12
60,0.4207742965475953,8
61,0.45619636799042107,7
62,0.45340251446817004,5
63,0.419976052684095,4
64,0.4328477349830373,10
65,0.46657353821592495,9
66,0.44073039313510276,7
67,0.4847335861105568,9
68,0.4248652963480343,8
69,0.469367391738176,6
70,0.4082019556974656,5
71,0.42696068648972263,9
72,0.3946318100179605,5
73,0.45330273398523246,9
74,0.4189782478547196,6
75,0.4872280981839952,8
76,0.474555976850928,10
77,0.43823588106166433,7
78,0.45689483137098386,9
79,0.4628816603472361,6
80,0.4886250249451207,8
81,0.4215725404110956,5
82,0.4207742965475953,3
83,0.4322490520854121,7
84,0.49301536619437236,7
85,0.492017561364997,9
86,0.46358012372779883,6
87,0.4963081221313111,7
88,0.4737577329874277,8
89,0.48303731790061866,8
90,0.49471163440431054,8
91,0.48463380562761926,7
92,0.4714627818798643,9
93,0.44522051486729197,5
94,0.4378367591299142,6
95,0.4986030732388745,7
96,0.49231690281380963,9
97,0.4834364398323688,7
98,0.46846936739173817,8
99,0.49471163440431054,9
100,0.49151865895030933,9
101,0.49580921971662345,7
102,0.502793853522251,5
103,0.42945519856316106,5
104,0.5047894631810018,7
105,0.4995010975853123,9
106,0.5206545599680702,7
107,0.5062861704250649,13
108,0.5248453402514468,6
109,0.498702853721812,8
110,0.45110756336060664,6
111,0.4261624426262223,4
112,0.47954500099780484,11
113,0.5016962682099382,7
114,0.45370185591698264,7
115,0.4944122929554979,6
116,0.48303731790061866,7
117,0.46886848932348835,7
118,0.4737577329874277,6
119,0.4880263420474955,7
120,0.4570943923368589,8
121,0.5070844142885652,8
122,0.4755537816803033,7
123,0.5120734384354421,6
124,0.46717222111355017,6
125,0.47744961085611654,10
126,0.507982438635003,9
127,0.3938335661544602,5
128,0.5179604869287567,7
129,0.5034923169028138,7
130,0.5174615845140691,10
131,0.490720415086809,6
132,0.5093793653961285,5
133,0.46966673318698865,6
134,0.5007982438635002,7
135,0.4460187587307923,6
136,0.44352424665735385,5
137,0.47924565954899223,5
138,0.5164637796846937,10
139,0.4877270005986829,5
140,0.4862302933546198,7
141,0.5043903412492516,7
142,0.45799241668329677,7
143,0.5031929754540012,11
144,0.48253841548593096,6
145,0.463979245659549,6
146,0.4447216124526043,4
147,0.5144681700259429,8
148,0.4748553182997406,6
149,0.41778088205946917,6
150,0.49640790261424866,10
151,0.5208541209339453,11
152,0.5150668529235681,7
153,0.5180602674116943,11
154,0.5100778287766913,8
155,0.49401317102374775,6
156,0.5011973657952504,5
157,0.4750548792656156,7
158,0.5115745360207543,10
159,0.5251446817002594,10
160,0.4856316104569946,8
161,0.5156655358211933,7
162,0.47844741568549193,4
163,0.470664538016364,5
164,0.5042905607663141,7
165,0.48333665934943126,6
166,0.5138694871283177,10
167,0.4862302933546198,6
168,0.502594292556376,7
169,0.48253841548593096,4
170,0.5217521452803832,7
171,0.5229495110756336,8
172,0.4994013171023748,5
173,0.5174615845140691,9
174,0.5186589503093195,9
175,0.5032927559369388,8
176,0.48154061065655557,6
177,0.46517661145479944,6
178,0.5044901217321892,8
179,0.473458391538615,7
180,0.4867291957693075,7
181,0.5061863899421273,6
182,0.48463380562761926,11
183,0.49461185392137297,8
184,0.4472161245260427,4
185,0.4882259030133706,9
186,0.4852324885252445,10
187,0.4690680502893634,7
188,0.44023149072041506,6
189,0.46856914787467574,5
190,0.47874675713430453,6
191,0.5018958291758132,10
192,0.48064258631011775,8
193,0.5019956096587508,7
194,0.4994013171023748,10
195,0.46846936739173817,6
196,0.49401317102374775,6
197,0.5131710237477549,5
198,0.4968070245459988,8
199,0.4570943923368589,6
200,0.4904210736379964,7
