round,accuracy,count
1,0.09688684893234883,4
2,0.0994811414887248,5
3,0.1015765316304131,2
4,0.10167631211335063,3
5,0.1015765316304131,5
6,0.1015765316304131,6
7,0.1015765316304131,6
8,0.14208740770305328,3
9,0.14138894432249052,2
10,0.10147675114747555,4
11,0.11015765316304131,1
12,0.11534623827579325,3
13,0.13739772500498904,3
14,0.09928158052284973,2
15,0.09928158052284973,7
16,0.09928158052284973,0
17,0.12392735980842147,6
18,0.1554579924166833,3
19,0.13350628617042506,4
20,0.15665535821193374,4
21,0.10277389742566354,4
22,0.11923767711035721,3
23,0.10137697066453802,5
24,0.14787467571343046,3
25,0.11744162841748154,2
26,0.10027938535222511,1
27,0.11285172620235481,3
28,0.14977050488924368,6
29,0.139992017561365,7
30,0.17990421073637997,5
31,0.14677709040111755,1
32,0.1508680902015566,5
33,0.1634404310516863,3
34,0.169327479545001,5
35,0.14667730991818,4
36,0.15565755338255838,6
37,0.14707643184993016,3
38,0.18379564957094394,3
39,0.15455996807024547,3
40,0.1377968469367392,5
41,0.18359608860506885,6
42,0.12542406705248454,2
43,0.17970464977050488,4
44,0.15426062662143286,4
45,0.19327479545000997,3
46,0.19347435641588506,4
47,0.20514867291957692,7
48,0.15645579724605868,6
49,0.18768708840550788,4
50,0.1976651366992616,4
51,0.17451606465775293,5
52,0.15525843145080823,5
53,0.15166633406505686,3
54,0.12821792057473558,2
55,0.1658351626421872,1
56,0.17960486928756736,4
57,0.24685691478746757,8
58,0.16832967471562563,2
59,0.20205547794851328,5
60,0.20724406306126522,3
61,0.2189183795649571,7
62,0.16593494312512472,3
63,0.16773099181800039,1
64,0.19806425863101176,8
65,0.16074635801237278,5
66,0.17301935741368987,3
67,0.23697864697665136,5
68,0.18030333266813012,4
69,0.17631211335062863,4
70,0.2037517461584514,4
71,0.19397325883057273,3
72,0.19247655158650967,4
73,0.18728796647375773,2
74,0.17830772300937936,2
75,0.170624625823189,3
76,0.18010377170225503,5
77,0.2154260626621433,1
78,0.24995010975853124,7
79,0.22490520854120935,4
80,0.2541408900419078,6
81,0.205348233885452,4
82,0.23538215924965078,2
83,0.17800838156056675,2
84,0.17132308920375175,1
85,0.1908800638595091,6
86,0.2522450608660946,5
87,0.2740969866294153,2
88,0.22490520854120935,2
89,0.20804230692476552,5
90,0.18020355218519257,3
91,0.20524845340251446,1
92,0.27020554779485134,5
93,0.20075833167032528,2
94,0.1863899421273199,4
95,0.25713430453003394,3
96,0.23887447615246457,5
97,0.24206745160646578,2
98,0.22809818399521054,4
99,0.2611255238475354,2
100,0.2375773298742766,5
101,0.27319896228297746,3
102,0.2658152065455997,4
103,0.25982837756934746,5
104,0.1701257234085013,4
105,0.2525444023149072,4
106,0.2651167431650369,6
107,0.24835362203153064,4
108,0.20764318499301537,2
109,0.28527240071841947,5
110,0.2636200359209739,3
111,0.21971662342845738,2
112,0.29325483935342245,5
113,0.2631211335062862,2
114,0.2450608660945919,2
115,0.20724406306126522,4
116,0.3008381560566753,3
117,0.29475154659748554,5
118,0.27938535222510474,5
119,0.27080423069247656,4
120,0.2298942326880862,2
121,0.21452803831570544,3
122,0.1989622829774496,2
123,0.27479545000997807,4
124,0.2290959888245859,2
125,0.29515066852923566,7
126,0.2928557174216723,4
127,0.28437437637198165,4
128,0.229295549790461,3
129,0.27289962083416486,4
130,0.2077429654759529,3
131,0.24226701257234085,2
132,0.25653562163240873,2
133,0.25374176811015764,2
134,0.25543803632009576,4
135,0.2474555976850928,3
136,0.2935541808022351,3
137,0.23129115944921175,2
138,0.2648174017162243,2
139,0.2624226701257234,4
140,0.25853123129115946,3
141,0.30902015565755336,5
142,0.2764917182199162,3
143,0.2883655956894831,4
144,0.26521652364797443,3
145,0.22779884254639793,1
146,0.3424466174416284,3
147,0.2794851327080423,3
148,0.25643584114947116,1
149,0.27479545000997807,4
150,0.2981440830173618,3
151,0.2983436439832369,5
152,0.285372181201357,2
153,0.3178008381560567,7
154,0.30902015565755336,5
155,0.2605268409499102,2
156,0.34873278786669326,4
157,0.3186988625024945,4
158,0.3506286170425065,7
159,0.25713430453003394,4
160,0.24925164637796848,2
161,0.2783875473957294,4
162,0.2785871083616045,2
163,0.3125124725603672,2
164,0.3117142286968669,5
165,0.3424466174416284,4
166,0.27130313310716425,5
167,0.2650169626820994,4
168,0.28527240071841947,3
169,0.2605268409499102,2
170,0.20125723408501298,1
171,0.2871682298942327,2
172,0.250648573139094,3
173,0.30812213131111554,3
174,0.3127120335262423,5
175,0.24845340251446818,2
176,0.3327679105966873,4
177,0.3295749351426861,5
178,0.2794851327080423,4
179,0.3527240071841948,4
180,0.35002993414488126,5
181,0.32069447216124525,3
182,0.3296747156256236,6
183,0.32378766713230894,5
184,0.27050488924366395,1
185,0.3346637397725005,4
186,0.3582119337457593,8
187,0.32598283775693476,4
188,0.32658152065456,3
189,0.2897625224506087,3
190,0.19886250249451207,1
191,0.2869686689283576,5
192,0.2597285970864099,2
193,0.3420474955098783,3
194,0.3557174216723209,7
195,0.2973458391538615,3
196,0.25533825583715825,2
197,0.2927559369387348,2
198,0.3415485930951906,3
199,0.3509279584913191,4
200,0.3396527639193774,4
