round,accuracy,count
1,0.11205348233885452,6
2,0.10337258032328876,6
3,0.10327279984035123,6
4,0.10327279984035123,6
5,0.10327279984035123,10
6,0.10327279984035123,8
7,0.10327279984035123,8
8,0.10327279984035123,6
9,0.10327279984035123,6
10,0.10327279984035123,7
11,0.10327279984035123,5
12,0.10327279984035123,5
13,0.10327279984035123,6
14,0.10566753143085213,8
15,0.14208740770305328,10
16,0.11624426262223109,5
17,0.14857313909399322,9
18,0.1463779684693674,7
19,0.10387148273797644,6
20,0.1018758730792257,5
21,0.10137697066453802,7
22,0.09938136100578727,9
23,0.14777489523049292,5
24,0.16224306525643584,7
25,0.11025743364597884,5
26,0.1621432847734983,8
27,0.10456994611853922,6
28,0.1122530433047296,11
29,0.11434843344641787,11
30,0.10596687287966473,7
31,0.10017960486928756,6
32,0.09998004390341249,6
33,0.1251247256036719,6
34,0.12043504290560766,7
35,0.11694272600279386,8
36,0.10716423867491519,10
37,0.14837357812811813,6
38,0.12462582318898424,5
39,0.12472560367192177,6
40,0.138694871283177,6
41,0.1642386749151866,8
42,0.16523647974456196,8
43,0.1306126521652365,7
44,0.16114547994412293,8
45,0.1458790660546797,6
46,0.14847335861105568,10
47,0.12432648174017162,8
48,0.1808022350828178,10
49,0.19686689283576134,11
50,0.16074635801237278,6
51,0.20894033127120334,12
52,0.18629016164438236,9
53,0.18798642985432049,8
54,0.235980842147276,8
55,0.18299740570744363,6
56,0.17401716224306527,8
57,0.2327878666932748,10
58,0.1911794053083217,8
59,0.23368589103971263,12
60,0.19347435641588506,7
61,0.20953901416882859,8
62,0.20544801436838955,4
63,0.2235082817800838,6
64,0.2485531829974057,10
65,0.22061464777489523,7
66,0.2589303532229096,7
67,0.21462781879864298,8
68,0.21462781879864298,9
69,0.18818599082019558,5
70,0.21851925763320695,5
71,0.23079225703452405,6
72,0.22101376970664538,6
73,0.21382957493514268,9
74,0.19696667331869885,4
75,0.22999401317102375,10
76,0.2624226701257234,11
77,0.24565954899221712,7
78,0.24805428058271803,9
79,0.24166832967471563,7
80,0.25952903612053485,8
81,0.2512472560367192,7
82,0.22660147675114747,5
83,0.25713430453003394,6
84,0.2581321093594093,6
85,0.2725004989024147,9
86,0.2248054280582718,5
87,0.25483935342247055,5
88,0.26012771901816006,7
89,0.2508481341049691,7
90,0.2428656954699661,7
91,0.24326481740171624,6
92,0.2788864498104171,10
93,0.2789862302933546,6
94,0.2581321093594093,8
95,0.28008381560566753,6
96,0.2898623029335462,7
97,0.2437637198164039,6
98,0.3047295948912393,9
99,0.24256635402115345,7
100,0.2651167431650369,9
101,0.28407503492316905,8
102,0.2610257433645979,7
103,0.28627020554779486,6
104,0.28287766912791856,7
105,0.29664737577329875,9
106,0.28497305926960687,8
107,0.2901616443823588,12
108,0.29135901017760923,7
109,0.29315505887048493,8
110,0.2729994013171024,6
111,0.2496507683097186,4
112,0.30882059469167833,11
113,0.29634803432448614,7
114,0.2495509878267811,7
115,0.2149271602474556,6
116,0.2900618638994213,7
117,0.287966473757733,8
118,0.3197964478148074,6
119,0.2756934743564159,7
120,0.2925563759728597,7
121,0.32708042306924767,8
122,0.2664138894432249,6
123,0.3247854719616843,8
124,0.2864697665136699,6
125,0.29664737577329875,8
126,0.331969666733187,7
127,0.28068249850329274,5
128,0.25503891438834564,7
129,0.28567152265016965,7
130,0.3215924965076831,11
131,0.3381560566753143,5
132,0.2882658152065456,4
133,0.27240071841947716,6
134,0.3053282777888645,8
135,0.30882059469167833,5
136,0.2899620834164837,6
137,0.27988425463979244,5
138,0.34943125124725605,9
139,0.32209139892237076,7
140,0.3292755936938735,7
141,0.2922570345240471,7
142,0.34494112951506684,6
143,0.30882059469167833,9
144,0.3153063260826182,4
145,0.31909798443424464,8
146,0.29874276591498705,5
147,0.3019357413689882,9
148,0.2896627419676711,5
149,0.3300738375573738,7
150,0.3141089602873678,8
151,0.3020355218519258,10
152,0.33935342247056477,8
153,0.3066254240670525,9
154,0.33186988625024944,8
155,0.3047295948912393,8
156,0.25753342646178407,5
157,0.3563161045699461,8
158,0.3276791059668729,9
159,0.290760327279984,9
160,0.3522251047695071,9
161,0.337357812811814,6
162,0.3231889842346837,2
163,0.2667132308920375,6
164,0.3605068848533227,7
165,0.3388545200558771,6
166,0.33875473957293956,10
167,0.29455198563161045,7
168,0.32049491119537016,7
169,0.28706844941129517,5
170,0.36060666533626023,6
171,0.33556176411893834,8
172,0.2775893035322291,6
173,0.32468569147874676,7
174,0.3403512272999401,9
175,0.3341648373578128,9
176,0.2872680103771702,6
177,0.3312712033526242,5
178,0.3578128118140092,7
179,0.2992416683296747,7
180,0.3053282777888645,7
181,0.33516264218718816,7
182,0.3708840550788266,12
183,0.3287766912791858,8
184,0.3415485930951906,5
185,0.3717820794252644,12
186,0.33406505687487525,11
187,0.32438635002993416,7
188,0.28357613250848135,6
189,0.29554979046098584,6
190,0.3268808621033726,6
191,0.30632608261823985,10
192,0.3647974456196368,5
193,0.3426461784075035,7
194,0.32219117940530834,8
195,0.327878666932748,5
196,0.33825583715825186,6
197,0.3528237876671323,6
198,0.355916982638196,6
199,0.2994412292955498,6
200,0.36948712831770103,8
