dv - | INFO flwr 2024-11-11 17:51:43,966 | server_app.py:105 | file writing: True
dv - | INFO flwr 2024-11-11 17:51:43,966 | server_app.py:106 | running in fed_avg
dv - | INFO flwr 2024-11-11 17:51:43,966 | server_app.py:107 | min num clients 2
dv - | INFO flwr 2024-11-11 17:51:43,966 | server_app.py:108 | num server rounds 200
dv - | INFO flwr 2024-11-11 17:51:43,966 | server_app.py:109 | config num local epochs 10
dv - | INFO flwr 2024-11-11 17:51:43,966 | server_app.py:110 | advanced logging False
dv - | INFO flwr 2024-11-11 17:51:43,966 | server_app.py:111 | partition: dirichlet
dv - | INFO flwr 2024-11-11 17:51:43,966 | server_app.py:112 | fraction: 2
dv - | INFO flwr 2024-11-11 17:51:43,966 | app.py:74 | Starting Flower ServerApp, config: num_rounds=200, no round_timeout
dv - | INFO flwr 2024-11-11 17:51:43,966 | app.py:79 | 
dv - | INFO flwr 2024-11-11 17:51:43,967 | server.py:92 | [INIT]
dv - | INFO flwr 2024-11-11 17:51:43,967 | server.py:277 | Using initial global parameters provided by strategy
dv - | INFO flwr 2024-11-11 17:51:43,967 | server.py:94 | Starting evaluation of initial global parameters
dv - | INFO flwr 2024-11-11 17:51:43,967 | server.py:106 | Evaluation returned no results (`None`)
dv - | INFO flwr 2024-11-11 17:51:43,967 | server.py:112 | 
dv - | INFO flwr 2024-11-11 17:51:43,967 | server.py:113 | [ROUND 1]
dv - | DEBUG flwr 2024-11-11 17:51:43,967 | fed_custom.py:179 | random sample
dv - | INFO flwr 2024-11-11 17:51:43,967 | fed_custom.py:200 | configure_fit: strategy returns 3 out of range 26 and round 13
dv - | INFO flwr 2024-11-11 17:51:43,967 | server.py:226 | configure_fit: strategy sampled 3 clients (out of 50)
dv - | DEBUG flwr 2024-11-11 17:51:46,190 | raybackend.py:141 | Constructed ActorPool with: 12 actors
dv - | DEBUG flwr 2024-11-11 17:51:46,190 | state_factory.py:50 | Using InMemoryState
dv - | INFO flwr 2024-11-11 17:51:51,489 | server.py:240 | aggregate_fit: received 3 results and 0 failures
dv - | WARNING flwr 2024-11-11 17:51:51,490 | federal_avg.py:121 | No fit_metrics_aggregation_fn provided
dv - | INFO flwr 2024-11-11 17:51:51,491 | server.py:178 | configure_evaluate: strategy sampled 50 clients (out of 50)
dv - | INFO flwr 2024-11-11 17:51:54,909 | server.py:192 | aggregate_evaluate: received 50 results and 0 failures
dv - | INFO flwr 2024-11-11 17:51:54,909 | fed_custom.py:294 | aggregated accuracy: 0.09798443424466174
dv - | INFO flwr 2024-11-11 17:51:54,909 | server.py:112 | 
dv - | INFO flwr 2024-11-11 17:51:54,909 | server.py:113 | [ROUND 2]
dv - | DEBUG flwr 2024-11-11 17:51:54,909 | fed_custom.py:179 | random sample
dv - | INFO flwr 2024-11-11 17:51:54,909 | fed_custom.py:200 | configure_fit: strategy returns 3 out of range 26 and round 13
dv - | INFO flwr 2024-11-11 17:51:54,909 | server.py:226 | configure_fit: strategy sampled 3 clients (out of 50)
dv - | INFO flwr 2024-11-11 17:51:56,413 | server.py:240 | aggregate_fit: received 3 results and 0 failures
dv - | INFO flwr 2024-11-11 17:51:56,414 | server.py:178 | configure_evaluate: strategy sampled 50 clients (out of 50)
dv - | INFO flwr 2024-11-11 17:51:56,825 | server.py:192 | aggregate_evaluate: received 50 results and 0 failures
dv - | INFO flwr 2024-11-11 17:51:56,825 | fed_custom.py:294 | aggregated accuracy: 0.10367192177210138
dv - | INFO flwr 2024-11-11 17:51:56,826 | server.py:112 | 
dv - | INFO flwr 2024-11-11 17:51:56,826 | server.py:113 | [ROUND 3]
dv - | DEBUG flwr 2024-11-11 17:51:56,826 | fed_custom.py:179 | random sample
dv - | INFO flwr 2024-11-11 17:51:56,826 | fed_custom.py:200 | configure_fit: strategy returns 3 out of range 24 and round 12
dv - | INFO flwr 2024-11-11 17:51:56,826 | server.py:226 | configure_fit: strategy sampled 3 clients (out of 50)
dv - | INFO flwr 2024-11-11 17:51:58,729 | server.py:240 | aggregate_fit: received 3 results and 0 failures
dv - | INFO flwr 2024-11-11 17:51:58,731 | server.py:178 | configure_evaluate: strategy sampled 50 clients (out of 50)
dv - | INFO flwr 2024-11-11 17:51:59,141 | server.py:192 | aggregate_evaluate: received 50 results and 0 failures
dv - | INFO flwr 2024-11-11 17:51:59,141 | fed_custom.py:294 | aggregated accuracy: 0.1707244063061265
dv - | INFO flwr 2024-11-11 17:51:59,141 | server.py:112 | 
