round,accuracy,count
1,0.10736379964079026,8
2,0.09429255637597286,8
3,0.09928158052284973,5
4,0.10047894631810018,7
5,0.10277389742566354,10
6,0.10237477549391338,8
7,0.10247455597685093,8
8,0.12412692077429655,6
9,0.16334065056874875,6
10,0.12083416483735782,7
11,0.10077828776691279,5
12,0.11744162841748154,6
13,0.14757533426461783,7
14,0.19966074635801237,9
15,0.18170025942925563,9
16,0.15635601676312114,5
17,0.17621233286769108,9
18,0.2045499900219517,7
19,0.18888445420075833,6
20,0.22071442825783277,6
21,0.1863899421273199,8
22,0.21263220913989223,9
23,0.21742167232089404,6
24,0.17561364997006584,8
25,0.22739972061464778,4
26,0.16992616244262623,8
27,0.2154260626621433,4
28,0.2485531829974057,11
29,0.2688086210337258,9
30,0.26651366992616243,8
31,0.22739972061464778,8
32,0.23637996407902614,8
33,0.2766912791857913,8
34,0.25643584114947116,8
35,0.24775493913390542,8
36,0.21432847734983038,8
37,0.23079225703452405,6
38,0.2434643783675913,5
39,0.2589303532229096,4
40,0.27878666932747953,7
41,0.30911993614049094,10
42,0.29804430253442427,8
43,0.25324286569546994,7
44,0.2847734983037318,8
45,0.24067052484534024,6
46,0.2735980842147276,10
47,0.30981839952105367,8
48,0.2796846936739174,10
49,0.3189982039513071,11
50,0.2655158650967871,7
51,0.29954100977848735,11
52,0.2356815006984634,6
53,0.3027339852324885,7
54,0.289463181001796,8
55,0.25563759728597085,5
56,0.3231889842346837,7
57,0.31400917980443027,9
58,0.3066254240670525,8
59,0.34065056874875277,12
60,0.33446417880662543,9
61,0.3242865695469966,9
62,0.3312712033526242,6
63,0.3257832767910597,4
64,0.31450808221911797,9
65,0.2776890840151666,10
66,0.3253841548593095,7
67,0.3562163240870086,9
68,0.30862103372580324,10
69,0.29934144881261227,6
70,0.35082817800838156,4
71,0.342546397924566,8
72,0.3247854719616843,6
73,0.36569546996607466,10
74,0.3644981041708242,5
75,0.3189982039513071,11
76,0.31720215525843143,10
77,0.3843544202753941,8
78,0.3407503492316903,9
79,0.300039912193175,5
80,0.31879864298543203,7
81,0.31061664338455397,5
82,0.2688086210337258,5
83,0.3538215924965077,6
84,0.2785871083616045,5
85,0.32049491119537016,8
86,0.3312712033526242,5
87,0.30941927758930354,6
88,0.3804629814408302,7
89,0.32518459389343446,8
90,0.3362602274995011,7
91,0.32757932548393537,7
92,0.390640590700459,11
93,0.34524047096387944,6
94,0.355916982638196,5
95,0.3327679105966873,6
96,0.3699860307323887,7
97,0.38605068848533225,7
98,0.352025543803632,10
99,0.3931351027738974,10
100,0.3803632009578926,9
101,0.3668928357613251,8
102,0.2646178407503492,5
103,0.38744761524645777,7
104,0.3856515665535821,7
105,0.3700858112153263,10
106,0.37487527439632806,8
107,0.40181600478946317,12
108,0.37687088405507885,6
109,0.4058072241069647,8
110,0.41578527240071844,7
111,0.33526242267012574,4
112,0.3911394931151467,11
113,0.3678906405907005,7
114,0.404011175414089,7
115,0.3112153262821792,6
116,0.40261424865296347,6
117,0.37078427459588903,8
118,0.3639992017561365,6
119,0.40949910197565353,9
120,0.38944322490520855,8
121,0.41428856515665535,9
122,0.4098982239074037,8
123,0.4181800039912193,9
124,0.37028537218120133,6
125,0.42227100379165833,10
126,0.3540211534623828,8
127,0.34763520255438035,3
128,0.36489722610257436,6
129,0.40351227299940134,8
130,0.39103971263220916,10
131,0.40281380961883856,6
132,0.38914388345639594,5
133,0.45459988026342046,7
134,0.38335661544601873,8
135,0.3949311514667731,5
136,0.36340051885851127,6
137,0.38974256635402116,4
138,0.35002993414488126,9
139,0.3898423468369587,8
140,0.37986429854320497,8
141,0.3933346637397725,6
142,0.4108960287367791,6
143,0.44921173418479343,10
144,0.4080023947315905,6
145,0.3997206146477749,7
146,0.38854520055877073,5
147,0.42845739373378566,9
148,0.43155058870484936,5
149,0.41957693075234487,8
150,0.44282578327679106,8
151,0.40441029734583916,10
152,0.41368988225903014,8
153,0.45050888046298143,9
154,0.4577928557174217,6
155,0.3548193973258831,7
156,0.3956296148473359,6
157,0.4116942726002794,8
158,0.4473159050089802,7
159,0.4345440031929755,10
160,0.4458191977649172,10
161,0.3936340051885851,7
162,0.37766912791857915,4
163,0.29425264418279784,4
164,0.3968269806425863,7
165,0.3665934943125125,6
166,0.45110756336060664,11
167,0.45529834364398325,7
168,0.38635002993414486,8
169,0.3968269806425863,4
170,0.43823588106166433,6
171,0.4586908800638595,8
172,0.41668329674715626,6
173,0.4116942726002794,8
174,0.45300339253641986,10
175,0.4108960287367791,8
176,0.44462183196966676,5
177,0.41907802833765717,7
178,0.42336858910397124,7
179,0.4580921971662343,8
180,0.4067052484534025,8
181,0.4482139293554181,8
182,0.46657353821592495,11
183,0.45300339253641986,8
184,0.4602873677908601,6
185,0.4474156854919178,12
186,0.39982039513071244,10
187,0.43135102773897427,7
188,0.44492117341847937,6
189,0.40231490720415086,5
190,0.45160646577529434,7
191,0.45160646577529434,10
192,0.4111953701855917,6
193,0.46966673318698865,8
194,0.4379365396128517,8
195,0.4487128317701058,6
196,0.44362402714029137,6
197,0.3680902015565755,5
198,0.42526441827978445,8
199,0.43743763719816403,8
200,0.4520055877070445,10
