dv - | INFO flwr 2024-11-11 17:41:24,468 | server_app.py:105 | file writing: True
dv - | INFO flwr 2024-11-11 17:41:24,468 | server_app.py:106 | running in fed_ftrim
dv - | INFO flwr 2024-11-11 17:41:24,469 | server_app.py:107 | min num clients 2
dv - | INFO flwr 2024-11-11 17:41:24,469 | server_app.py:108 | num server rounds 200
dv - | INFO flwr 2024-11-11 17:41:24,469 | server_app.py:109 | config num local epochs 2
dv - | INFO flwr 2024-11-11 17:41:24,469 | server_app.py:110 | advanced logging False
dv - | INFO flwr 2024-11-11 17:41:24,469 | server_app.py:111 | partition: dirichlet
dv - | INFO flwr 2024-11-11 17:41:24,469 | server_app.py:112 | fraction: 2
dv - | INFO flwr 2024-11-11 17:41:24,469 | app.py:74 | Starting Flower ServerApp, config: num_rounds=200, no round_timeout
dv - | INFO flwr 2024-11-11 17:41:24,469 | app.py:79 | 
dv - | INFO flwr 2024-11-11 17:41:24,469 | server.py:92 | [INIT]
dv - | INFO flwr 2024-11-11 17:41:24,469 | server.py:277 | Using initial global parameters provided by strategy
dv - | INFO flwr 2024-11-11 17:41:24,469 | server.py:94 | Starting evaluation of initial global parameters
dv - | INFO flwr 2024-11-11 17:41:24,469 | server.py:106 | Evaluation returned no results (`None`)
dv - | INFO flwr 2024-11-11 17:41:24,469 | server.py:112 | 
dv - | INFO flwr 2024-11-11 17:41:24,469 | server.py:113 | [ROUND 1]
dv - | DEBUG flwr 2024-11-11 17:41:24,469 | fed_custom.py:174 | SMART sample
dv - | INFO flwr 2024-11-11 17:41:24,469 | fed_custom.py:200 | configure_fit: strategy returns 7 out of range 26 and round 13
dv - | INFO flwr 2024-11-11 17:41:24,470 | server.py:226 | configure_fit: strategy sampled 7 clients (out of 50)
dv - | DEBUG flwr 2024-11-11 17:41:27,723 | raybackend.py:141 | Constructed ActorPool with: 12 actors
dv - | DEBUG flwr 2024-11-11 17:41:27,723 | state_factory.py:50 | Using InMemoryState
dv - | INFO flwr 2024-11-11 17:41:32,122 | server.py:240 | aggregate_fit: received 7 results and 0 failures
dv - | INFO flwr 2024-11-11 17:41:32,124 | server.py:178 | configure_evaluate: strategy sampled 50 clients (out of 50)
dv - | INFO flwr 2024-11-11 17:41:35,433 | server.py:192 | aggregate_evaluate: received 50 results and 0 failures
dv - | INFO flwr 2024-11-11 17:41:35,433 | fed_custom.py:294 | aggregated accuracy: 0.09958092197166234
dv - | INFO flwr 2024-11-11 17:41:35,433 | server.py:112 | 
dv - | INFO flwr 2024-11-11 17:41:35,433 | server.py:113 | [ROUND 2]
dv - | DEBUG flwr 2024-11-11 17:41:35,433 | fed_custom.py:174 | SMART sample
dv - | INFO flwr 2024-11-11 17:41:35,433 | fed_custom.py:200 | configure_fit: strategy returns 9 out of range 26 and round 13
dv - | INFO flwr 2024-11-11 17:41:35,433 | server.py:226 | configure_fit: strategy sampled 9 clients (out of 50)
dv - | INFO flwr 2024-11-11 17:41:36,339 | server.py:240 | aggregate_fit: received 9 results and 0 failures
dv - | INFO flwr 2024-11-11 17:41:36,342 | server.py:178 | configure_evaluate: strategy sampled 50 clients (out of 50)
dv - | INFO flwr 2024-11-11 17:41:36,759 | server.py:192 | aggregate_evaluate: received 50 results and 0 failures
dv - | INFO flwr 2024-11-11 17:41:36,759 | fed_custom.py:294 | aggregated accuracy: 0.09928158052284973
dv - | INFO flwr 2024-11-11 17:41:36,760 | server.py:112 | 
dv - | INFO flwr 2024-11-11 17:41:36,760 | server.py:113 | [ROUND 3]
dv - | DEBUG flwr 2024-11-11 17:41:36,760 | fed_custom.py:174 | SMART sample
dv - | INFO flwr 2024-11-11 17:41:36,760 | fed_custom.py:200 | configure_fit: strategy returns 6 out of range 24 and round 12
dv - | INFO flwr 2024-11-11 17:41:36,760 | server.py:226 | configure_fit: strategy sampled 6 clients (out of 50)
dv - | INFO flwr 2024-11-11 17:41:37,264 | server.py:240 | aggregate_fit: received 6 results and 0 failures
dv - | INFO flwr 2024-11-11 17:41:37,266 | server.py:178 | configure_evaluate: strategy sampled 50 clients (out of 50)
dv - | INFO flwr 2024-11-11 17:41:37,678 | server.py:192 | aggregate_evaluate: received 50 results and 0 failures
dv - | INFO flwr 2024-11-11 17:41:37,678 | fed_custom.py:294 | aggregated accuracy: 0.09928158052284973
dv - | INFO flwr 2024-11-11 17:41:37,678 | server.py:112 | 
dv - | INFO flwr 2024-11-11 17:41:37,678 | server.py:113 | [ROUND 4]
dv - | DEBUG flwr 2024-11-11 17:41:37,679 | fed_custom.py:174 | SMART sample
dv - | INFO flwr 2024-11-11 17:41:37,679 | fed_custom.py:200 | configure_fit: strategy returns 6 out of range 24 and round 12
dv - | INFO flwr 2024-11-11 17:41:37,679 | server.py:226 | configure_fit: strategy sampled 6 clients (out of 50)
dv - | INFO flwr 2024-11-11 17:41:38,484 | server.py:240 | aggregate_fit: received 6 results and 0 failures
dv - | INFO flwr 2024-11-11 17:41:38,487 | server.py:178 | configure_evaluate: strategy sampled 50 clients (out of 50)
dv - | INFO flwr 2024-11-11 17:41:38,999 | server.py:192 | aggregate_evaluate: received 50 results and 0 failures
dv - | INFO flwr 2024-11-11 17:41:38,999 | fed_custom.py:294 | aggregated accuracy: 0.1015765316304131
dv - | INFO flwr 2024-11-11 17:41:38,999 | server.py:112 | 
dv - | INFO flwr 2024-11-11 17:41:38,999 | server.py:113 | [ROUND 5]
dv - | DEBUG flwr 2024-11-11 17:41:38,999 | fed_custom.py:174 | SMART sample
dv - | INFO flwr 2024-11-11 17:41:38,999 | fed_custom.py:200 | configure_fit: strategy returns 9 out of range 38 and round 19
dv - | INFO flwr 2024-11-11 17:41:38,999 | server.py:226 | configure_fit: strategy sampled 9 clients (out of 50)
dv - | INFO flwr 2024-11-11 17:41:40,202 | server.py:240 | aggregate_fit: received 9 results and 0 failures
dv - | INFO flwr 2024-11-11 17:41:40,205 | server.py:178 | configure_evaluate: strategy sampled 50 clients (out of 50)
dv - | INFO flwr 2024-11-11 17:41:40,712 | server.py:192 | aggregate_evaluate: received 50 results and 0 failures
dv - | INFO flwr 2024-11-11 17:41:40,712 | fed_custom.py:294 | aggregated accuracy: 0.10177609259628817
dv - | INFO flwr 2024-11-11 17:41:40,712 | server.py:112 | 
dv - | INFO flwr 2024-11-11 17:41:40,712 | server.py:113 | [ROUND 6]
dv - | DEBUG flwr 2024-11-11 17:41:40,712 | fed_custom.py:174 | SMART sample
dv - | INFO flwr 2024-11-11 17:41:40,713 | fed_custom.py:200 | configure_fit: strategy returns 7 out of range 30 and round 15
dv - | INFO flwr 2024-11-11 17:41:40,713 | server.py:226 | configure_fit: strategy sampled 7 clients (out of 50)
dv - | INFO flwr 2024-11-11 17:41:41,615 | server.py:240 | aggregate_fit: received 7 results and 0 failures
dv - | INFO flwr 2024-11-11 17:41:41,617 | server.py:178 | configure_evaluate: strategy sampled 50 clients (out of 50)
dv - | INFO flwr 2024-11-11 17:41:42,127 | server.py:192 | aggregate_evaluate: received 50 results and 0 failures
dv - | INFO flwr 2024-11-11 17:41:42,127 | fed_custom.py:294 | aggregated accuracy: 0.09928158052284973
dv - | INFO flwr 2024-11-11 17:41:42,127 | server.py:112 | 
dv - | INFO flwr 2024-11-11 17:41:42,127 | server.py:113 | [ROUND 7]
dv - | DEBUG flwr 2024-11-11 17:41:42,128 | fed_custom.py:174 | SMART sample
dv - | INFO flwr 2024-11-11 17:41:42,128 | fed_custom.py:200 | configure_fit: strategy returns 8 out of range 26 and round 13
dv - | INFO flwr 2024-11-11 17:41:42,128 | server.py:226 | configure_fit: strategy sampled 8 clients (out of 50)
dv - | INFO flwr 2024-11-11 17:41:42,930 | server.py:240 | aggregate_fit: received 8 results and 0 failures
dv - | INFO flwr 2024-11-11 17:41:42,933 | server.py:178 | configure_evaluate: strategy sampled 50 clients (out of 50)
dv - | INFO flwr 2024-11-11 17:41:43,441 | server.py:192 | aggregate_evaluate: received 50 results and 0 failures
dv - | INFO flwr 2024-11-11 17:41:43,441 | fed_custom.py:294 | aggregated accuracy: 0.09928158052284973
dv - | INFO flwr 2024-11-11 17:41:43,442 | server.py:112 | 
dv - | INFO flwr 2024-11-11 17:41:43,442 | server.py:113 | [ROUND 8]
dv - | DEBUG flwr 2024-11-11 17:41:43,442 | fed_custom.py:174 | SMART sample
dv - | INFO flwr 2024-11-11 17:41:43,442 | fed_custom.py:200 | configure_fit: strategy returns 6 out of range 16 and round 8
dv - | INFO flwr 2024-11-11 17:41:43,442 | server.py:226 | configure_fit: strategy sampled 6 clients (out of 50)
dv - | INFO flwr 2024-11-11 17:41:44,045 | server.py:240 | aggregate_fit: received 6 results and 0 failures
dv - | INFO flwr 2024-11-11 17:41:44,047 | server.py:178 | configure_evaluate: strategy sampled 50 clients (out of 50)
dv - | INFO flwr 2024-11-11 17:41:44,558 | server.py:192 | aggregate_evaluate: received 50 results and 0 failures
dv - | INFO flwr 2024-11-11 17:41:44,558 | fed_custom.py:294 | aggregated accuracy: 0.09928158052284973
dv - | INFO flwr 2024-11-11 17:41:44,558 | server.py:112 | 
dv - | INFO flwr 2024-11-11 17:41:44,558 | server.py:113 | [ROUND 9]
dv - | DEBUG flwr 2024-11-11 17:41:44,558 | fed_custom.py:174 | SMART sample
dv - | INFO flwr 2024-11-11 17:41:44,558 | fed_custom.py:200 | configure_fit: strategy returns 7 out of range 24 and round 12
dv - | INFO flwr 2024-11-11 17:41:44,559 | server.py:226 | configure_fit: strategy sampled 7 clients (out of 50)
dv - | INFO flwr 2024-11-11 17:41:45,362 | server.py:240 | aggregate_fit: received 7 results and 0 failures
dv - | INFO flwr 2024-11-11 17:41:45,365 | server.py:178 | configure_evaluate: strategy sampled 50 clients (out of 50)
dv - | INFO flwr 2024-11-11 17:41:45,871 | server.py:192 | aggregate_evaluate: received 50 results and 0 failures
dv - | INFO flwr 2024-11-11 17:41:45,871 | fed_custom.py:294 | aggregated accuracy: 0.12821792057473558
dv - | INFO flwr 2024-11-11 17:41:45,871 | server.py:112 | 
dv - | INFO flwr 2024-11-11 17:41:45,871 | server.py:113 | [ROUND 10]
dv - | DEBUG flwr 2024-11-11 17:41:45,871 | fed_custom.py:174 | SMART sample
dv - | INFO flwr 2024-11-11 17:41:45,871 | fed_custom.py:200 | configure_fit: strategy returns 5 out of range 18 and round 9
dv - | INFO flwr 2024-11-11 17:41:45,871 | server.py:226 | configure_fit: strategy sampled 5 clients (out of 50)
dv - | INFO flwr 2024-11-11 17:41:46,474 | server.py:240 | aggregate_fit: received 5 results and 0 failures
dv - | INFO flwr 2024-11-11 17:41:46,476 | server.py:178 | configure_evaluate: strategy sampled 50 clients (out of 50)
dv - | INFO flwr 2024-11-11 17:41:46,892 | server.py:192 | aggregate_evaluate: received 50 results and 0 failures
dv - | INFO flwr 2024-11-11 17:41:46,893 | fed_custom.py:294 | aggregated accuracy: 0.1015765316304131
dv - | INFO flwr 2024-11-11 17:41:46,893 | server.py:112 | 
dv - | INFO flwr 2024-11-11 17:41:46,893 | server.py:113 | [ROUND 11]
dv - | DEBUG flwr 2024-11-11 17:41:46,893 | fed_custom.py:174 | SMART sample
dv - | INFO flwr 2024-11-11 17:41:46,893 | fed_custom.py:200 | configure_fit: strategy returns 5 out of range 25 and round 12
dv - | INFO flwr 2024-11-11 17:41:46,893 | server.py:226 | configure_fit: strategy sampled 5 clients (out of 50)
dv - | INFO flwr 2024-11-11 17:41:47,496 | server.py:240 | aggregate_fit: received 5 results and 0 failures
dv - | INFO flwr 2024-11-11 17:41:47,498 | server.py:178 | configure_evaluate: strategy sampled 50 clients (out of 50)
dv - | INFO flwr 2024-11-11 17:41:47,919 | server.py:192 | aggregate_evaluate: received 50 results and 0 failures
dv - | INFO flwr 2024-11-11 17:41:47,919 | fed_custom.py:294 | aggregated accuracy: 0.10327279984035123
dv - | INFO flwr 2024-11-11 17:41:47,919 | server.py:112 | 
dv - | INFO flwr 2024-11-11 17:41:47,919 | server.py:113 | [ROUND 12]
