dv - | CRITICAL flwr 2024-10-12 18:03:38,669 | server_app.py:81 | file writing: True
dv - | CRITICAL flwr 2024-10-12 18:03:38,669 | server_app.py:82 | running in fed_agg
dv - | CRITICAL flwr 2024-10-12 18:03:38,670 | server_app.py:83 | min num clients 2
dv - | CRITICAL flwr 2024-10-12 18:03:38,670 | server_app.py:84 | num server rounds 100
dv - | CRITICAL flwr 2024-10-12 18:03:38,670 | server_app.py:85 | num local epochs 2
dv - | CRITICAL flwr 2024-10-12 18:03:38,670 | server_app.py:86 | advanced logging False
dv - | INFO flwr 2024-10-12 18:03:38,671 | app.py:74 | Starting Flower ServerApp, config: num_rounds=100, no round_timeout
dv - | INFO flwr 2024-10-12 18:03:38,671 | app.py:79 | 
dv - | INFO flwr 2024-10-12 18:03:38,672 | server.py:92 | [INIT]
dv - | INFO flwr 2024-10-12 18:03:38,676 | server.py:277 | Using initial global parameters provided by strategy
dv - | INFO flwr 2024-10-12 18:03:38,676 | server.py:94 | Starting evaluation of initial global parameters
dv - | INFO flwr 2024-10-12 18:03:38,676 | server.py:106 | Evaluation returned no results (`None`)
dv - | INFO flwr 2024-10-12 18:03:38,677 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:03:38,677 | server.py:113 | [ROUND 1]
dv - | INFO flwr 2024-10-12 18:03:38,677 | server.py:226 | configure_fit: strategy sampled 51 clients (out of 100)
dv - | DEBUG flwr 2024-10-12 18:03:45,361 | raybackend.py:141 | Constructed ActorPool with: 6 actors
dv - | DEBUG flwr 2024-10-12 18:03:45,361 | state_factory.py:50 | Using InMemoryState
dv - | INFO flwr 2024-10-12 18:04:12,377 | server.py:240 | aggregate_fit: received 51 results and 0 failures
dv - | CRITICAL flwr 2024-10-12 18:04:12,377 | fed_agg.py:124 | in place!
dv - | INFO flwr 2024-10-12 18:04:12,420 | server.py:178 | configure_evaluate: strategy sampled 51 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:04:16,435 | server.py:192 | aggregate_evaluate: received 51 results and 0 failures
dv - | INFO flwr 2024-10-12 18:04:16,435 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:04:16,435 | server.py:113 | [ROUND 2]
dv - | INFO flwr 2024-10-12 18:04:16,437 | server.py:226 | configure_fit: strategy sampled 52 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:04:26,484 | server.py:240 | aggregate_fit: received 52 results and 0 failures
dv - | INFO flwr 2024-10-12 18:04:26,524 | server.py:178 | configure_evaluate: strategy sampled 52 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:04:30,543 | server.py:192 | aggregate_evaluate: received 52 results and 0 failures
dv - | INFO flwr 2024-10-12 18:04:30,544 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:04:30,544 | server.py:113 | [ROUND 3]
dv - | INFO flwr 2024-10-12 18:04:30,544 | server.py:226 | configure_fit: strategy sampled 48 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:04:40,589 | server.py:240 | aggregate_fit: received 48 results and 0 failures
dv - | INFO flwr 2024-10-12 18:04:40,623 | server.py:178 | configure_evaluate: strategy sampled 48 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:04:43,668 | server.py:192 | aggregate_evaluate: received 48 results and 0 failures
dv - | INFO flwr 2024-10-12 18:04:43,669 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:04:43,669 | server.py:113 | [ROUND 4]
dv - | INFO flwr 2024-10-12 18:04:43,670 | server.py:226 | configure_fit: strategy sampled 49 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:04:53,719 | server.py:240 | aggregate_fit: received 49 results and 0 failures
dv - | INFO flwr 2024-10-12 18:04:53,772 | server.py:178 | configure_evaluate: strategy sampled 49 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:04:57,783 | server.py:192 | aggregate_evaluate: received 49 results and 0 failures
dv - | INFO flwr 2024-10-12 18:04:57,784 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:04:57,784 | server.py:113 | [ROUND 5]
dv - | INFO flwr 2024-10-12 18:04:57,785 | server.py:226 | configure_fit: strategy sampled 69 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:05:12,835 | server.py:240 | aggregate_fit: received 69 results and 0 failures
dv - | INFO flwr 2024-10-12 18:05:12,893 | server.py:178 | configure_evaluate: strategy sampled 69 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:05:17,910 | server.py:192 | aggregate_evaluate: received 69 results and 0 failures
dv - | INFO flwr 2024-10-12 18:05:17,911 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:05:17,911 | server.py:113 | [ROUND 6]
dv - | INFO flwr 2024-10-12 18:05:17,912 | server.py:226 | configure_fit: strategy sampled 57 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:05:28,960 | server.py:240 | aggregate_fit: received 57 results and 0 failures
dv - | INFO flwr 2024-10-12 18:05:29,006 | server.py:178 | configure_evaluate: strategy sampled 57 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:05:33,038 | server.py:192 | aggregate_evaluate: received 57 results and 0 failures
dv - | INFO flwr 2024-10-12 18:05:33,038 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:05:33,039 | server.py:113 | [ROUND 7]
dv - | INFO flwr 2024-10-12 18:05:33,039 | server.py:226 | configure_fit: strategy sampled 51 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:05:43,079 | server.py:240 | aggregate_fit: received 51 results and 0 failures
dv - | INFO flwr 2024-10-12 18:05:43,113 | server.py:178 | configure_evaluate: strategy sampled 51 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:05:47,129 | server.py:192 | aggregate_evaluate: received 51 results and 0 failures
dv - | INFO flwr 2024-10-12 18:05:47,130 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:05:47,130 | server.py:113 | [ROUND 8]
dv - | INFO flwr 2024-10-12 18:05:47,130 | server.py:226 | configure_fit: strategy sampled 37 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:05:55,160 | server.py:240 | aggregate_fit: received 37 results and 0 failures
dv - | INFO flwr 2024-10-12 18:05:55,185 | server.py:178 | configure_evaluate: strategy sampled 37 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:05:58,199 | server.py:192 | aggregate_evaluate: received 37 results and 0 failures
dv - | INFO flwr 2024-10-12 18:05:58,199 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:05:58,200 | server.py:113 | [ROUND 9]
dv - | INFO flwr 2024-10-12 18:05:58,200 | server.py:226 | configure_fit: strategy sampled 49 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:06:09,226 | server.py:240 | aggregate_fit: received 49 results and 0 failures
dv - | INFO flwr 2024-10-12 18:06:09,265 | server.py:178 | configure_evaluate: strategy sampled 49 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:06:13,279 | server.py:192 | aggregate_evaluate: received 49 results and 0 failures
dv - | INFO flwr 2024-10-12 18:06:13,280 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:06:13,280 | server.py:113 | [ROUND 10]
dv - | INFO flwr 2024-10-12 18:06:13,280 | server.py:226 | configure_fit: strategy sampled 40 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:06:21,318 | server.py:240 | aggregate_fit: received 40 results and 0 failures
dv - | INFO flwr 2024-10-12 18:06:21,346 | server.py:178 | configure_evaluate: strategy sampled 40 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:06:24,387 | server.py:192 | aggregate_evaluate: received 40 results and 0 failures
dv - | INFO flwr 2024-10-12 18:06:24,388 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:06:24,388 | server.py:113 | [ROUND 11]
dv - | INFO flwr 2024-10-12 18:06:24,389 | server.py:226 | configure_fit: strategy sampled 50 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:06:35,430 | server.py:240 | aggregate_fit: received 50 results and 0 failures
dv - | INFO flwr 2024-10-12 18:06:35,495 | server.py:178 | configure_evaluate: strategy sampled 50 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:06:39,509 | server.py:192 | aggregate_evaluate: received 50 results and 0 failures
dv - | INFO flwr 2024-10-12 18:06:39,510 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:06:39,511 | server.py:113 | [ROUND 12]
dv - | INFO flwr 2024-10-12 18:06:39,511 | server.py:226 | configure_fit: strategy sampled 45 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:06:49,576 | server.py:240 | aggregate_fit: received 45 results and 0 failures
dv - | INFO flwr 2024-10-12 18:06:49,621 | server.py:178 | configure_evaluate: strategy sampled 45 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:06:52,648 | server.py:192 | aggregate_evaluate: received 45 results and 0 failures
dv - | INFO flwr 2024-10-12 18:06:52,649 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:06:52,649 | server.py:113 | [ROUND 13]
dv - | INFO flwr 2024-10-12 18:06:52,650 | server.py:226 | configure_fit: strategy sampled 49 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:07:02,706 | server.py:240 | aggregate_fit: received 49 results and 0 failures
dv - | INFO flwr 2024-10-12 18:07:02,750 | server.py:178 | configure_evaluate: strategy sampled 49 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:07:06,761 | server.py:192 | aggregate_evaluate: received 49 results and 0 failures
dv - | INFO flwr 2024-10-12 18:07:06,762 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:07:06,763 | server.py:113 | [ROUND 14]
dv - | INFO flwr 2024-10-12 18:07:06,763 | server.py:226 | configure_fit: strategy sampled 52 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:07:17,778 | server.py:240 | aggregate_fit: received 52 results and 0 failures
dv - | INFO flwr 2024-10-12 18:07:17,827 | server.py:178 | configure_evaluate: strategy sampled 52 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:07:21,846 | server.py:192 | aggregate_evaluate: received 52 results and 0 failures
dv - | INFO flwr 2024-10-12 18:07:21,847 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:07:21,847 | server.py:113 | [ROUND 15]
dv - | INFO flwr 2024-10-12 18:07:21,847 | server.py:226 | configure_fit: strategy sampled 65 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:07:34,901 | server.py:240 | aggregate_fit: received 65 results and 0 failures
dv - | INFO flwr 2024-10-12 18:07:34,957 | server.py:178 | configure_evaluate: strategy sampled 65 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:07:39,970 | server.py:192 | aggregate_evaluate: received 65 results and 0 failures
dv - | INFO flwr 2024-10-12 18:07:39,971 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:07:39,971 | server.py:113 | [ROUND 16]
dv - | INFO flwr 2024-10-12 18:07:39,972 | server.py:226 | configure_fit: strategy sampled 47 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:07:50,011 | server.py:240 | aggregate_fit: received 47 results and 0 failures
dv - | INFO flwr 2024-10-12 18:07:50,049 | server.py:178 | configure_evaluate: strategy sampled 47 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:07:53,117 | server.py:192 | aggregate_evaluate: received 47 results and 0 failures
dv - | INFO flwr 2024-10-12 18:07:53,118 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:07:53,118 | server.py:113 | [ROUND 17]
dv - | INFO flwr 2024-10-12 18:07:53,118 | server.py:226 | configure_fit: strategy sampled 54 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:08:05,152 | server.py:240 | aggregate_fit: received 54 results and 0 failures
dv - | INFO flwr 2024-10-12 18:08:05,206 | server.py:178 | configure_evaluate: strategy sampled 54 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:08:09,231 | server.py:192 | aggregate_evaluate: received 54 results and 0 failures
dv - | INFO flwr 2024-10-12 18:08:09,231 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:08:09,232 | server.py:113 | [ROUND 18]
dv - | INFO flwr 2024-10-12 18:08:09,232 | server.py:226 | configure_fit: strategy sampled 53 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:08:22,365 | server.py:240 | aggregate_fit: received 53 results and 0 failures
dv - | INFO flwr 2024-10-12 18:08:22,438 | server.py:178 | configure_evaluate: strategy sampled 53 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:08:26,465 | server.py:192 | aggregate_evaluate: received 53 results and 0 failures
dv - | INFO flwr 2024-10-12 18:08:26,466 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:08:26,466 | server.py:113 | [ROUND 19]
dv - | INFO flwr 2024-10-12 18:08:26,466 | server.py:226 | configure_fit: strategy sampled 43 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:08:36,510 | server.py:240 | aggregate_fit: received 43 results and 0 failures
dv - | INFO flwr 2024-10-12 18:08:36,566 | server.py:178 | configure_evaluate: strategy sampled 43 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:08:39,617 | server.py:192 | aggregate_evaluate: received 43 results and 0 failures
dv - | INFO flwr 2024-10-12 18:08:39,618 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:08:39,619 | server.py:113 | [ROUND 20]
dv - | INFO flwr 2024-10-12 18:08:39,619 | server.py:226 | configure_fit: strategy sampled 46 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:08:50,680 | server.py:240 | aggregate_fit: received 46 results and 0 failures
dv - | INFO flwr 2024-10-12 18:08:50,723 | server.py:178 | configure_evaluate: strategy sampled 46 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:08:53,785 | server.py:192 | aggregate_evaluate: received 46 results and 0 failures
dv - | INFO flwr 2024-10-12 18:08:53,785 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:08:53,786 | server.py:113 | [ROUND 21]
dv - | INFO flwr 2024-10-12 18:08:53,786 | server.py:226 | configure_fit: strategy sampled 51 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:09:04,846 | server.py:240 | aggregate_fit: received 51 results and 0 failures
dv - | INFO flwr 2024-10-12 18:09:04,897 | server.py:178 | configure_evaluate: strategy sampled 51 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:09:08,916 | server.py:192 | aggregate_evaluate: received 51 results and 0 failures
dv - | INFO flwr 2024-10-12 18:09:08,917 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:09:08,918 | server.py:113 | [ROUND 22]
dv - | INFO flwr 2024-10-12 18:09:08,918 | server.py:226 | configure_fit: strategy sampled 43 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:09:20,003 | server.py:240 | aggregate_fit: received 43 results and 0 failures
dv - | INFO flwr 2024-10-12 18:09:20,048 | server.py:178 | configure_evaluate: strategy sampled 43 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:09:23,088 | server.py:192 | aggregate_evaluate: received 43 results and 0 failures
dv - | INFO flwr 2024-10-12 18:09:23,089 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:09:23,090 | server.py:113 | [ROUND 23]
dv - | INFO flwr 2024-10-12 18:09:23,090 | server.py:226 | configure_fit: strategy sampled 53 clients (out of 100)
