round,accuracy,count
1,0.11153330353151543,9
2,0.1815344176113028,5
3,0.1470345963756178,6
4,0.1661295520464067,5
5,0.278450887061878,5
6,0.21293319042515185,8
7,0.27026308796173265,4
8,0.3063400576368876,5
9,0.24587298504563992,4
10,0.31534772182254195,3
11,0.3009758602978942,3
12,0.31054036024016013,7
13,0.47804878048780486,3
14,0.2877002115442732,3
15,0.29045290240272165,4
16,0.318006318006318,5
17,0.3577568563241916,2
18,0.2907608695652174,2
19,0.3241695303550974,7
20,0.31150395071648584,7
21,0.2940529735132434,10
22,0.3608351915669978,5
23,0.33871745419479266,8
24,0.3138465760944147,8
25,0.3915940543311123,6
26,0.32853285328532855,4
27,0.3900372054568003,4
28,0.4772843287391526,3
29,0.4634427173287277,2
30,0.3208308126638435,5
