round,FedAvg,count
1,0.11584821428571429,9
2,0.2594853903183602,5
3,0.15009041591320071,6
4,0.1968691509273439,5
5,0.23497720679651884,5
6,0.16509491733006737,8
7,0.2359312455851189,4
8,0.2157308009909166,5
9,0.17659804983748645,4
10,0.4285249104526213,3
11,0.27587927163881265,3
12,0.25656668361294693,7
13,0.3866467364225212,3
14,0.370436649964209,3
15,0.3538247566063978,4
16,0.3174718488921177,5
17,0.3308562197092084,2
18,0.4466750313676286,2
19,0.3319070032805591,7
20,0.3837936822829239,7
21,0.3134432783608196,10
22,0.3337964571031608,5
23,0.3445814406229721,8
24,0.3198570471297744,8
25,0.3289009932713874,6
26,0.42867383512544804,4
27,0.43509103807046584,4
28,0.45215686274509803,3
29,0.36717151043798607,2
30,0.4462922573609597,5
