round,accuracy,count
1,0.0985993775011116,9
2,0.21023198011599006,5
3,0.21420389461626574,6
4,0.16113028472821397,5
5,0.24381412190706095,5
6,0.20960415314730693,8
7,0.25146198830409355,4
8,0.35091496232508074,5
9,0.31868674401382374,4
10,0.2883512097779995,3
11,0.2596339113680154,3
12,0.28826291079812205,7
13,0.42914674049836393,3
14,0.39035087719298245,3
15,0.3656798245614035,4
16,0.2980649742588319,5
17,0.5132508833922261,2
18,0.5008833922261484,2
19,0.26992113135708456,7
20,0.37503632664922987,7
21,0.32373813093453274,10
22,0.357733413994757,5
23,0.3383556306013768,8
24,0.33616786305908336,8
25,0.3210880538418396,6
26,0.42693540998625745,4
27,0.30851340796667537,4
28,0.539366515837104,3
29,0.44526315789473686,2
30,0.46319854611540207,5
