dv - | DEBUG flwr 2024-10-14 15:23:11,604 | run_simulation.py:349 | ServerApp finished running.
dv - | DEBUG flwr 2024-10-14 15:23:11,604 | run_simulation.py:353 | Triggered stop event for Simulation Engine.
dv - | DEBUG flwr 2024-10-14 15:23:12,567 | ray_actor.py:450 | Terminated 4 actors
dv - | DEBUG flwr 2024-10-14 15:23:13,064 | raybackend.py:184 | Terminated RayBackend
dv - | INFO flwr 2024-10-14 15:27:09,140 | server_app.py:88 | file writing: True
dv - | INFO flwr 2024-10-14 15:27:09,140 | server_app.py:89 | running in fed_equal
dv - | INFO flwr 2024-10-14 15:27:09,140 | server_app.py:90 | min num clients 2
dv - | INFO flwr 2024-10-14 15:27:09,141 | server_app.py:91 | num server rounds 30
dv - | INFO flwr 2024-10-14 15:27:09,141 | server_app.py:92 | config num local epochs 1
dv - | INFO flwr 2024-10-14 15:27:09,141 | server_app.py:93 | advanced logging False
dv - | INFO flwr 2024-10-14 15:27:09,141 | app.py:74 | Starting Flower ServerApp, config: num_rounds=30, no round_timeout
dv - | INFO flwr 2024-10-14 15:27:09,142 | app.py:79 | 
dv - | INFO flwr 2024-10-14 15:27:09,143 | server.py:92 | [INIT]
dv - | INFO flwr 2024-10-14 15:27:09,143 | server.py:277 | Using initial global parameters provided by strategy
dv - | INFO flwr 2024-10-14 15:27:09,144 | server.py:94 | Starting evaluation of initial global parameters
dv - | INFO flwr 2024-10-14 15:27:09,144 | server.py:106 | Evaluation returned no results (`None`)
dv - | INFO flwr 2024-10-14 15:27:09,145 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:27:09,145 | server.py:113 | [ROUND 1]
dv - | INFO flwr 2024-10-14 15:27:09,146 | server.py:226 | configure_fit: strategy sampled 9 clients (out of 10)
dv - | DEBUG flwr 2024-10-14 15:27:12,064 | raybackend.py:136 | Constructed ActorPool with: 4 actors
dv - | DEBUG flwr 2024-10-14 15:27:12,064 | state_factory.py:50 | Using InMemoryState
dv - | INFO flwr 2024-10-14 15:27:35,283 | server.py:240 | aggregate_fit: received 9 results and 0 failures
dv - | INFO flwr 2024-10-14 15:27:35,290 | server.py:178 | configure_evaluate: strategy sampled 9 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:27:37,314 | server.py:192 | aggregate_evaluate: received 9 results and 0 failures
dv - | INFO flwr 2024-10-14 15:27:37,315 | fed_custom.py:227 | aggregated accuracy: 0.0985993775011116
dv - | INFO flwr 2024-10-14 15:27:37,316 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:27:37,316 | server.py:113 | [ROUND 2]
dv - | INFO flwr 2024-10-14 15:27:37,317 | server.py:226 | configure_fit: strategy sampled 5 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:27:45,418 | server.py:240 | aggregate_fit: received 5 results and 0 failures
dv - | INFO flwr 2024-10-14 15:27:45,424 | server.py:178 | configure_evaluate: strategy sampled 5 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:27:46,446 | server.py:192 | aggregate_evaluate: received 5 results and 0 failures
dv - | INFO flwr 2024-10-14 15:27:46,447 | fed_custom.py:227 | aggregated accuracy: 0.21023198011599006
dv - | INFO flwr 2024-10-14 15:27:46,447 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:27:46,447 | server.py:113 | [ROUND 3]
dv - | INFO flwr 2024-10-14 15:27:46,448 | server.py:226 | configure_fit: strategy sampled 6 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:27:58,575 | server.py:240 | aggregate_fit: received 6 results and 0 failures
dv - | INFO flwr 2024-10-14 15:27:58,581 | server.py:178 | configure_evaluate: strategy sampled 6 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:28:00,589 | server.py:192 | aggregate_evaluate: received 6 results and 0 failures
dv - | INFO flwr 2024-10-14 15:28:00,590 | fed_custom.py:227 | aggregated accuracy: 0.21420389461626574
dv - | INFO flwr 2024-10-14 15:28:00,591 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:28:00,591 | server.py:113 | [ROUND 4]
dv - | INFO flwr 2024-10-14 15:28:00,592 | server.py:226 | configure_fit: strategy sampled 5 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:28:09,692 | server.py:240 | aggregate_fit: received 5 results and 0 failures
dv - | INFO flwr 2024-10-14 15:28:09,696 | server.py:178 | configure_evaluate: strategy sampled 5 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:28:10,723 | server.py:192 | aggregate_evaluate: received 5 results and 0 failures
dv - | INFO flwr 2024-10-14 15:28:10,723 | fed_custom.py:227 | aggregated accuracy: 0.16113028472821397
dv - | INFO flwr 2024-10-14 15:28:10,724 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:28:10,724 | server.py:113 | [ROUND 5]
dv - | INFO flwr 2024-10-14 15:28:10,724 | server.py:226 | configure_fit: strategy sampled 5 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:28:20,821 | server.py:240 | aggregate_fit: received 5 results and 0 failures
dv - | INFO flwr 2024-10-14 15:28:20,826 | server.py:178 | configure_evaluate: strategy sampled 5 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:28:21,837 | server.py:192 | aggregate_evaluate: received 5 results and 0 failures
dv - | INFO flwr 2024-10-14 15:28:21,837 | fed_custom.py:227 | aggregated accuracy: 0.24381412190706095
dv - | INFO flwr 2024-10-14 15:28:21,838 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:28:21,838 | server.py:113 | [ROUND 6]
dv - | INFO flwr 2024-10-14 15:28:21,838 | server.py:226 | configure_fit: strategy sampled 8 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:28:34,995 | server.py:240 | aggregate_fit: received 8 results and 0 failures
dv - | INFO flwr 2024-10-14 15:28:35,002 | server.py:178 | configure_evaluate: strategy sampled 8 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:28:37,034 | server.py:192 | aggregate_evaluate: received 8 results and 0 failures
dv - | INFO flwr 2024-10-14 15:28:37,035 | fed_custom.py:227 | aggregated accuracy: 0.20960415314730693
dv - | INFO flwr 2024-10-14 15:28:37,035 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:28:37,037 | server.py:113 | [ROUND 7]
dv - | INFO flwr 2024-10-14 15:28:37,038 | server.py:226 | configure_fit: strategy sampled 4 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:28:44,115 | server.py:240 | aggregate_fit: received 4 results and 0 failures
dv - | INFO flwr 2024-10-14 15:28:44,120 | server.py:178 | configure_evaluate: strategy sampled 4 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:28:45,133 | server.py:192 | aggregate_evaluate: received 4 results and 0 failures
dv - | INFO flwr 2024-10-14 15:28:45,134 | fed_custom.py:227 | aggregated accuracy: 0.25146198830409355
dv - | INFO flwr 2024-10-14 15:28:45,135 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:28:45,135 | server.py:113 | [ROUND 8]
dv - | INFO flwr 2024-10-14 15:28:45,136 | server.py:226 | configure_fit: strategy sampled 5 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:28:51,196 | server.py:240 | aggregate_fit: received 5 results and 0 failures
dv - | INFO flwr 2024-10-14 15:28:51,201 | server.py:178 | configure_evaluate: strategy sampled 5 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:28:52,225 | server.py:192 | aggregate_evaluate: received 5 results and 0 failures
dv - | INFO flwr 2024-10-14 15:28:52,226 | fed_custom.py:227 | aggregated accuracy: 0.35091496232508074
dv - | INFO flwr 2024-10-14 15:28:52,228 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:28:52,229 | server.py:113 | [ROUND 9]
dv - | INFO flwr 2024-10-14 15:28:52,229 | server.py:226 | configure_fit: strategy sampled 4 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:28:59,311 | server.py:240 | aggregate_fit: received 4 results and 0 failures
dv - | INFO flwr 2024-10-14 15:28:59,315 | server.py:178 | configure_evaluate: strategy sampled 4 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:29:00,334 | server.py:192 | aggregate_evaluate: received 4 results and 0 failures
dv - | INFO flwr 2024-10-14 15:29:00,334 | fed_custom.py:227 | aggregated accuracy: 0.31868674401382374
dv - | INFO flwr 2024-10-14 15:29:00,335 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:29:00,335 | server.py:113 | [ROUND 10]
dv - | INFO flwr 2024-10-14 15:29:00,336 | server.py:226 | configure_fit: strategy sampled 3 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:29:08,406 | server.py:240 | aggregate_fit: received 3 results and 0 failures
dv - | INFO flwr 2024-10-14 15:29:08,411 | server.py:178 | configure_evaluate: strategy sampled 3 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:29:09,432 | server.py:192 | aggregate_evaluate: received 3 results and 0 failures
dv - | INFO flwr 2024-10-14 15:29:09,433 | fed_custom.py:227 | aggregated accuracy: 0.2883512097779995
dv - | INFO flwr 2024-10-14 15:29:09,434 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:29:09,434 | server.py:113 | [ROUND 11]
dv - | INFO flwr 2024-10-14 15:29:09,435 | server.py:226 | configure_fit: strategy sampled 3 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:29:17,519 | server.py:240 | aggregate_fit: received 3 results and 0 failures
dv - | INFO flwr 2024-10-14 15:29:17,523 | server.py:178 | configure_evaluate: strategy sampled 3 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:29:18,541 | server.py:192 | aggregate_evaluate: received 3 results and 0 failures
dv - | INFO flwr 2024-10-14 15:29:18,542 | fed_custom.py:227 | aggregated accuracy: 0.2596339113680154
dv - | INFO flwr 2024-10-14 15:29:18,542 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:29:18,543 | server.py:113 | [ROUND 12]
dv - | INFO flwr 2024-10-14 15:29:18,544 | server.py:226 | configure_fit: strategy sampled 7 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:29:30,693 | server.py:240 | aggregate_fit: received 7 results and 0 failures
dv - | INFO flwr 2024-10-14 15:29:30,699 | server.py:178 | configure_evaluate: strategy sampled 7 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:29:32,722 | server.py:192 | aggregate_evaluate: received 7 results and 0 failures
dv - | INFO flwr 2024-10-14 15:29:32,723 | fed_custom.py:227 | aggregated accuracy: 0.28826291079812205
dv - | INFO flwr 2024-10-14 15:29:32,724 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:29:32,724 | server.py:113 | [ROUND 13]
dv - | INFO flwr 2024-10-14 15:29:32,726 | server.py:226 | configure_fit: strategy sampled 3 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:29:40,809 | server.py:240 | aggregate_fit: received 3 results and 0 failures
dv - | INFO flwr 2024-10-14 15:29:40,813 | server.py:178 | configure_evaluate: strategy sampled 3 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:29:41,837 | server.py:192 | aggregate_evaluate: received 3 results and 0 failures
dv - | INFO flwr 2024-10-14 15:29:41,838 | fed_custom.py:227 | aggregated accuracy: 0.42914674049836393
dv - | INFO flwr 2024-10-14 15:29:41,838 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:29:41,839 | server.py:113 | [ROUND 14]
dv - | INFO flwr 2024-10-14 15:29:41,839 | server.py:226 | configure_fit: strategy sampled 3 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:29:51,953 | server.py:240 | aggregate_fit: received 3 results and 0 failures
dv - | INFO flwr 2024-10-14 15:29:51,958 | server.py:178 | configure_evaluate: strategy sampled 3 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:29:54,007 | server.py:192 | aggregate_evaluate: received 3 results and 0 failures
dv - | INFO flwr 2024-10-14 15:29:54,007 | fed_custom.py:227 | aggregated accuracy: 0.39035087719298245
dv - | INFO flwr 2024-10-14 15:29:54,008 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:29:54,009 | server.py:113 | [ROUND 15]
dv - | INFO flwr 2024-10-14 15:29:54,009 | server.py:226 | configure_fit: strategy sampled 4 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:30:00,093 | server.py:240 | aggregate_fit: received 4 results and 0 failures
dv - | INFO flwr 2024-10-14 15:30:00,097 | server.py:178 | configure_evaluate: strategy sampled 4 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:30:01,120 | server.py:192 | aggregate_evaluate: received 4 results and 0 failures
dv - | INFO flwr 2024-10-14 15:30:01,121 | fed_custom.py:227 | aggregated accuracy: 0.3656798245614035
dv - | INFO flwr 2024-10-14 15:30:01,121 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:30:01,122 | server.py:113 | [ROUND 16]
dv - | INFO flwr 2024-10-14 15:30:01,123 | server.py:226 | configure_fit: strategy sampled 5 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:30:11,247 | server.py:240 | aggregate_fit: received 5 results and 0 failures
dv - | INFO flwr 2024-10-14 15:30:11,253 | server.py:178 | configure_evaluate: strategy sampled 5 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:30:12,275 | server.py:192 | aggregate_evaluate: received 5 results and 0 failures
dv - | INFO flwr 2024-10-14 15:30:12,276 | fed_custom.py:227 | aggregated accuracy: 0.2980649742588319
dv - | INFO flwr 2024-10-14 15:30:12,276 | server.py:112 | 
dv - | INFO flwr 2024-10-14 15:30:12,277 | server.py:113 | [ROUND 17]
dv - | INFO flwr 2024-10-14 15:30:12,277 | server.py:226 | configure_fit: strategy sampled 2 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:30:17,341 | server.py:240 | aggregate_fit: received 2 results and 0 failures
dv - | INFO flwr 2024-10-14 15:30:17,344 | server.py:178 | configure_evaluate: strategy sampled 2 clients (out of 10)
dv - | INFO flwr 2024-10-14 15:30:18,363 | server.py:192 | aggregate_evaluate: received 2 results and 0 failures
