round,FedFuzz,count
1,0.11706694512124377,9
2,0.26734524304113005,5
3,0.09397089397089398,6
4,0.13307794803464357,5
5,0.2068426536992011,5
6,0.1727167032683116,8
7,0.2790497996565541,4
8,0.2473412826297132,5
9,0.29046015712682377,4
10,0.3175698998964446,3
11,0.32717000513610683,3
12,0.22817514277943976,7
13,0.37547709923664124,3
14,0.2810286014169509,3
15,0.33558951965065503,4
16,0.282785038305543,5
17,0.37286012526096035,2
18,0.4581560283687943,2
19,0.2765112516546551,7
20,0.3215686274509804,7
21,0.30904547726136933,10
22,0.3632939565142955,5
23,0.3194730341704405,8
24,0.34517504198423976,8
25,0.39457286432160804,6
26,0.42182968626417083,4
27,0.4728553667633651,4
28,0.42776288352695857,3
29,0.41352009744214374,2
30,0.4110685694396102,5
