round,accuracy,count
1,0.10586734693877552,9
2,0.10294896697863323,5
3,0.11351351351351352,6
4,0.12092040385066917,5
5,0.12825072238275173,5
6,0.1343533616260889,8
7,0.19671689989235738,4
8,0.26268939393939394,5
9,0.32189804424495033,4
10,0.3509708737864078,3
11,0.19636902556502409,3
12,0.24580385629074766,7
13,0.34238310708898945,3
14,0.22261712439418416,3
15,0.19041517170681702,4
16,0.30224294914501443,5
17,0.3622595169873107,2
18,0.45828144458281445,2
19,0.27181795448862217,7
20,0.2596422582448295,7
21,0.27096451774112945,10
22,0.34319943622269206,5
23,0.2821352133954425,8
24,0.29907445779803843,8
25,0.29250696835546813,6
26,0.40127248793330406,4
27,0.2787909068198851,4
28,0.4264194669756663,3
29,0.3370044052863436,2
30,0.41864951768488745,5
