dv - | INFO flwr 2024-10-13 18:57:25,324 | server_app.py:87 | file writing: True
dv - | INFO flwr 2024-10-13 18:57:25,324 | server_app.py:88 | running in fed_loss
dv - | INFO flwr 2024-10-13 18:57:25,324 | server_app.py:89 | min num clients 2
dv - | INFO flwr 2024-10-13 18:57:25,325 | server_app.py:90 | num server rounds 30
dv - | INFO flwr 2024-10-13 18:57:25,325 | server_app.py:91 | config num local epochs 1
dv - | INFO flwr 2024-10-13 18:57:25,325 | server_app.py:92 | advanced logging False
dv - | INFO flwr 2024-10-13 18:57:25,326 | app.py:74 | Starting Flower ServerApp, config: num_rounds=30, no round_timeout
dv - | INFO flwr 2024-10-13 18:57:25,326 | app.py:79 | 
dv - | INFO flwr 2024-10-13 18:57:25,327 | server.py:92 | [INIT]
dv - | INFO flwr 2024-10-13 18:57:25,327 | server.py:277 | Using initial global parameters provided by strategy
dv - | INFO flwr 2024-10-13 18:57:25,328 | server.py:94 | Starting evaluation of initial global parameters
dv - | INFO flwr 2024-10-13 18:57:25,328 | server.py:106 | Evaluation returned no results (`None`)
dv - | INFO flwr 2024-10-13 18:57:25,328 | server.py:112 | 
dv - | INFO flwr 2024-10-13 18:57:25,328 | server.py:113 | [ROUND 1]
dv - | INFO flwr 2024-10-13 18:57:25,329 | server.py:226 | configure_fit: strategy sampled 9 clients (out of 10)
dv - | DEBUG flwr 2024-10-13 18:57:32,461 | raybackend.py:141 | Constructed ActorPool with: 6 actors
dv - | DEBUG flwr 2024-10-13 18:57:32,461 | state_factory.py:50 | Using InMemoryState
dv - | INFO flwr 2024-10-13 18:58:04,467 | server.py:240 | aggregate_fit: received 9 results and 0 failures
dv - | INFO flwr 2024-10-13 18:58:04,476 | server.py:178 | configure_evaluate: strategy sampled 9 clients (out of 10)
dv - | INFO flwr 2024-10-13 18:58:06,494 | server.py:192 | aggregate_evaluate: received 9 results and 0 failures
dv - | INFO flwr 2024-10-13 18:58:06,495 | fed_custom.py:236 | aggregated accuracy: 0.10586734693877552
dv - | INFO flwr 2024-10-13 18:58:06,495 | server.py:112 | 
dv - | INFO flwr 2024-10-13 18:58:06,496 | server.py:113 | [ROUND 2]
dv - | INFO flwr 2024-10-13 18:58:06,496 | server.py:226 | configure_fit: strategy sampled 5 clients (out of 10)
dv - | INFO flwr 2024-10-13 18:58:17,505 | server.py:240 | aggregate_fit: received 5 results and 0 failures
dv - | INFO flwr 2024-10-13 18:58:17,510 | server.py:178 | configure_evaluate: strategy sampled 5 clients (out of 10)
dv - | INFO flwr 2024-10-13 18:58:19,520 | server.py:192 | aggregate_evaluate: received 5 results and 0 failures
dv - | INFO flwr 2024-10-13 18:58:19,521 | fed_custom.py:236 | aggregated accuracy: 0.10294896697863323
dv - | INFO flwr 2024-10-13 18:58:19,521 | server.py:112 | 
dv - | INFO flwr 2024-10-13 18:58:19,521 | server.py:113 | [ROUND 3]
dv - | INFO flwr 2024-10-13 18:58:19,522 | server.py:226 | configure_fit: strategy sampled 6 clients (out of 10)
