round,accuracy,count
1,0.10344466548005445,9
2,0.13362265874828688,5
3,0.0397678784775559,6
4,0.06445406445406446,5
5,0.10133805588351043,5
6,0.12517873391394774,8
7,0.09605685465382852,4
8,0.06709651420511788,5
9,0.06123469132716821,4
10,0.1258448664306405,3
11,0.12693063746138725,3
12,0.10814233253134102,7
13,0.03485254691689008,3
14,0.11740684022460439,3
15,0.11257309941520467,4
16,0.1492316237733753,5
17,0.050869565217391305,2
18,0.10143910143910144,2
19,0.09018684713844344,7
20,0.060138648180242636,7
21,0.09895052473763119,10
22,0.12981859410430838,5
23,0.09572503905695214,8
24,0.11289746337977849,8
25,0.1263368030799943,6
26,0.09341219661431777,4
27,0.03999059044930604,4
28,0.153088630259624,3
29,0.1812108559498956,2
30,0.10603918400323167,5
