dv - | INFO flwr 2024-10-23 23:39:44,533 | server_app.py:93 | file writing: True
dv - | INFO flwr 2024-10-23 23:39:44,533 | server_app.py:94 | running in fed_trust
dv - | INFO flwr 2024-10-23 23:39:44,533 | server_app.py:95 | min num clients 2
dv - | INFO flwr 2024-10-23 23:39:44,533 | server_app.py:96 | num server rounds 30
dv - | INFO flwr 2024-10-23 23:39:44,533 | server_app.py:97 | config num local epochs 1
dv - | INFO flwr 2024-10-23 23:39:44,533 | server_app.py:98 | advanced logging False
dv - | INFO flwr 2024-10-23 23:39:44,533 | server_app.py:99 | partition: dirichlet
dv - | INFO flwr 2024-10-23 23:39:44,533 | app.py:74 | Starting Flower ServerApp, config: num_rounds=30, no round_timeout
dv - | INFO flwr 2024-10-23 23:39:44,534 | app.py:79 | 
dv - | INFO flwr 2024-10-23 23:39:44,534 | server.py:92 | [INIT]
dv - | INFO flwr 2024-10-23 23:39:44,534 | server.py:277 | Using initial global parameters provided by strategy
dv - | INFO flwr 2024-10-23 23:39:44,534 | server.py:94 | Starting evaluation of initial global parameters
dv - | INFO flwr 2024-10-23 23:39:44,534 | server.py:106 | Evaluation returned no results (`None`)
dv - | INFO flwr 2024-10-23 23:39:44,534 | server.py:112 | 
dv - | INFO flwr 2024-10-23 23:39:44,534 | server.py:113 | [ROUND 1]
dv - | INFO flwr 2024-10-23 23:39:44,534 | server.py:226 | configure_fit: strategy sampled 9 clients (out of 10)
dv - | DEBUG flwr 2024-10-23 23:39:46,684 | raybackend.py:141 | Constructed ActorPool with: 12 actors
dv - | DEBUG flwr 2024-10-23 23:39:46,684 | state_factory.py:50 | Using InMemoryState
dv - | INFO flwr 2024-10-23 23:39:53,687 | server.py:240 | aggregate_fit: received 9 results and 0 failures
dv - | INFO flwr 2024-10-23 23:39:53,691 | server.py:178 | configure_evaluate: strategy sampled 9 clients (out of 10)
dv - | INFO flwr 2024-10-23 23:39:54,095 | server.py:192 | aggregate_evaluate: received 9 results and 0 failures
dv - | INFO flwr 2024-10-23 23:39:54,095 | fed_custom.py:227 | aggregated accuracy: 0.10344466548005445
dv - | INFO flwr 2024-10-23 23:39:54,095 | server.py:112 | 
dv - | INFO flwr 2024-10-23 23:39:54,095 | server.py:113 | [ROUND 2]
dv - | INFO flwr 2024-10-23 23:39:54,095 | server.py:226 | configure_fit: strategy sampled 5 clients (out of 10)
dv - | INFO flwr 2024-10-23 23:39:56,001 | server.py:240 | aggregate_fit: received 5 results and 0 failures
dv - | INFO flwr 2024-10-23 23:39:56,003 | server.py:178 | configure_evaluate: strategy sampled 5 clients (out of 10)
dv - | INFO flwr 2024-10-23 23:39:56,305 | server.py:192 | aggregate_evaluate: received 5 results and 0 failures
dv - | INFO flwr 2024-10-23 23:39:56,306 | fed_custom.py:227 | aggregated accuracy: 0.13362265874828688
dv - | INFO flwr 2024-10-23 23:39:56,306 | server.py:112 | 
dv - | INFO flwr 2024-10-23 23:39:56,306 | server.py:113 | [ROUND 3]
dv - | INFO flwr 2024-10-23 23:39:56,306 | server.py:226 | configure_fit: strategy sampled 6 clients (out of 10)
dv - | INFO flwr 2024-10-23 23:39:58,211 | server.py:240 | aggregate_fit: received 6 results and 0 failures
dv - | INFO flwr 2024-10-23 23:39:58,213 | server.py:178 | configure_evaluate: strategy sampled 6 clients (out of 10)
dv - | INFO flwr 2024-10-23 23:39:58,616 | server.py:192 | aggregate_evaluate: received 6 results and 0 failures
dv - | INFO flwr 2024-10-23 23:39:58,616 | fed_custom.py:227 | aggregated accuracy: 0.0397678784775559
dv - | INFO flwr 2024-10-23 23:39:58,616 | server.py:112 | 
dv - | INFO flwr 2024-10-23 23:39:58,616 | server.py:113 | [ROUND 4]
