dv - | INFO flwr 2024-10-27 21:47:07,972 | server_app.py:101 | file writing: True
dv - | INFO flwr 2024-10-27 21:47:07,972 | server_app.py:102 | running in fed_adaptive
dv - | INFO flwr 2024-10-27 21:47:07,972 | server_app.py:103 | min num clients 2
dv - | INFO flwr 2024-10-27 21:47:07,972 | server_app.py:104 | num server rounds 200
dv - | INFO flwr 2024-10-27 21:47:07,972 | server_app.py:105 | config num local epochs 10
dv - | INFO flwr 2024-10-27 21:47:07,972 | server_app.py:106 | advanced logging False
dv - | INFO flwr 2024-10-27 21:47:07,972 | server_app.py:107 | partition: dirichlet
dv - | INFO flwr 2024-10-27 21:47:07,972 | server_app.py:108 | fraction: 16
dv - | INFO flwr 2024-10-27 21:47:07,972 | app.py:74 | Starting Flower ServerApp, config: num_rounds=200, no round_timeout
dv - | INFO flwr 2024-10-27 21:47:07,972 | app.py:79 | 
dv - | INFO flwr 2024-10-27 21:47:07,973 | server.py:92 | [INIT]
dv - | INFO flwr 2024-10-27 21:47:07,973 | server.py:277 | Using initial global parameters provided by strategy
dv - | INFO flwr 2024-10-27 21:47:07,973 | server.py:94 | Starting evaluation of initial global parameters
dv - | INFO flwr 2024-10-27 21:47:07,973 | server.py:106 | Evaluation returned no results (`None`)
dv - | INFO flwr 2024-10-27 21:47:07,973 | server.py:112 | 
dv - | INFO flwr 2024-10-27 21:47:07,973 | server.py:113 | [ROUND 1]
dv - | INFO flwr 2024-10-27 21:47:07,974 | server.py:226 | configure_fit: strategy sampled 26 clients (out of 400)
dv - | DEBUG flwr 2024-10-27 21:47:11,152 | raybackend.py:141 | Constructed ActorPool with: 12 actors
dv - | DEBUG flwr 2024-10-27 21:47:11,152 | state_factory.py:50 | Using InMemoryState
dv - | INFO flwr 2024-10-27 21:47:18,102 | server.py:240 | aggregate_fit: received 26 results and 0 failures
dv - | INFO flwr 2024-10-27 21:47:18,112 | server.py:178 | configure_evaluate: strategy sampled 26 clients (out of 400)
dv - | INFO flwr 2024-10-27 21:47:18,324 | server.py:192 | aggregate_evaluate: received 26 results and 0 failures
dv - | INFO flwr 2024-10-27 21:47:18,324 | fed_custom.py:232 | aggregated accuracy: 0.09329446064139942
dv - | INFO flwr 2024-10-27 21:47:18,324 | server.py:112 | 
dv - | INFO flwr 2024-10-27 21:47:18,324 | server.py:113 | [ROUND 2]
dv - | INFO flwr 2024-10-27 21:47:18,324 | server.py:226 | configure_fit: strategy sampled 26 clients (out of 400)
dv - | INFO flwr 2024-10-27 21:47:19,340 | server.py:240 | aggregate_fit: received 26 results and 0 failures
dv - | INFO flwr 2024-10-27 21:47:19,347 | server.py:178 | configure_evaluate: strategy sampled 26 clients (out of 400)
dv - | INFO flwr 2024-10-27 21:47:19,557 | server.py:192 | aggregate_evaluate: received 26 results and 0 failures
dv - | INFO flwr 2024-10-27 21:47:19,557 | fed_custom.py:232 | aggregated accuracy: 0.16044260027662519
dv - | INFO flwr 2024-10-27 21:47:19,557 | server.py:112 | 
dv - | INFO flwr 2024-10-27 21:47:19,557 | server.py:113 | [ROUND 3]
dv - | INFO flwr 2024-10-27 21:47:19,558 | server.py:226 | configure_fit: strategy sampled 24 clients (out of 400)
dv - | INFO flwr 2024-10-27 21:47:20,669 | server.py:240 | aggregate_fit: received 24 results and 0 failures
dv - | INFO flwr 2024-10-27 21:47:20,680 | server.py:178 | configure_evaluate: strategy sampled 24 clients (out of 400)
dv - | INFO flwr 2024-10-27 21:47:20,788 | server.py:192 | aggregate_evaluate: received 24 results and 0 failures
dv - | INFO flwr 2024-10-27 21:47:20,788 | fed_custom.py:232 | aggregated accuracy: 0.17717717717717718
dv - | INFO flwr 2024-10-27 21:47:20,788 | server.py:112 | 
dv - | INFO flwr 2024-10-27 21:47:20,788 | server.py:113 | [ROUND 4]
dv - | INFO flwr 2024-10-27 21:47:20,788 | server.py:226 | configure_fit: strategy sampled 24 clients (out of 400)
dv - | INFO flwr 2024-10-27 21:47:21,702 | server.py:240 | aggregate_fit: received 24 results and 0 failures
dv - | INFO flwr 2024-10-27 21:47:21,708 | server.py:178 | configure_evaluate: strategy sampled 24 clients (out of 400)
dv - | INFO flwr 2024-10-27 21:47:21,819 | server.py:192 | aggregate_evaluate: received 24 results and 0 failures
dv - | INFO flwr 2024-10-27 21:47:21,819 | fed_custom.py:232 | aggregated accuracy: 0.1103448275862069
dv - | INFO flwr 2024-10-27 21:47:21,820 | server.py:112 | 
dv - | INFO flwr 2024-10-27 21:47:21,820 | server.py:113 | [ROUND 5]
dv - | INFO flwr 2024-10-27 21:47:21,820 | server.py:226 | configure_fit: strategy sampled 38 clients (out of 400)
dv - | INFO flwr 2024-10-27 21:47:23,143 | server.py:240 | aggregate_fit: received 38 results and 0 failures
dv - | INFO flwr 2024-10-27 21:47:23,157 | server.py:178 | configure_evaluate: strategy sampled 38 clients (out of 400)
dv - | INFO flwr 2024-10-27 21:47:23,471 | server.py:192 | aggregate_evaluate: received 38 results and 0 failures
dv - | INFO flwr 2024-10-27 21:47:23,471 | fed_custom.py:232 | aggregated accuracy: 0.08369098712446352
dv - | INFO flwr 2024-10-27 21:47:23,471 | server.py:112 | 
dv - | INFO flwr 2024-10-27 21:47:23,472 | server.py:113 | [ROUND 6]
dv - | INFO flwr 2024-10-27 21:47:23,472 | server.py:226 | configure_fit: strategy sampled 30 clients (out of 400)
dv - | INFO flwr 2024-10-27 21:47:24,695 | server.py:240 | aggregate_fit: received 30 results and 0 failures
dv - | INFO flwr 2024-10-27 21:47:24,705 | server.py:178 | configure_evaluate: strategy sampled 30 clients (out of 400)
dv - | INFO flwr 2024-10-27 21:47:24,914 | server.py:192 | aggregate_evaluate: received 30 results and 0 failures
dv - | INFO flwr 2024-10-27 21:47:24,914 | fed_custom.py:232 | aggregated accuracy: 0.09278350515463918
dv - | INFO flwr 2024-10-27 21:47:24,914 | server.py:112 | 
dv - | INFO flwr 2024-10-27 21:47:24,914 | server.py:113 | [ROUND 7]
dv - | INFO flwr 2024-10-27 21:47:24,914 | server.py:226 | configure_fit: strategy sampled 26 clients (out of 400)
dv - | INFO flwr 2024-10-27 21:47:26,040 | server.py:240 | aggregate_fit: received 26 results and 0 failures
dv - | INFO flwr 2024-10-27 21:47:26,049 | server.py:178 | configure_evaluate: strategy sampled 26 clients (out of 400)
dv - | INFO flwr 2024-10-27 21:47:26,260 | server.py:192 | aggregate_evaluate: received 26 results and 0 failures
dv - | INFO flwr 2024-10-27 21:47:26,260 | fed_custom.py:232 | aggregated accuracy: 0.0744047619047619
dv - | INFO flwr 2024-10-27 21:47:26,260 | server.py:112 | 
dv - | INFO flwr 2024-10-27 21:47:26,260 | server.py:113 | [ROUND 8]
dv - | INFO flwr 2024-10-27 21:47:26,260 | server.py:226 | configure_fit: strategy sampled 16 clients (out of 400)
dv - | INFO flwr 2024-10-27 21:47:26,983 | server.py:240 | aggregate_fit: received 16 results and 0 failures
dv - | INFO flwr 2024-10-27 21:47:26,987 | server.py:178 | configure_evaluate: strategy sampled 16 clients (out of 400)
dv - | INFO flwr 2024-10-27 21:47:27,194 | server.py:192 | aggregate_evaluate: received 16 results and 0 failures
dv - | INFO flwr 2024-10-27 21:47:27,194 | fed_custom.py:232 | aggregated accuracy: 0.1240506329113924
dv - | INFO flwr 2024-10-27 21:47:27,194 | server.py:112 | 
dv - | INFO flwr 2024-10-27 21:47:27,194 | server.py:113 | [ROUND 9]
dv - | INFO flwr 2024-10-27 21:47:27,194 | server.py:226 | configure_fit: strategy sampled 24 clients (out of 400)
dv - | INFO flwr 2024-10-27 21:47:28,224 | server.py:240 | aggregate_fit: received 24 results and 0 failures
dv - | INFO flwr 2024-10-27 21:47:28,233 | server.py:178 | configure_evaluate: strategy sampled 24 clients (out of 400)
dv - | INFO flwr 2024-10-27 21:47:28,342 | server.py:192 | aggregate_evaluate: received 24 results and 0 failures
dv - | INFO flwr 2024-10-27 21:47:28,342 | fed_custom.py:232 | aggregated accuracy: 0.09415584415584416
dv - | INFO flwr 2024-10-27 21:47:28,342 | server.py:112 | 
dv - | INFO flwr 2024-10-27 21:47:28,342 | server.py:113 | [ROUND 10]
dv - | INFO flwr 2024-10-27 21:47:28,342 | server.py:226 | configure_fit: strategy sampled 18 clients (out of 400)
dv - | INFO flwr 2024-10-27 21:47:29,048 | server.py:240 | aggregate_fit: received 18 results and 0 failures
dv - | INFO flwr 2024-10-27 21:47:29,053 | server.py:178 | configure_evaluate: strategy sampled 18 clients (out of 400)
dv - | INFO flwr 2024-10-27 21:47:29,159 | server.py:192 | aggregate_evaluate: received 18 results and 0 failures
dv - | INFO flwr 2024-10-27 21:47:29,159 | fed_custom.py:232 | aggregated accuracy: 0.17391304347826086
dv - | INFO flwr 2024-10-27 21:47:29,159 | server.py:112 | 
dv - | INFO flwr 2024-10-27 21:47:29,159 | server.py:113 | [ROUND 11]
dv - | INFO flwr 2024-10-27 21:47:29,159 | server.py:226 | configure_fit: strategy sampled 25 clients (out of 400)
dv - | INFO flwr 2024-10-27 21:47:30,090 | server.py:240 | aggregate_fit: received 25 results and 0 failures
dv - | INFO flwr 2024-10-27 21:47:30,097 | server.py:178 | configure_evaluate: strategy sampled 25 clients (out of 400)
dv - | INFO flwr 2024-10-27 21:47:30,307 | server.py:192 | aggregate_evaluate: received 25 results and 0 failures
dv - | INFO flwr 2024-10-27 21:47:30,307 | fed_custom.py:232 | aggregated accuracy: 0.10317460317460317
dv - | INFO flwr 2024-10-27 21:47:30,308 | server.py:112 | 
dv - | INFO flwr 2024-10-27 21:47:30,308 | server.py:113 | [ROUND 12]
dv - | INFO flwr 2024-10-27 21:47:30,308 | server.py:226 | configure_fit: strategy sampled 21 clients (out of 400)
dv - | INFO flwr 2024-10-27 21:47:31,217 | server.py:240 | aggregate_fit: received 21 results and 0 failures
dv - | INFO flwr 2024-10-27 21:47:31,225 | server.py:178 | configure_evaluate: strategy sampled 21 clients (out of 400)
dv - | INFO flwr 2024-10-27 21:47:31,434 | server.py:192 | aggregate_evaluate: received 21 results and 0 failures
dv - | INFO flwr 2024-10-27 21:47:31,434 | fed_custom.py:232 | aggregated accuracy: 0.15726495726495726
dv - | INFO flwr 2024-10-27 21:47:31,435 | server.py:112 | 
dv - | INFO flwr 2024-10-27 21:47:31,435 | server.py:113 | [ROUND 13]
dv - | INFO flwr 2024-10-27 21:47:31,435 | server.py:226 | configure_fit: strategy sampled 24 clients (out of 400)
dv - | INFO flwr 2024-10-27 21:47:32,473 | server.py:240 | aggregate_fit: received 24 results and 0 failures
dv - | INFO flwr 2024-10-27 21:47:32,479 | server.py:178 | configure_evaluate: strategy sampled 24 clients (out of 400)
dv - | INFO flwr 2024-10-27 21:47:32,690 | server.py:192 | aggregate_evaluate: received 24 results and 0 failures
dv - | INFO flwr 2024-10-27 21:47:32,690 | fed_custom.py:232 | aggregated accuracy: 0.1984251968503937
dv - | INFO flwr 2024-10-27 21:47:32,690 | server.py:112 | 
dv - | INFO flwr 2024-10-27 21:47:32,690 | server.py:113 | [ROUND 14]
dv - | INFO flwr 2024-10-27 21:47:32,690 | server.py:226 | configure_fit: strategy sampled 27 clients (out of 400)
dv - | INFO flwr 2024-10-27 21:47:33,825 | server.py:240 | aggregate_fit: received 27 results and 0 failures
dv - | INFO flwr 2024-10-27 21:47:33,835 | server.py:178 | configure_evaluate: strategy sampled 27 clients (out of 400)
