round,accuracy,count
1,0.10720268006700168,26
2,0.05621301775147929,26
3,0.13679245283018868,24
4,0.13333333333333333,24
5,0.1041890440386681,38
6,0.13454075032341525,30
7,0.14106583072100312,26
8,0.13285024154589373,16
9,0.18421052631578946,24
10,0.11004784688995216,18
11,0.1118421052631579,25
12,0.1050656660412758,21
13,0.15916398713826366,24
14,0.11515151515151516,27
15,0.1588447653429603,35
16,0.18124006359300476,23
17,0.11914893617021277,28
18,0.1447562776957164,27
19,0.19557195571955718,20
20,0.20724346076458752,22
21,0.2171875,26
22,0.2326454033771107,20
23,0.2181208053691275,27
24,0.16723549488054607,24
25,0.17892156862745098,19
26,0.1936813186813187,27
27,0.2783109404990403,20
28,0.2281134401972873,30
29,0.2646276595744681,31
30,0.21052631578947367,29
31,0.2456445993031359,22
32,0.24193548387096775,22
33,0.26296296296296295,22
34,0.2834067547723935,26
35,0.26697530864197533,25
36,0.20249653259361997,26
37,0.22932330827067668,22
38,0.3684210526315789,18
39,0.2539964476021314,22
40,0.3130148270181219,26
41,0.28280254777070063,30
42,0.29017857142857145,28
43,0.2826086956521739,21
44,0.2730263157894737,26
45,0.3357664233576642,24
46,0.3292517006802721,28
47,0.2886178861788618,30
48,0.276885043263288,32
49,0.2910958904109589,32
50,0.26015037593984963,28
51,0.2945128779395297,37
52,0.296998420221169,24
53,0.31059506531204645,27
54,0.25522388059701495,27
55,0.27765726681127983,18
56,0.3209509658246657,26
57,0.3349206349206349,26
58,0.3059490084985836,27
59,0.27848101265822783,32
60,0.3352165725047081,24
61,0.31010928961748635,30
62,0.3561643835616438,19
63,0.3438155136268344,19
64,0.3372859025032938,30
65,0.2813141683778234,24
66,0.28888888888888886,28
67,0.36036036036036034,28
68,0.3675,29
69,0.31118314424635335,25
70,0.42857142857142855,20
71,0.3565989847715736,30
72,0.39177101967799643,23
73,0.35766423357664234,28
74,0.3684210526315789,19
75,0.35014005602240894,26
76,0.3222698072805139,34
77,0.3395061728395062,25
78,0.35911602209944754,29
79,0.36195286195286197,23
80,0.3261744966442953,29
81,0.3187855787476281,21
82,0.3988439306358382,15
83,0.3767605633802817,22
84,0.4150326797385621,23
85,0.4031339031339031,28
86,0.3328025477707006,25
87,0.35135135135135137,27
88,0.30343511450381677,22
89,0.3853073463268366,26
90,0.40897097625329815,27
91,0.38240574506283664,21
92,0.39316239316239315,28
93,0.3568627450980392,21
94,0.37577639751552794,25
95,0.4124748490945674,20
96,0.3528399311531842,23
97,0.35818181818181816,21
98,0.37168141592920356,31
99,0.3681592039800995,25
100,0.4031117397454031,28
101,0.4088235294117647,26
102,0.3668032786885246,19
103,0.37961335676625657,23
104,0.39185750636132316,29
105,0.3729946524064171,33
106,0.402315484804631,26
107,0.38872104733131924,38
108,0.43503937007874016,21
109,0.40588235294117647,28
110,0.3956043956043956,22
111,0.38902743142144636,15
112,0.4070891514500537,35
113,0.4077669902912621,27
114,0.39469026548672564,22
115,0.4189406099518459,27
116,0.41467889908256883,23
117,0.39209726443769,25
118,0.38028169014084506,23
119,0.41955445544554454,30
120,0.3827751196172249,25
121,0.42632850241545894,33
122,0.4,22
123,0.40923566878980894,24
124,0.4451219512195122,18
125,0.44176136363636365,28
126,0.39280774550484093,29
127,0.4043583535108959,16
128,0.4262734584450402,28
129,0.40037243947858475,24
130,0.41412911084043846,31
131,0.4122448979591837,21
132,0.46397694524495675,14
133,0.4596622889305816,21
134,0.4044943820224719,28
135,0.455078125,22
136,0.438,20
137,0.39095744680851063,15
138,0.44516129032258067,29
139,0.4352226720647773,21
140,0.3811659192825112,26
141,0.447098976109215,23
142,0.46801872074882994,24
143,0.44125,30
144,0.4195046439628483,25
145,0.4055727554179567,27
146,0.45017182130584193,24
147,0.4218241042345277,25
148,0.4020797227036395,21
149,0.4551148225469729,20
150,0.4362519201228879,26
151,0.43243243243243246,32
152,0.4260515603799186,28
153,0.4569767441860465,33
154,0.4223512336719884,28
155,0.4483240223463687,29
156,0.4876660341555977,21
157,0.453125,24
158,0.45161290322580644,31
159,0.4391353811149033,36
160,0.47953216374269003,30
161,0.47058823529411764,27
162,0.43908629441624364,15
163,0.4158607350096712,21
164,0.4602649006622517,23
165,0.5024793388429752,23
166,0.4539641943734015,32
167,0.43006993006993005,22
168,0.4651567944250871,27
169,0.4298642533936652,16
170,0.48642533936651583,20
171,0.4428904428904429,18
172,0.46924829157175396,18
173,0.4672413793103448,24
174,0.4461538461538462,27
175,0.44005449591280654,30
176,0.4503311258278146,21
177,0.45729537366548045,21
178,0.48111658456486045,25
179,0.45161290322580644,26
180,0.45014245014245013,28
181,0.4458955223880597,23
182,0.44983818770226536,34
183,0.44841269841269843,21
184,0.47155963302752296,21
185,0.468682505399568,36
186,0.507183908045977,28
187,0.4091858037578288,21
188,0.42812006319115326,23
189,0.4971209213051823,21
190,0.42790697674418604,24
191,0.44018583042973286,31
192,0.46859903381642515,25
193,0.4563380281690141,27
194,0.4483111566018424,35
195,0.4842105263157895,16
196,0.5024154589371981,19
197,0.4892241379310345,18
198,0.47360248447204967,23
199,0.48256880733944957,21
200,0.4934601664684899,32
