dv - | INFO flwr 2024-10-13 14:41:14,119 | server_app.py:96 | file writing: True
dv - | INFO flwr 2024-10-13 14:41:14,123 | server_app.py:97 | running in fed_acc
dv - | INFO flwr 2024-10-13 14:41:14,123 | server_app.py:98 | min num clients 2
dv - | INFO flwr 2024-10-13 14:41:14,124 | server_app.py:99 | num server rounds 10
dv - | INFO flwr 2024-10-13 14:41:14,124 | server_app.py:100 | config num local epochs 1
dv - | INFO flwr 2024-10-13 14:41:14,125 | server_app.py:101 | advanced logging False
dv - | INFO flwr 2024-10-13 14:41:14,126 | app.py:74 | Starting Flower ServerApp, config: num_rounds=10, no round_timeout
dv - | INFO flwr 2024-10-13 14:41:14,126 | app.py:79 | 
dv - | INFO flwr 2024-10-13 14:41:14,133 | server.py:92 | [INIT]
dv - | INFO flwr 2024-10-13 14:41:14,134 | server.py:277 | Using initial global parameters provided by strategy
dv - | INFO flwr 2024-10-13 14:41:14,134 | server.py:94 | Starting evaluation of initial global parameters
dv - | INFO flwr 2024-10-13 14:41:14,135 | server.py:106 | Evaluation returned no results (`None`)
dv - | INFO flwr 2024-10-13 14:41:14,135 | server.py:112 | 
dv - | INFO flwr 2024-10-13 14:41:14,136 | server.py:113 | [ROUND 1]
dv - | INFO flwr 2024-10-13 14:41:14,138 | server.py:226 | configure_fit: strategy sampled 10 clients (out of 20)
dv - | DEBUG flwr 2024-10-13 14:41:21,513 | raybackend.py:141 | Constructed ActorPool with: 6 actors
dv - | DEBUG flwr 2024-10-13 14:41:21,513 | state_factory.py:50 | Using InMemoryState
dv - | INFO flwr 2024-10-13 14:41:49,515 | server.py:240 | aggregate_fit: received 10 results and 0 failures
dv - | INFO flwr 2024-10-13 14:41:49,524 | server.py:178 | configure_evaluate: strategy sampled 10 clients (out of 20)
dv - | INFO flwr 2024-10-13 14:41:51,535 | server.py:192 | aggregate_evaluate: received 10 results and 0 failures
dv - | INFO flwr 2024-10-13 14:41:51,535 | fed_custom.py:237 | aggregated accuracy: 0.12187930017692157
dv - | INFO flwr 2024-10-13 14:41:51,535 | server.py:112 | 
dv - | INFO flwr 2024-10-13 14:41:51,536 | server.py:113 | [ROUND 2]
dv - | INFO flwr 2024-10-13 14:41:51,536 | server.py:226 | configure_fit: strategy sampled 11 clients (out of 20)
dv - | INFO flwr 2024-10-13 14:42:02,566 | server.py:240 | aggregate_fit: received 11 results and 0 failures
dv - | INFO flwr 2024-10-13 14:42:02,576 | server.py:178 | configure_evaluate: strategy sampled 11 clients (out of 20)
dv - | INFO flwr 2024-10-13 14:42:04,596 | server.py:192 | aggregate_evaluate: received 11 results and 0 failures
dv - | INFO flwr 2024-10-13 14:42:04,596 | fed_custom.py:237 | aggregated accuracy: 0.16234390009606148
dv - | INFO flwr 2024-10-13 14:42:04,596 | server.py:112 | 
dv - | INFO flwr 2024-10-13 14:42:04,597 | server.py:113 | [ROUND 3]
dv - | INFO flwr 2024-10-13 14:42:04,597 | server.py:226 | configure_fit: strategy sampled 9 clients (out of 20)
dv - | INFO flwr 2024-10-13 14:42:14,627 | server.py:240 | aggregate_fit: received 9 results and 0 failures
dv - | INFO flwr 2024-10-13 14:42:14,637 | server.py:178 | configure_evaluate: strategy sampled 9 clients (out of 20)
dv - | INFO flwr 2024-10-13 14:42:16,643 | server.py:192 | aggregate_evaluate: received 9 results and 0 failures
