dv - | INFO flwr 2024-10-13 14:53:29,772 | server_app.py:96 | file writing: True
dv - | INFO flwr 2024-10-13 14:53:29,773 | server_app.py:97 | running in fedavg
dv - | INFO flwr 2024-10-13 14:53:29,774 | server_app.py:98 | min num clients 2
dv - | INFO flwr 2024-10-13 14:53:29,774 | server_app.py:99 | num server rounds 10
dv - | INFO flwr 2024-10-13 14:53:29,775 | server_app.py:100 | config num local epochs 1
dv - | INFO flwr 2024-10-13 14:53:29,775 | server_app.py:101 | advanced logging False
dv - | INFO flwr 2024-10-13 14:53:29,776 | app.py:74 | Starting Flower ServerApp, config: num_rounds=10, no round_timeout
dv - | INFO flwr 2024-10-13 14:53:29,776 | app.py:79 | 
dv - | INFO flwr 2024-10-13 14:53:29,778 | server.py:92 | [INIT]
dv - | INFO flwr 2024-10-13 14:53:29,779 | server.py:277 | Using initial global parameters provided by strategy
dv - | INFO flwr 2024-10-13 14:53:29,779 | server.py:94 | Starting evaluation of initial global parameters
dv - | INFO flwr 2024-10-13 14:53:29,780 | server.py:106 | Evaluation returned no results (`None`)
dv - | INFO flwr 2024-10-13 14:53:29,780 | server.py:112 | 
dv - | INFO flwr 2024-10-13 14:53:29,780 | server.py:113 | [ROUND 1]
dv - | INFO flwr 2024-10-13 14:53:29,781 | server.py:226 | configure_fit: strategy sampled 10 clients (out of 20)
dv - | DEBUG flwr 2024-10-13 14:53:36,856 | raybackend.py:141 | Constructed ActorPool with: 6 actors
dv - | DEBUG flwr 2024-10-13 14:53:36,857 | state_factory.py:50 | Using InMemoryState
dv - | INFO flwr 2024-10-13 14:54:01,858 | server.py:240 | aggregate_fit: received 10 results and 0 failures
dv - | WARNING flwr 2024-10-13 14:54:01,867 | federal_avg.py:56 | No fit_metrics_aggregation_fn provided
dv - | INFO flwr 2024-10-13 14:54:01,868 | server.py:178 | configure_evaluate: strategy sampled 10 clients (out of 20)
dv - | INFO flwr 2024-10-13 14:54:02,892 | server.py:192 | aggregate_evaluate: received 10 results and 0 failures
dv - | INFO flwr 2024-10-13 14:54:02,892 | fed_custom.py:236 | aggregated accuracy: 0.10302073940486925
dv - | INFO flwr 2024-10-13 14:54:02,893 | server.py:112 | 
dv - | INFO flwr 2024-10-13 14:54:02,893 | server.py:113 | [ROUND 2]
dv - | INFO flwr 2024-10-13 14:54:02,894 | server.py:226 | configure_fit: strategy sampled 11 clients (out of 20)
dv - | INFO flwr 2024-10-13 14:54:13,910 | server.py:240 | aggregate_fit: received 11 results and 0 failures
dv - | INFO flwr 2024-10-13 14:54:13,921 | server.py:178 | configure_evaluate: strategy sampled 11 clients (out of 20)
dv - | INFO flwr 2024-10-13 14:54:15,950 | server.py:192 | aggregate_evaluate: received 11 results and 0 failures
dv - | INFO flwr 2024-10-13 14:54:15,950 | fed_custom.py:236 | aggregated accuracy: 0.12567152724481964
dv - | INFO flwr 2024-10-13 14:54:15,951 | server.py:112 | 
dv - | INFO flwr 2024-10-13 14:54:15,951 | server.py:113 | [ROUND 3]
dv - | INFO flwr 2024-10-13 14:54:15,952 | server.py:226 | configure_fit: strategy sampled 9 clients (out of 20)
dv - | INFO flwr 2024-10-13 14:54:23,969 | server.py:240 | aggregate_fit: received 9 results and 0 failures
dv - | INFO flwr 2024-10-13 14:54:23,977 | server.py:178 | configure_evaluate: strategy sampled 9 clients (out of 20)
dv - | INFO flwr 2024-10-13 14:54:24,994 | server.py:192 | aggregate_evaluate: received 9 results and 0 failures
dv - | INFO flwr 2024-10-13 14:54:24,995 | fed_custom.py:236 | aggregated accuracy: 0.16833795604864518
dv - | INFO flwr 2024-10-13 14:54:24,995 | server.py:112 | 
dv - | INFO flwr 2024-10-13 14:54:24,995 | server.py:113 | [ROUND 4]
dv - | INFO flwr 2024-10-13 14:54:24,996 | server.py:226 | configure_fit: strategy sampled 9 clients (out of 20)
dv - | INFO flwr 2024-10-13 14:54:31,010 | server.py:240 | aggregate_fit: received 9 results and 0 failures
