round,accuracy,count
1,0.11417866298560442,51
2,0.1021555763823805,52
3,0.08874065089953508,48
4,0.11593908629441624,49
5,0.09943936264384774,69
6,0.10895576504713561,57
7,0.08845491097070649,51
8,0.068574374838876,37
9,0.11886503067484662,49
10,0.10584810796507012,40
11,0.11361836896278701,50
12,0.121131741821397,45
13,0.0875131164742917,49
14,0.09626110307787647,52
15,0.10862429125634139,65
16,0.09489817342011338,47
17,0.12905464006938422,54
18,0.11330423230214462,53
19,0.1324200913242009,43
20,0.11531728665207877,46
21,0.14490758946126622,51
22,0.14191343963553532,43
23,0.15049915238274628,53
24,0.12698412698412698,49
25,0.08875154511742893,42
26,0.10384838522529491,53
27,0.12488393686165274,43
28,0.12430613961312027,57
29,0.08897518149586359,58
30,0.11972987771491148,55
31,0.08465490283672102,45
32,0.10324349017816355,46
33,0.13691471571906355,46
34,0.12874335292471312,36
35,0.1379640260237275,51
36,0.15104166666666666,50
37,0.14323607427055704,52
38,0.15673241852487135,46
39,0.168986568986569,41
40,0.15544354838709679,45
41,0.16376892877173305,52
42,0.1282051282051282,58
43,0.10009049773755656,54
44,0.13396911898274297,44
45,0.10028191703584374,52
46,0.18131433095803642,49
47,0.1375579598145286,54
48,0.13134851138353765,57
49,0.16293658867412683,60
50,0.12798053527980535,60
51,0.13778031166856708,55
52,0.09898242368177614,67
53,0.13220845792396413,48
54,0.14769520225776106,53
55,0.15526007039499412,52
56,0.12213930348258706,41
57,0.12337048932552427,51
58,0.12851782363977485,51
59,0.14841121495327103,53
60,0.10572119258662369,61
61,0.1106076210092688,49
62,0.11206317204301075,57
63,0.10964705882352942,42
64,0.10114644970414201,57
65,0.09310835535677983,48
66,0.11186244204018547,54
67,0.14468558708959378,55
68,0.1313050440352282,50
69,0.1494833524684271,43
70,0.11514195583596215,57
71,0.12229004420122079,47
72,0.14694433631763332,54
73,0.11697247706422019,42
74,0.141224948492227,52
75,0.1609469335875437,63
76,0.1412669500101194,51
77,0.14686040477426052,55
78,0.16244849911712772,48
79,0.117722681359045,55
80,0.13688212927756654,44
81,0.18199233716475097,35
82,0.12355707567336469,46
83,0.16965604557923614,47
84,0.132208922742111,54
85,0.14902590881703154,51
86,0.14028910303928835,53
87,0.14563318777292578,46
88,0.13464920852061754,52
89,0.1702774610414291,53
90,0.20344022085368443,45
91,0.1672531950361178,54
92,0.15458320025550942,65
93,0.14073894020418085,45
94,0.19490999379267535,50
95,0.21719348659003831,43
96,0.1936026936026936,47
97,0.19795221843003413,45
98,0.21253175275190517,59
99,0.20338653172440638,50
100,0.1863943096844793,55
101,0.23461068079902161,51
102,0.20014520813165537,41
103,0.21467556094602788,47
104,0.2615213770127707,56
105,0.21860390133806223,61
106,0.22604790419161677,51
107,0.2408682634730539,69
108,0.23906833662931223,44
109,0.2474881015335801,54
110,0.23893395133256085,45
111,0.23865500273373427,36
112,0.23312786470681207,64
113,0.2507182532081977,53
114,0.2512774938902466,45
115,0.2523598535927567,52
116,0.2538394032470382,47
117,0.2506601665651026,50
118,0.23136842105263158,47
119,0.25858795097531506,57
120,0.23089015523678522,50
121,0.25382716049382714,39
122,0.25159332321699546,61
123,0.2509710832973673,46
124,0.2580712788259958,48
125,0.27054455445544556,41
126,0.24986220834098843,55
127,0.24854121079504013,56
128,0.25754884547069273,38
129,0.2594644506001847,54
130,0.2745549738219895,48
131,0.25634560430324427,59
132,0.279688972667295,45
133,0.24096385542168675,35
134,0.2637523530642125,45
135,0.28440724158068914,54
136,0.26112956810631227,45
137,0.26922161390145205,42
138,0.2561576354679803,56
139,0.310719131614654,45
140,0.2876536415336636,52
141,0.27409315303713244,47
142,0.2624877571008815,49
143,0.2721656976744186,57
144,0.2616257088846881,50
145,0.28635766560330267,53
146,0.28192875760208513,48
147,0.27378602447690487,51
148,0.3106625713032032,45
149,0.25766222785880366,48
150,0.2749258498745152,43
151,0.2781557067271353,51
152,0.2701940620335047,60
153,0.2828377869777945,55
154,0.27675334909377464,61
155,0.27498566787693485,54
156,0.28687930409568685,56
157,0.2891264786169245,44
158,0.2858960763520679,49
159,0.2801693719124912,59
160,0.28698861888649646,66
161,0.2808298755186722,57
162,0.28674378911435616,53
163,0.30515034236379873,36
164,0.2693333333333333,45
165,0.2917743324720069,47
166,0.2905405405405405,48
167,0.28679671126874096,59
168,0.30123561994034936,46
169,0.283179012345679,52
170,0.28426137808288837,37
171,0.3058055805580558,44
172,0.28746754779324996,41
173,0.3123372010419133,40
174,0.3042921204356182,48
175,0.2795031055900621,53
176,0.3050879161990273,56
177,0.3065584276863918,44
178,0.31672760511882997,44
179,0.29539765068361257,50
180,0.30021726249259334,51
181,0.3071496663489037,54
182,0.2948533934795981,47
183,0.30282725935610394,63
184,0.31715063520871145,44
185,0.3052434456928839,44
186,0.29899607158446095,66
187,0.30119835449830085,54
188,0.29372791519434627,45
189,0.28190091001011125,47
190,0.30757097791798105,44
191,0.3025176233635448,49
192,0.3078982597054886,58
193,0.30794430794430794,50
194,0.30709426627793973,53
195,0.2999532783055599,64
196,0.3158287705326033,37
197,0.3255702280912365,42
198,0.32575757575757575,41
199,0.31973795435333896,47
200,0.3340630472854641,45
