dv - | INFO flwr 2024-10-15 17:54:27,684 | server_app.py:88 | file writing: True
dv - | INFO flwr 2024-10-15 17:54:27,684 | server_app.py:89 | running in fed_equal
dv - | INFO flwr 2024-10-15 17:54:27,684 | server_app.py:90 | min num clients 2
dv - | INFO flwr 2024-10-15 17:54:27,684 | server_app.py:91 | num server rounds 200
dv - | INFO flwr 2024-10-15 17:54:27,684 | server_app.py:92 | config num local epochs 1
dv - | INFO flwr 2024-10-15 17:54:27,684 | server_app.py:93 | advanced logging False
dv - | INFO flwr 2024-10-15 17:54:27,684 | app.py:74 | Starting Flower ServerApp, config: num_rounds=200, no round_timeout
dv - | INFO flwr 2024-10-15 17:54:27,684 | app.py:79 | 
dv - | INFO flwr 2024-10-15 17:54:27,685 | server.py:92 | [INIT]
dv - | INFO flwr 2024-10-15 17:54:27,685 | server.py:277 | Using initial global parameters provided by strategy
dv - | INFO flwr 2024-10-15 17:54:27,685 | server.py:94 | Starting evaluation of initial global parameters
dv - | INFO flwr 2024-10-15 17:54:27,685 | server.py:106 | Evaluation returned no results (`None`)
dv - | INFO flwr 2024-10-15 17:54:27,685 | server.py:112 | 
dv - | INFO flwr 2024-10-15 17:54:27,685 | server.py:113 | [ROUND 1]
dv - | INFO flwr 2024-10-15 17:54:27,685 | server.py:226 | configure_fit: strategy sampled 51 clients (out of 100)
dv - | DEBUG flwr 2024-10-15 17:54:30,049 | raybackend.py:141 | Constructed ActorPool with: 8 actors
dv - | DEBUG flwr 2024-10-15 17:54:30,050 | state_factory.py:50 | Using InMemoryState
dv - | INFO flwr 2024-10-15 17:54:39,201 | server.py:240 | aggregate_fit: received 51 results and 0 failures
dv - | INFO flwr 2024-10-15 17:54:39,226 | server.py:178 | configure_evaluate: strategy sampled 51 clients (out of 100)
dv - | INFO flwr 2024-10-15 17:54:39,738 | server.py:192 | aggregate_evaluate: received 51 results and 0 failures
dv - | INFO flwr 2024-10-15 17:54:39,738 | fed_custom.py:227 | aggregated accuracy: 0.10722014558331694
dv - | INFO flwr 2024-10-15 17:54:39,738 | server.py:112 | 
dv - | INFO flwr 2024-10-15 17:54:39,738 | server.py:113 | [ROUND 2]
dv - | INFO flwr 2024-10-15 17:54:39,738 | server.py:226 | configure_fit: strategy sampled 52 clients (out of 100)
dv - | INFO flwr 2024-10-15 17:54:42,675 | server.py:240 | aggregate_fit: received 52 results and 0 failures
dv - | INFO flwr 2024-10-15 17:54:42,699 | server.py:178 | configure_evaluate: strategy sampled 52 clients (out of 100)
dv - | INFO flwr 2024-10-15 17:54:43,313 | server.py:192 | aggregate_evaluate: received 52 results and 0 failures
dv - | INFO flwr 2024-10-15 17:54:43,313 | fed_custom.py:227 | aggregated accuracy: 0.10599344767777992
dv - | INFO flwr 2024-10-15 17:54:43,313 | server.py:112 | 
dv - | INFO flwr 2024-10-15 17:54:43,313 | server.py:113 | [ROUND 3]
dv - | INFO flwr 2024-10-15 17:54:43,314 | server.py:226 | configure_fit: strategy sampled 48 clients (out of 100)
dv - | INFO flwr 2024-10-15 17:54:46,052 | server.py:240 | aggregate_fit: received 48 results and 0 failures
dv - | INFO flwr 2024-10-15 17:54:46,074 | server.py:178 | configure_evaluate: strategy sampled 48 clients (out of 100)
dv - | INFO flwr 2024-10-15 17:54:46,498 | server.py:192 | aggregate_evaluate: received 48 results and 0 failures
dv - | INFO flwr 2024-10-15 17:54:46,498 | fed_custom.py:227 | aggregated accuracy: 0.10913280268118977
dv - | INFO flwr 2024-10-15 17:54:46,498 | server.py:112 | 
dv - | INFO flwr 2024-10-15 17:54:46,498 | server.py:113 | [ROUND 4]
dv - | INFO flwr 2024-10-15 17:54:46,498 | server.py:226 | configure_fit: strategy sampled 49 clients (out of 100)
dv - | INFO flwr 2024-10-15 17:54:49,344 | server.py:240 | aggregate_fit: received 49 results and 0 failures
dv - | INFO flwr 2024-10-15 17:54:49,367 | server.py:178 | configure_evaluate: strategy sampled 49 clients (out of 100)
dv - | INFO flwr 2024-10-15 17:54:49,882 | server.py:192 | aggregate_evaluate: received 49 results and 0 failures
dv - | INFO flwr 2024-10-15 17:54:49,882 | fed_custom.py:227 | aggregated accuracy: 0.10810810810810811
dv - | INFO flwr 2024-10-15 17:54:49,882 | server.py:112 | 
dv - | INFO flwr 2024-10-15 17:54:49,882 | server.py:113 | [ROUND 5]
dv - | INFO flwr 2024-10-15 17:54:49,882 | server.py:226 | configure_fit: strategy sampled 69 clients (out of 100)
dv - | INFO flwr 2024-10-15 17:54:53,952 | server.py:240 | aggregate_fit: received 69 results and 0 failures
dv - | INFO flwr 2024-10-15 17:54:53,982 | server.py:178 | configure_evaluate: strategy sampled 69 clients (out of 100)
dv - | INFO flwr 2024-10-15 17:54:54,803 | server.py:192 | aggregate_evaluate: received 69 results and 0 failures
dv - | INFO flwr 2024-10-15 17:54:54,803 | fed_custom.py:227 | aggregated accuracy: 0.10769444830944762
dv - | INFO flwr 2024-10-15 17:54:54,803 | server.py:112 | 
dv - | INFO flwr 2024-10-15 17:54:54,803 | server.py:113 | [ROUND 6]
dv - | INFO flwr 2024-10-15 17:54:54,803 | server.py:226 | configure_fit: strategy sampled 57 clients (out of 100)
dv - | INFO flwr 2024-10-15 17:54:57,984 | server.py:240 | aggregate_fit: received 57 results and 0 failures
dv - | INFO flwr 2024-10-15 17:54:58,010 | server.py:178 | configure_evaluate: strategy sampled 57 clients (out of 100)
dv - | INFO flwr 2024-10-15 17:54:58,647 | server.py:192 | aggregate_evaluate: received 57 results and 0 failures
dv - | INFO flwr 2024-10-15 17:54:58,648 | fed_custom.py:227 | aggregated accuracy: 0.10878279883381924
dv - | INFO flwr 2024-10-15 17:54:58,648 | server.py:112 | 
dv - | INFO flwr 2024-10-15 17:54:58,648 | server.py:113 | [ROUND 7]
dv - | INFO flwr 2024-10-15 17:54:58,648 | server.py:226 | configure_fit: strategy sampled 51 clients (out of 100)
dv - | INFO flwr 2024-10-15 17:55:01,484 | server.py:240 | aggregate_fit: received 51 results and 0 failures
dv - | INFO flwr 2024-10-15 17:55:01,507 | server.py:178 | configure_evaluate: strategy sampled 51 clients (out of 100)
dv - | INFO flwr 2024-10-15 17:55:02,036 | server.py:192 | aggregate_evaluate: received 51 results and 0 failures
dv - | INFO flwr 2024-10-15 17:55:02,037 | fed_custom.py:227 | aggregated accuracy: 0.10929622907844323
dv - | INFO flwr 2024-10-15 17:55:02,037 | server.py:112 | 
dv - | INFO flwr 2024-10-15 17:55:02,037 | server.py:113 | [ROUND 8]
dv - | INFO flwr 2024-10-15 17:55:02,037 | server.py:226 | configure_fit: strategy sampled 37 clients (out of 100)
dv - | INFO flwr 2024-10-15 17:55:04,094 | server.py:240 | aggregate_fit: received 37 results and 0 failures
dv - | INFO flwr 2024-10-15 17:55:04,111 | server.py:178 | configure_evaluate: strategy sampled 37 clients (out of 100)
dv - | INFO flwr 2024-10-15 17:55:04,621 | server.py:192 | aggregate_evaluate: received 37 results and 0 failures
dv - | INFO flwr 2024-10-15 17:55:04,621 | fed_custom.py:227 | aggregated accuracy: 0.12973121228743828
dv - | INFO flwr 2024-10-15 17:55:04,621 | server.py:112 | 
dv - | INFO flwr 2024-10-15 17:55:04,621 | server.py:113 | [ROUND 9]
dv - | INFO flwr 2024-10-15 17:55:04,621 | server.py:226 | configure_fit: strategy sampled 49 clients (out of 100)
dv - | INFO flwr 2024-10-15 17:55:07,294 | server.py:240 | aggregate_fit: received 49 results and 0 failures
dv - | INFO flwr 2024-10-15 17:55:07,317 | server.py:178 | configure_evaluate: strategy sampled 49 clients (out of 100)
dv - | INFO flwr 2024-10-15 17:55:07,925 | server.py:192 | aggregate_evaluate: received 49 results and 0 failures
dv - | INFO flwr 2024-10-15 17:55:07,925 | fed_custom.py:227 | aggregated accuracy: 0.07642903018625562
dv - | INFO flwr 2024-10-15 17:55:07,925 | server.py:112 | 
dv - | INFO flwr 2024-10-15 17:55:07,925 | server.py:113 | [ROUND 10]
dv - | INFO flwr 2024-10-15 17:55:07,925 | server.py:226 | configure_fit: strategy sampled 40 clients (out of 100)
dv - | INFO flwr 2024-10-15 17:55:10,278 | server.py:240 | aggregate_fit: received 40 results and 0 failures
dv - | INFO flwr 2024-10-15 17:55:10,296 | server.py:178 | configure_evaluate: strategy sampled 40 clients (out of 100)
dv - | INFO flwr 2024-10-15 17:55:10,833 | server.py:192 | aggregate_evaluate: received 40 results and 0 failures
dv - | INFO flwr 2024-10-15 17:55:10,833 | fed_custom.py:227 | aggregated accuracy: 0.09069827364081422
dv - | INFO flwr 2024-10-15 17:55:10,833 | server.py:112 | 
dv - | INFO flwr 2024-10-15 17:55:10,833 | server.py:113 | [ROUND 11]
dv - | INFO flwr 2024-10-15 17:55:10,833 | server.py:226 | configure_fit: strategy sampled 50 clients (out of 100)
dv - | INFO flwr 2024-10-15 17:55:13,699 | server.py:240 | aggregate_fit: received 50 results and 0 failures
dv - | INFO flwr 2024-10-15 17:55:13,723 | server.py:178 | configure_evaluate: strategy sampled 50 clients (out of 100)
dv - | INFO flwr 2024-10-15 17:55:14,339 | server.py:192 | aggregate_evaluate: received 50 results and 0 failures
dv - | INFO flwr 2024-10-15 17:55:14,339 | fed_custom.py:227 | aggregated accuracy: 0.0983735057809132
dv - | INFO flwr 2024-10-15 17:55:14,339 | server.py:112 | 
dv - | INFO flwr 2024-10-15 17:55:14,339 | server.py:113 | [ROUND 12]
dv - | INFO flwr 2024-10-15 17:55:14,340 | server.py:226 | configure_fit: strategy sampled 45 clients (out of 100)
dv - | INFO flwr 2024-10-15 17:55:17,018 | server.py:240 | aggregate_fit: received 45 results and 0 failures
dv - | INFO flwr 2024-10-15 17:55:17,038 | server.py:178 | configure_evaluate: strategy sampled 45 clients (out of 100)
dv - | INFO flwr 2024-10-15 17:55:17,646 | server.py:192 | aggregate_evaluate: received 45 results and 0 failures
dv - | INFO flwr 2024-10-15 17:55:17,646 | fed_custom.py:227 | aggregated accuracy: 0.1188857205527528
dv - | INFO flwr 2024-10-15 17:55:17,646 | server.py:112 | 
dv - | INFO flwr 2024-10-15 17:55:17,646 | server.py:113 | [ROUND 13]
dv - | INFO flwr 2024-10-15 17:55:17,646 | server.py:226 | configure_fit: strategy sampled 49 clients (out of 100)
dv - | INFO flwr 2024-10-15 17:55:20,587 | server.py:240 | aggregate_fit: received 49 results and 0 failures
dv - | INFO flwr 2024-10-15 17:55:20,610 | server.py:178 | configure_evaluate: strategy sampled 49 clients (out of 100)
dv - | INFO flwr 2024-10-15 17:55:21,047 | server.py:192 | aggregate_evaluate: received 49 results and 0 failures
dv - | INFO flwr 2024-10-15 17:55:21,047 | fed_custom.py:227 | aggregated accuracy: 0.1265898251192369
dv - | INFO flwr 2024-10-15 17:55:21,047 | server.py:112 | 
dv - | INFO flwr 2024-10-15 17:55:21,047 | server.py:113 | [ROUND 14]
dv - | INFO flwr 2024-10-15 17:55:21,047 | server.py:226 | configure_fit: strategy sampled 52 clients (out of 100)
dv - | INFO flwr 2024-10-15 17:55:24,094 | server.py:240 | aggregate_fit: received 52 results and 0 failures
dv - | INFO flwr 2024-10-15 17:55:24,118 | server.py:178 | configure_evaluate: strategy sampled 52 clients (out of 100)
dv - | INFO flwr 2024-10-15 17:55:24,631 | server.py:192 | aggregate_evaluate: received 52 results and 0 failures
dv - | INFO flwr 2024-10-15 17:55:24,631 | fed_custom.py:227 | aggregated accuracy: 0.11447419480015522
dv - | INFO flwr 2024-10-15 17:55:24,631 | server.py:112 | 
dv - | INFO flwr 2024-10-15 17:55:24,631 | server.py:113 | [ROUND 15]
dv - | INFO flwr 2024-10-15 17:55:24,632 | server.py:226 | configure_fit: strategy sampled 65 clients (out of 100)
dv - | INFO flwr 2024-10-15 17:55:28,451 | server.py:240 | aggregate_fit: received 65 results and 0 failures
dv - | INFO flwr 2024-10-15 17:55:28,480 | server.py:178 | configure_evaluate: strategy sampled 65 clients (out of 100)
dv - | INFO flwr 2024-10-15 17:55:29,097 | server.py:192 | aggregate_evaluate: received 65 results and 0 failures
dv - | INFO flwr 2024-10-15 17:55:29,097 | fed_custom.py:227 | aggregated accuracy: 0.09695332432838061
dv - | INFO flwr 2024-10-15 17:55:29,097 | server.py:112 | 
dv - | INFO flwr 2024-10-15 17:55:29,097 | server.py:113 | [ROUND 16]
dv - | INFO flwr 2024-10-15 17:55:29,097 | server.py:226 | configure_fit: strategy sampled 47 clients (out of 100)
dv - | INFO flwr 2024-10-15 17:55:31,853 | server.py:240 | aggregate_fit: received 47 results and 0 failures
dv - | INFO flwr 2024-10-15 17:55:31,877 | server.py:178 | configure_evaluate: strategy sampled 47 clients (out of 100)
dv - | INFO flwr 2024-10-15 17:55:32,311 | server.py:192 | aggregate_evaluate: received 47 results and 0 failures
dv - | INFO flwr 2024-10-15 17:55:32,311 | fed_custom.py:227 | aggregated accuracy: 0.12094395280235988
dv - | INFO flwr 2024-10-15 17:55:32,311 | server.py:112 | 
dv - | INFO flwr 2024-10-15 17:55:32,311 | server.py:113 | [ROUND 17]
dv - | INFO flwr 2024-10-15 17:55:32,311 | server.py:226 | configure_fit: strategy sampled 54 clients (out of 100)
dv - | INFO flwr 2024-10-15 17:55:35,305 | server.py:240 | aggregate_fit: received 54 results and 0 failures
dv - | INFO flwr 2024-10-15 17:55:35,331 | server.py:178 | configure_evaluate: strategy sampled 54 clients (out of 100)
dv - | INFO flwr 2024-10-15 17:55:35,848 | server.py:192 | aggregate_evaluate: received 54 results and 0 failures
dv - | INFO flwr 2024-10-15 17:55:35,848 | fed_custom.py:227 | aggregated accuracy: 0.10358565737051793
dv - | INFO flwr 2024-10-15 17:55:35,848 | server.py:112 | 
dv - | INFO flwr 2024-10-15 17:55:35,848 | server.py:113 | [ROUND 18]
dv - | INFO flwr 2024-10-15 17:55:35,849 | server.py:226 | configure_fit: strategy sampled 53 clients (out of 100)
dv - | INFO flwr 2024-10-15 17:55:38,900 | server.py:240 | aggregate_fit: received 53 results and 0 failures
dv - | INFO flwr 2024-10-15 17:55:38,925 | server.py:178 | configure_evaluate: strategy sampled 53 clients (out of 100)
