round,accuracy,count
1,0.11709741550695825,101
2,0.0935361216730038,103
3,0.09747145187601958,98
4,0.09744285160790392,98
5,0.10673976136730087,127
6,0.08282208588957055,109
7,0.09896455595380327,102
8,0.1017103762827822,82
9,0.07955911823647295,99
10,0.10895769321673364,86
11,0.09657383289921859,101
12,0.11,93
13,0.10651356167095624,99
14,0.10948210205635948,103
15,0.09713168187744459,121
16,0.10636942675159236,96
17,0.09711684370257967,106
18,0.10671191553544494,105
19,0.10008818342151675,91
20,0.10594755915583032,94
21,0.10619469026548672,102
22,0.08912617127914578,91
23,0.09347784013934585,104
24,0.0932527693856999,99
25,0.11175942549371634,88
26,0.08761442181954045,105
27,0.09462129527991218,90
28,0.10832889362457823,110
29,0.10126126126126127,111
30,0.11651031894934334,107
31,0.08511567001309472,93
32,0.1090793110780353,94
33,0.07760625925142736,94
34,0.11420132906719173,80
35,0.10215595406004432,102
36,0.11952998379254456,101
37,0.08502663247188795,102
38,0.09900990099009901,94
39,0.09468984962406016,87
40,0.09334163036714374,94
41,0.09831570701135918,102
42,0.10062111801242236,111
43,0.09163195759182129,105
44,0.10231451438459875,92
45,0.08490746040831902,103
46,0.08079769736842106,98
47,0.08794247787610619,106
48,0.10025897151313355,110
49,0.08654013581751697,114
50,0.10277156137028748,114
51,0.09278545729975383,107
52,0.10222082217672074,124
53,0.11085690515806988,98
54,0.10586944596818432,105
55,0.09291698400609291,103
56,0.1032379164711403,87
57,0.09844664111357676,102
58,0.09847893915756631,102
59,0.09381044487427466,104
60,0.10049019607843138,115
61,0.09695463020509633,98
62,0.09132743362831858,110
63,0.08609271523178808,85
64,0.11154553817847286,88
65,0.09083063646170442,89
66,0.09855072463768116,86
67,0.09447289422567544,110
68,0.10400166736140058,97
69,0.09329061439879383,106
70,0.09289719626168225,107
71,0.07877664504170528,107
72,0.09602458229306703,101
73,0.10582857142857142,90
74,0.09413246940244781,109
75,0.10373360242179616,95
76,0.0964259121370067,106
77,0.10382266455553042,89
78,0.09544383346425767,102
79,0.09274260208298893,119
80,0.07707836300238576,101
81,0.09933035714285714,107
82,0.08709677419354839,97
83,0.09376153562200074,107
84,0.09339842920823604,91
85,0.10525030525030525,79
86,0.09147479775980087,94
87,0.09320663162151234,96
88,0.09674995303400338,105
