dv - | INFO flwr 2024-10-16 09:02:00,590 | server_app.py:88 | file writing: True
dv - | INFO flwr 2024-10-16 09:02:00,590 | server_app.py:89 | running in fed_fuzz
dv - | INFO flwr 2024-10-16 09:02:00,590 | server_app.py:90 | min num clients 2
dv - | INFO flwr 2024-10-16 09:02:00,590 | server_app.py:91 | num server rounds 800
dv - | INFO flwr 2024-10-16 09:02:00,590 | server_app.py:92 | config num local epochs 1
dv - | INFO flwr 2024-10-16 09:02:00,590 | server_app.py:93 | advanced logging False
dv - | INFO flwr 2024-10-16 09:02:00,590 | app.py:74 | Starting Flower ServerApp, config: num_rounds=800, no round_timeout
dv - | INFO flwr 2024-10-16 09:02:00,590 | app.py:79 | 
dv - | INFO flwr 2024-10-16 09:02:00,590 | server.py:92 | [INIT]
dv - | INFO flwr 2024-10-16 09:02:00,591 | server.py:277 | Using initial global parameters provided by strategy
dv - | INFO flwr 2024-10-16 09:02:00,591 | server.py:94 | Starting evaluation of initial global parameters
dv - | INFO flwr 2024-10-16 09:02:00,591 | server.py:106 | Evaluation returned no results (`None`)
dv - | INFO flwr 2024-10-16 09:02:00,591 | server.py:112 | 
dv - | INFO flwr 2024-10-16 09:02:00,591 | server.py:113 | [ROUND 1]
dv - | INFO flwr 2024-10-16 09:02:00,591 | server.py:226 | configure_fit: strategy sampled 26 clients (out of 50)
dv - | DEBUG flwr 2024-10-16 09:02:03,520 | raybackend.py:141 | Constructed ActorPool with: 12 actors
dv - | DEBUG flwr 2024-10-16 09:02:03,520 | state_factory.py:50 | Using InMemoryState
dv - | INFO flwr 2024-10-16 09:02:14,831 | server.py:240 | aggregate_fit: received 26 results and 0 failures
dv - | INFO flwr 2024-10-16 09:02:14,840 | server.py:178 | configure_evaluate: strategy sampled 26 clients (out of 50)
dv - | INFO flwr 2024-10-16 09:02:15,146 | server.py:192 | aggregate_evaluate: received 26 results and 0 failures
dv - | INFO flwr 2024-10-16 09:02:15,146 | fed_custom.py:227 | aggregated accuracy: 0.09465648854961832
dv - | INFO flwr 2024-10-16 09:02:15,146 | server.py:112 | 
dv - | INFO flwr 2024-10-16 09:02:15,146 | server.py:113 | [ROUND 2]
dv - | INFO flwr 2024-10-16 09:02:15,146 | server.py:226 | configure_fit: strategy sampled 26 clients (out of 50)
dv - | INFO flwr 2024-10-16 09:02:16,577 | server.py:240 | aggregate_fit: received 26 results and 0 failures
dv - | INFO flwr 2024-10-16 09:02:16,583 | server.py:178 | configure_evaluate: strategy sampled 26 clients (out of 50)
dv - | INFO flwr 2024-10-16 09:02:16,891 | server.py:192 | aggregate_evaluate: received 26 results and 0 failures
dv - | INFO flwr 2024-10-16 09:02:16,891 | fed_custom.py:227 | aggregated accuracy: 0.10236363636363636
dv - | INFO flwr 2024-10-16 09:02:16,891 | server.py:112 | 
dv - | INFO flwr 2024-10-16 09:02:16,891 | server.py:113 | [ROUND 3]
dv - | INFO flwr 2024-10-16 09:02:16,891 | server.py:226 | configure_fit: strategy sampled 24 clients (out of 50)
dv - | INFO flwr 2024-10-16 09:02:18,218 | server.py:240 | aggregate_fit: received 24 results and 0 failures
dv - | INFO flwr 2024-10-16 09:02:18,226 | server.py:178 | configure_evaluate: strategy sampled 24 clients (out of 50)
dv - | INFO flwr 2024-10-16 09:02:18,434 | server.py:192 | aggregate_evaluate: received 24 results and 0 failures
dv - | INFO flwr 2024-10-16 09:02:18,434 | fed_custom.py:227 | aggregated accuracy: 0.10126324368378158
dv - | INFO flwr 2024-10-16 09:02:18,434 | server.py:112 | 
dv - | INFO flwr 2024-10-16 09:02:18,434 | server.py:113 | [ROUND 4]
dv - | INFO flwr 2024-10-16 09:02:18,434 | server.py:226 | configure_fit: strategy sampled 24 clients (out of 50)
dv - | INFO flwr 2024-10-16 09:02:19,751 | server.py:240 | aggregate_fit: received 24 results and 0 failures
dv - | INFO flwr 2024-10-16 09:02:19,758 | server.py:178 | configure_evaluate: strategy sampled 24 clients (out of 50)
dv - | INFO flwr 2024-10-16 09:02:19,969 | server.py:192 | aggregate_evaluate: received 24 results and 0 failures
dv - | INFO flwr 2024-10-16 09:02:19,969 | fed_custom.py:227 | aggregated accuracy: 0.10588483442311748
dv - | INFO flwr 2024-10-16 09:02:19,969 | server.py:112 | 
dv - | INFO flwr 2024-10-16 09:02:19,969 | server.py:113 | [ROUND 5]
