dv - | INFO flwr 2024-10-16 09:01:48,361 | server_app.py:88 | file writing: True
dv - | INFO flwr 2024-10-16 09:01:48,362 | server_app.py:89 | running in fed_loss
dv - | INFO flwr 2024-10-16 09:01:48,362 | server_app.py:90 | min num clients 2
dv - | INFO flwr 2024-10-16 09:01:48,362 | server_app.py:91 | num server rounds 800
dv - | INFO flwr 2024-10-16 09:01:48,362 | server_app.py:92 | config num local epochs 1
dv - | INFO flwr 2024-10-16 09:01:48,362 | server_app.py:93 | advanced logging False
dv - | INFO flwr 2024-10-16 09:01:48,362 | app.py:74 | Starting Flower ServerApp, config: num_rounds=800, no round_timeout
dv - | INFO flwr 2024-10-16 09:01:48,362 | app.py:79 | 
dv - | INFO flwr 2024-10-16 09:01:48,362 | server.py:92 | [INIT]
dv - | INFO flwr 2024-10-16 09:01:48,362 | server.py:277 | Using initial global parameters provided by strategy
dv - | INFO flwr 2024-10-16 09:01:48,362 | server.py:94 | Starting evaluation of initial global parameters
dv - | INFO flwr 2024-10-16 09:01:48,362 | server.py:106 | Evaluation returned no results (`None`)
dv - | INFO flwr 2024-10-16 09:01:48,362 | server.py:112 | 
dv - | INFO flwr 2024-10-16 09:01:48,362 | server.py:113 | [ROUND 1]
dv - | INFO flwr 2024-10-16 09:01:48,362 | server.py:226 | configure_fit: strategy sampled 26 clients (out of 50)
dv - | DEBUG flwr 2024-10-16 09:01:50,921 | raybackend.py:141 | Constructed ActorPool with: 12 actors
dv - | DEBUG flwr 2024-10-16 09:01:50,921 | state_factory.py:50 | Using InMemoryState
dv - | INFO flwr 2024-10-16 09:01:57,724 | server.py:240 | aggregate_fit: received 26 results and 0 failures
dv - | INFO flwr 2024-10-16 09:01:57,733 | server.py:178 | configure_evaluate: strategy sampled 26 clients (out of 50)
dv - | INFO flwr 2024-10-16 09:01:57,953 | server.py:192 | aggregate_evaluate: received 26 results and 0 failures
dv - | INFO flwr 2024-10-16 09:01:57,954 | fed_custom.py:227 | aggregated accuracy: 0.13330711757766417
dv - | INFO flwr 2024-10-16 09:01:57,954 | server.py:112 | 
dv - | INFO flwr 2024-10-16 09:01:57,954 | server.py:113 | [ROUND 2]
dv - | INFO flwr 2024-10-16 09:01:57,954 | server.py:226 | configure_fit: strategy sampled 26 clients (out of 50)
dv - | INFO flwr 2024-10-16 09:01:59,373 | server.py:240 | aggregate_fit: received 26 results and 0 failures
dv - | INFO flwr 2024-10-16 09:01:59,380 | server.py:178 | configure_evaluate: strategy sampled 26 clients (out of 50)
dv - | INFO flwr 2024-10-16 09:01:59,591 | server.py:192 | aggregate_evaluate: received 26 results and 0 failures
dv - | INFO flwr 2024-10-16 09:01:59,591 | fed_custom.py:227 | aggregated accuracy: 0.130645473929056
dv - | INFO flwr 2024-10-16 09:01:59,592 | server.py:112 | 
dv - | INFO flwr 2024-10-16 09:01:59,592 | server.py:113 | [ROUND 3]
dv - | INFO flwr 2024-10-16 09:01:59,592 | server.py:226 | configure_fit: strategy sampled 24 clients (out of 50)
dv - | INFO flwr 2024-10-16 09:02:00,823 | server.py:240 | aggregate_fit: received 24 results and 0 failures
dv - | INFO flwr 2024-10-16 09:02:00,831 | server.py:178 | configure_evaluate: strategy sampled 24 clients (out of 50)
dv - | INFO flwr 2024-10-16 09:02:01,136 | server.py:192 | aggregate_evaluate: received 24 results and 0 failures
dv - | INFO flwr 2024-10-16 09:02:01,136 | fed_custom.py:227 | aggregated accuracy: 0.11382636655948553
dv - | INFO flwr 2024-10-16 09:02:01,136 | server.py:112 | 
dv - | INFO flwr 2024-10-16 09:02:01,136 | server.py:113 | [ROUND 4]
dv - | INFO flwr 2024-10-16 09:02:01,136 | server.py:226 | configure_fit: strategy sampled 24 clients (out of 50)
dv - | INFO flwr 2024-10-16 09:02:02,458 | server.py:240 | aggregate_fit: received 24 results and 0 failures
dv - | INFO flwr 2024-10-16 09:02:02,464 | server.py:178 | configure_evaluate: strategy sampled 24 clients (out of 50)
dv - | INFO flwr 2024-10-16 09:02:02,775 | server.py:192 | aggregate_evaluate: received 24 results and 0 failures
dv - | INFO flwr 2024-10-16 09:02:02,775 | fed_custom.py:227 | aggregated accuracy: 0.06558830046532241
dv - | INFO flwr 2024-10-16 09:02:02,775 | server.py:112 | 
dv - | INFO flwr 2024-10-16 09:02:02,775 | server.py:113 | [ROUND 5]
dv - | INFO flwr 2024-10-16 09:02:02,775 | server.py:226 | configure_fit: strategy sampled 38 clients (out of 50)
dv - | INFO flwr 2024-10-16 09:02:04,793 | server.py:240 | aggregate_fit: received 38 results and 0 failures
dv - | INFO flwr 2024-10-16 09:02:04,805 | server.py:178 | configure_evaluate: strategy sampled 38 clients (out of 50)
dv - | INFO flwr 2024-10-16 09:02:05,215 | server.py:192 | aggregate_evaluate: received 38 results and 0 failures
dv - | INFO flwr 2024-10-16 09:02:05,215 | fed_custom.py:227 | aggregated accuracy: 0.07881269191402251
dv - | INFO flwr 2024-10-16 09:02:05,215 | server.py:112 | 
dv - | INFO flwr 2024-10-16 09:02:05,215 | server.py:113 | [ROUND 6]
dv - | INFO flwr 2024-10-16 09:02:05,215 | server.py:226 | configure_fit: strategy sampled 30 clients (out of 50)
dv - | INFO flwr 2024-10-16 09:02:06,838 | server.py:240 | aggregate_fit: received 30 results and 0 failures
dv - | INFO flwr 2024-10-16 09:02:06,848 | server.py:178 | configure_evaluate: strategy sampled 30 clients (out of 50)
dv - | INFO flwr 2024-10-16 09:02:07,156 | server.py:192 | aggregate_evaluate: received 30 results and 0 failures
dv - | INFO flwr 2024-10-16 09:02:07,156 | fed_custom.py:227 | aggregated accuracy: 0.08752236863510655
dv - | INFO flwr 2024-10-16 09:02:07,156 | server.py:112 | 
dv - | INFO flwr 2024-10-16 09:02:07,156 | server.py:113 | [ROUND 7]
dv - | INFO flwr 2024-10-16 09:02:07,156 | server.py:226 | configure_fit: strategy sampled 26 clients (out of 50)
dv - | INFO flwr 2024-10-16 09:02:08,675 | server.py:240 | aggregate_fit: received 26 results and 0 failures
dv - | INFO flwr 2024-10-16 09:02:08,684 | server.py:178 | configure_evaluate: strategy sampled 26 clients (out of 50)
dv - | INFO flwr 2024-10-16 09:02:08,990 | server.py:192 | aggregate_evaluate: received 26 results and 0 failures
