round,accuracy,count
1,0.09602550054786334,9
2,0.10837732841916525,9
3,0.10439286781551947,6
4,0.10439286781551947,7
5,0.10439286781551947,11
6,0.09911345751568881,9
7,0.10439286781551947,7
8,0.11784042235282399,6
9,0.10439286781551947,7
10,0.14951688415180794,7
11,0.13656738718995917,6
12,0.1824882956469768,6
13,0.1693395756549457,6
14,0.13477437991831856,10
15,0.17153102898695088,9
16,0.17481820898495867,4
17,0.1907560513995418,9
18,0.17153102898695088,7
19,0.18438091443370855,7
20,0.16635123020221138,6
21,0.17461898595477637,8
22,0.2187468871401534,8
23,0.22532124713616894,7
24,0.20011953381810937,6
25,0.2002191453332005,5
26,0.252913636816416,8
27,0.23358900288873394,5
28,0.2051001095726666,9
29,0.27373244347046516,11
30,0.2773184580137464,10
31,0.2762227313477438,6
32,0.252913636816416,7
33,0.2815021416475745,8
34,0.28140253013248334,8
35,0.26934953680645485,7
36,0.26157983862934553,9
37,0.22910648470963244,5
38,0.2794102998306604,4
39,0.2842912640701265,6
40,0.3111863731447355,7
41,0.28279709134375935,8
42,0.32373742404621975,9
43,0.30202211375635024,6
44,0.2672576949895408,7
45,0.245343161669489,7
46,0.29584619982069926,7
47,0.28329514891921503,6
48,0.2929574658830561,10
49,0.24036258591493176,10
50,0.33061061858750873,10
51,0.3486403028190059,11
52,0.3366869210080685,7
53,0.306006574359996,5
54,0.34336089251917523,8
55,0.3342962446458811,5
56,0.332901683434605,8
57,0.3392768204004383,8
58,0.30680346648072515,8
59,0.36557426038450047,10
60,0.36437892220340673,7
61,0.3263273234385895,8
62,0.3238370355613109,5
63,0.3270246040442275,4
64,0.3791214264368961,10
65,0.3589999003884849,9
66,0.3359896404024305,7
67,0.30202211375635024,7
68,0.3491383603944616,9
69,0.31128598465982665,7
70,0.3629843609921307,6
71,0.20280904472557026,8
72,0.19374439685227612,6
73,0.2945512501245144,8
74,0.3200517979878474,5
75,0.31706345253511303,8
76,0.34306205797390177,10
77,0.35372049008865425,6
78,0.4146827373244347,10
79,0.4137862336886144,6
80,0.39934256400039847,7
81,0.36916027492778164,8
82,0.36358203008267753,4
83,0.3741408506823389,7
84,0.372845900986154,6
85,0.348042633728459,8
86,0.33559119434206597,5
87,0.3866919015838231,6
88,0.36447853371849787,7
89,0.4123916724773384,7
90,0.36507620280904474,8
91,0.39266859248929176,6
92,0.39306703854965636,10
93,0.37424046219743,4
94,0.34654846100209186,7
95,0.35282398645283397,4
96,0.4144835142942524,7
97,0.39754955672875786,6
98,0.4113955573264269,10
99,0.41876680944317163,8
100,0.3876880167347345,8
101,0.3942623767307501,7
102,0.3037155095128997,6
103,0.4062157585416874,6
104,0.3648769797788624,6
105,0.39077597370256,10
106,0.4010359597569479,6
107,0.42036059368462997,13
108,0.34585118039645385,6
109,0.35571272039047713,8
110,0.4225520470166351,7
111,0.3538201016037454,4
112,0.4034266361191354,10
113,0.38818607431019025,8
114,0.392170534913836,8
115,0.35103097918119336,6
116,0.24564199621476243,7
117,0.37165056280506026,8
118,0.3791214264368961,6
119,0.44675764518378325,10
120,0.431417471859747,8
121,0.39486004582129697,9
122,0.40292857854367964,6
123,0.42384699671282,7
124,0.4137862336886144,5
125,0.4531327821496165,9
126,0.4308198027692001,7
127,0.38011754158780753,5
128,0.45054288275724674,8
129,0.4173722482318956,5
130,0.4355015439784839,10
131,0.3694591094730551,6
132,0.3855961749178205,4
133,0.44984560215160874,6
134,0.44386891124614003,7
135,0.4480525948799681,5
136,0.3737424046219743,5
137,0.44028289670285886,5
138,0.4025301324833151,9
139,0.4361988245841219,7
140,0.44436696882159576,8
141,0.3798187070425341,7
142,0.3477437991831856,4
143,0.46807450941328815,9
144,0.42364777368263773,5
145,0.4511405518477936,7
146,0.3356908058571571,6
147,0.4240462197430023,8
148,0.4008367367267656,3
149,0.42862834943719497,7
150,0.4827174021316864,10
151,0.43809144337085365,11
152,0.42374738519772887,6
153,0.4258392270146429,11
154,0.4283295148919215,6
155,0.3343958561609722,4
156,0.24922801075804363,6
157,0.45641996214762426,8
158,0.4137862336886144,8
159,0.43599960155393963,9
160,0.4524355015439785,8
161,0.49128399242952486,8
162,0.40272935551349737,4
163,0.45771491184380914,5
164,0.3766311385596175,6
165,0.468672178503835,6
166,0.47046518577547564,10
167,0.4879968124315171,8
168,0.47385197728857453,7
169,0.4337085367068433,5
170,0.4308198027692001,6
171,0.4461599760932364,6
172,0.37951987249726066,5
173,0.43709532821994224,9
174,0.44785337184978585,10
175,0.34953680645482615,10
176,0.4444665803366869,5
177,0.38539695188763823,7
178,0.48162167546568385,8
179,0.4511405518477936,6
180,0.4489490985157884,9
181,0.45163860942324935,7
182,0.4685725669887439,10
183,0.48122322940531925,7
184,0.44496463791214264,5
185,0.5002490287877278,9
186,0.4083076003586015,9
187,0.45193744396852276,6
188,0.43062057973901785,6
189,0.421755154895906,4
190,0.4692698475943819,6
191,0.47763721486203803,10
192,0.4922801075804363,7
193,0.5014443669688216,7
194,0.45333200517979877,9
195,0.44506424942723377,6
196,0.43888833549158285,6
197,0.4180695288375336,5
198,0.48988943121824885,7
199,0.47464886940930373,7
200,0.4654846100209184,10
