round,accuracy,count
1,0.10230102599860544,7
2,0.13248331507122224,7
3,0.10489092539097519,6
4,0.09961151509114453,6
5,0.09821695387986851,9
6,0.09732045024404821,8
7,0.09891423448550653,8
8,0.10110568781751171,6
9,0.09742006175913935,6
10,0.12630740113557126,6
11,0.16226715808347444,5
12,0.12242255204701663,6
13,0.16017531626656042,7
14,0.16306405020420361,9
15,0.15927881263074012,10
16,0.1815917920111565,5
17,0.21406514593086962,8
18,0.2059966132084869,4
19,0.17989839625460705,6
20,0.21356708835541388,7
21,0.2314971610718199,7
22,0.1820898495866122,8
23,0.229504930769997,7
24,0.21506126108178106,5
25,0.1981273035162865,6
26,0.24235481621675467,9
27,0.26247634226516586,6
28,0.2751270046817412,9
29,0.2571969319653352,9
30,0.2552047016635123,9
31,0.28200019922303016,7
32,0.23219444167745792,8
33,0.2739316665006475,6
34,0.236378125311286,9
35,0.2424544277318458,8
36,0.25440780954278314,9
37,0.23488395258491881,6
38,0.1677457914134874,5
39,0.2051001095726666,6
40,0.28817611315868114,6
41,0.22731347743799182,7
42,0.2988345452734336,9
43,0.26855264468572565,5
44,0.29654348042633727,10
45,0.2507221834844108,6
46,0.2702460404422751,7
47,0.3028190058770794,8
48,0.2667596374140851,8
49,0.28379320649467077,9
50,0.29624464588106386,8
51,0.29235979679250923,11
52,0.24006375136965832,8
53,0.2554039246936946,8
54,0.2927582428528738,8
55,0.2612810040840721,6
56,0.30760035860145435,8
57,0.2869807749775874,8
58,0.36557426038450047,8
59,0.33509313676661023,11
60,0.34126905070226116,7
61,0.33061061858750873,9
62,0.28100408407211874,5
63,0.3338977985855165,6
64,0.3636816415977687,10
65,0.3634824185675864,9
66,0.29753959557724874,6
67,0.35421854766411,9
68,0.35372049008865425,8
69,0.3597967925092141,7
70,0.36069329614503437,6
71,0.3456519573662715,8
72,0.2545074210578743,7
73,0.35162864827174023,8
74,0.3338977985855165,5
75,0.34405817312481324,9
76,0.3607929076601255,10
77,0.33230401434405815,6
78,0.33887837434007373,10
79,0.3724474549257894,6
80,0.39057675067237774,6
81,0.3491383603944616,6
82,0.36676959856559416,4
83,0.40990138460005976,6
84,0.3986452833947604,7
85,0.38171132582926587,9
86,0.39824683733439586,7
87,0.3764319155294352,7
88,0.34684729554736526,6
89,0.4139854567187967,8
90,0.39505926885147924,8
91,0.42573961549955175,7
92,0.42165554338081485,10
93,0.423149716107182,6
94,0.32861838828568585,6
95,0.4077099312680546,6
96,0.4057177009662317,7
97,0.36647076402032075,8
98,0.4372945512501245,11
99,0.41607729853571074,8
100,0.35132981372646677,8
101,0.43311086761629647,7
102,0.4241458312580934,5
103,0.3572068931168443,7
104,0.408706046418966,7
105,0.4062157585416874,9
106,0.42444466580336687,7
107,0.44715609124414785,12
108,0.3569080585715709,5
109,0.38908257794601053,5
110,0.346648072517183,6
111,0.27183982468373347,2
112,0.422452435501544,9
113,0.42155593186572365,7
114,0.44297240761031975,4
115,0.3802171531028987,6
116,0.4048211973304114,6
117,0.3932662615798386,7
118,0.42862834943719497,6
119,0.40133479430222135,8
120,0.44815220639505926,6
121,0.4529335591194342,8
122,0.44914832154597073,7
123,0.43151708337483813,8
124,0.4128897300527941,5
125,0.46219743002291064,8
126,0.438290666401036,7
127,0.4407809542783146,5
128,0.44635919912341865,6
129,0.4225520470166351,5
130,0.4292260185277418,10
131,0.36358203008267753,6
132,0.41368662217352326,4
133,0.4222532124713617,7
134,0.4428727960952286,6
135,0.44327124215559316,5
136,0.42534116943918715,5
137,0.463791214264369,4
138,0.424544277318458,8
139,0.32244247435003487,6
140,0.34814224524355014,8
141,0.441777069429226,5
142,0.399741010060763,7
143,0.4717601354716605,8
144,0.4406813427632234,8
145,0.42683534216555435,6
146,0.43201514095029386,6
147,0.4397848391274031,7
148,0.42643689610518976,7
149,0.4292260185277418,6
150,0.40671381611714313,8
151,0.472756250622572,10
152,0.4117940033867915,8
153,0.46040442275127,9
154,0.46468771790018926,7
155,0.3936647076402032,7
156,0.429325630042833,6
157,0.42992329913337984,8
158,0.483115848192051,10
159,0.4799282797091344,10
160,0.46737722880765015,8
161,0.44835142942524153,7
162,0.4196633130789919,4
163,0.4325131985257496,6
164,0.47385197728857453,7
165,0.46309393365873097,7
166,0.49237971909552747,9
167,0.4754457615300329,7
168,0.485207690008965,6
169,0.3942623767307501,5
170,0.4477537603346947,5
171,0.4689710130491085,6
172,0.4490487100308796,5
173,0.44715609124414785,8
174,0.48530730152405616,9
175,0.3909751967327423,7
176,0.472058970016934,5
177,0.4573164657834446,6
178,0.40023906763621875,7
179,0.48879370455224624,9
180,0.4773383803167646,8
181,0.44476541488196036,5
182,0.40611614702659626,8
183,0.4489490985157884,8
184,0.46777567486801475,5
185,0.41508118338479927,11
186,0.49506923000298836,10
187,0.4506424942723379,6
188,0.4414782348839526,7
189,0.4737523657734834,6
190,0.36676959856559416,5
191,0.4860045821296942,10
192,0.4669787827472856,6
193,0.4441677457914135,7
194,0.47763721486203803,9
195,0.47962944516386097,6
196,0.4799282797091344,6
197,0.47335391971311885,5
198,0.41747185974698675,3
199,0.44586114154796297,6
200,0.46687917123219447,10
