dv - | INFO flwr 2024-10-16 10:30:41,822 | server_app.py:88 | file writing: True
dv - | INFO flwr 2024-10-16 10:30:41,822 | server_app.py:89 | running in fed_acc
dv - | INFO flwr 2024-10-16 10:30:41,822 | server_app.py:90 | min num clients 2
dv - | INFO flwr 2024-10-16 10:30:41,822 | server_app.py:91 | num server rounds 800
dv - | INFO flwr 2024-10-16 10:30:41,822 | server_app.py:92 | config num local epochs 1
dv - | INFO flwr 2024-10-16 10:30:41,822 | server_app.py:93 | advanced logging False
dv - | INFO flwr 2024-10-16 10:30:41,822 | app.py:74 | Starting Flower ServerApp, config: num_rounds=800, no round_timeout
dv - | INFO flwr 2024-10-16 10:30:41,822 | app.py:79 | 
dv - | INFO flwr 2024-10-16 10:30:41,822 | server.py:92 | [INIT]
dv - | INFO flwr 2024-10-16 10:30:41,822 | server.py:277 | Using initial global parameters provided by strategy
dv - | INFO flwr 2024-10-16 10:30:41,822 | server.py:94 | Starting evaluation of initial global parameters
dv - | INFO flwr 2024-10-16 10:30:41,822 | server.py:106 | Evaluation returned no results (`None`)
dv - | INFO flwr 2024-10-16 10:30:41,822 | server.py:112 | 
dv - | INFO flwr 2024-10-16 10:30:41,822 | server.py:113 | [ROUND 1]
dv - | INFO flwr 2024-10-16 10:30:41,823 | server.py:226 | configure_fit: strategy sampled 26 clients (out of 50)
dv - | DEBUG flwr 2024-10-16 10:30:43,868 | raybackend.py:141 | Constructed ActorPool with: 12 actors
dv - | DEBUG flwr 2024-10-16 10:30:43,868 | state_factory.py:50 | Using InMemoryState
dv - | INFO flwr 2024-10-16 10:30:49,379 | server.py:240 | aggregate_fit: received 26 results and 0 failures
dv - | INFO flwr 2024-10-16 10:30:49,387 | server.py:178 | configure_evaluate: strategy sampled 26 clients (out of 50)
dv - | INFO flwr 2024-10-16 10:30:49,600 | server.py:192 | aggregate_evaluate: received 26 results and 0 failures
dv - | INFO flwr 2024-10-16 10:30:49,600 | fed_custom.py:227 | aggregated accuracy: 0.09115384615384615
dv - | INFO flwr 2024-10-16 10:30:49,600 | server.py:112 | 
