round,accuracy,count
1,0.12884615384615383,26
2,0.12538461538461537,26
3,0.12541666666666668,24
4,0.1325,24
5,0.135,38
6,0.13283333333333333,30
7,0.1428846153846154,26
8,0.14,16
9,0.14458333333333334,24
10,0.15138888888888888,18
11,0.1406,25
12,0.14142857142857143,21
13,0.14270833333333333,24
14,0.14592592592592593,27
15,0.14242857142857143,35
16,0.14391304347826087,23
17,0.145,28
18,0.13907407407407407,27
19,0.141,20
20,0.15318181818181817,22
21,0.1426923076923077,26
22,0.143,20
23,0.13925925925925925,27
24,0.144375,24
25,0.15,19
26,0.1574074074074074,27
27,0.1455,20
28,0.153,30
29,0.1620967741935484,31
30,0.16,29
31,0.1675,22
32,0.17204545454545456,22
33,0.1759090909090909,22
34,0.17923076923076922,26
35,0.1814,25
36,0.18384615384615385,26
37,0.18863636363636363,22
38,0.1947222222222222,18
39,0.1943181818181818,22
40,0.1875,26
41,0.19083333333333333,30
42,0.19642857142857142,28
43,0.19285714285714287,21
44,0.18788461538461537,26
45,0.19125,24
46,0.19178571428571428,28
47,0.1875,30
48,0.18953125,32
49,0.19046875,32
50,0.18446428571428572,28
51,0.18256756756756756,37
52,0.171875,24
53,0.18407407407407408,27
54,0.18648148148148147,27
55,0.1836111111111111,18
56,0.1905769230769231,26
57,0.1853846153846154,26
58,0.185,27
59,0.18703125,32
60,0.191875,24
61,0.1935,30
62,0.19736842105263158,19
63,0.19789473684210526,19
64,0.19816666666666666,30
65,0.196875,24
66,0.20625,28
67,0.2082142857142857,28
68,0.21672413793103448,29
69,0.228,25
70,0.23125,20
71,0.23866666666666667,30
72,0.24304347826086956,23
73,0.24482142857142858,28
74,0.2413157894736842,19
75,0.2501923076923077,26
76,0.2489705882352941,34
77,0.257,25
78,0.258448275862069,29
79,0.2665217391304348,23
80,0.26241379310344826,29
81,0.2611904761904762,21
82,0.25833333333333336,15
83,0.2711363636363636,22
84,0.26956521739130435,23
85,0.2825,28
86,0.2868,25
87,0.27814814814814814,27
88,0.2781818181818182,22
89,0.2926923076923077,26
90,0.2911111111111111,27
91,0.2885714285714286,21
92,0.29017857142857145,28
93,0.2926190476190476,21
94,0.2896,25
95,0.2905,20
96,0.293695652173913,23
97,0.2938095238095238,21
98,0.28951612903225804,31
99,0.295,25
100,0.30410714285714285,28
101,0.3007692307692308,26
102,0.3036842105263158,19
103,0.30043478260869566,23
104,0.30482758620689654,29
105,0.30742424242424243,33
106,0.30673076923076925,26
107,0.30986842105263157,38
108,0.30333333333333334,21
109,0.31357142857142856,28
110,0.30568181818181817,22
111,0.3006666666666667,15
112,0.31157142857142855,35
113,0.3214814814814815,27
114,0.31363636363636366,22
115,0.32555555555555554,27
116,0.32,23
117,0.3252,25
118,0.3232608695652174,23
119,0.32416666666666666,30
120,0.3168,25
121,0.3284848484848485,33
122,0.3425,22
123,0.32666666666666666,24
124,0.3333333333333333,18
125,0.3339285714285714,28
126,0.3403448275862069,29
127,0.3290625,16
128,0.3407142857142857,28
129,0.33395833333333336,24
130,0.34274193548387094,31
131,0.3466666666666667,21
132,0.35642857142857143,14
133,0.35738095238095235,21
134,0.35160714285714284,28
135,0.3463636363636364,22
136,0.353,20
137,0.35033333333333333,15
138,0.35517241379310344,29
139,0.35119047619047616,21
140,0.3644230769230769,26
141,0.3615217391304348,23
142,0.365625,24
143,0.366,30
144,0.3724,25
145,0.36277777777777775,27
146,0.37083333333333335,24
147,0.3712,25
148,0.37238095238095237,21
149,0.37,20
150,0.37346153846153846,26
151,0.3796875,32
152,0.37089285714285714,28
153,0.38151515151515153,33
154,0.38839285714285715,28
155,0.38482758620689655,29
156,0.3883333333333333,21
157,0.38479166666666664,24
158,0.38661290322580644,31
159,0.38708333333333333,36
160,0.3898333333333333,30
161,0.3862962962962963,27
162,0.398,15
163,0.3811904761904762,21
164,0.4002173913043478,23
165,0.395,23
166,0.39390625,32
167,0.39,22
168,0.3940740740740741,27
169,0.3975,16
170,0.39475,20
171,0.40055555555555555,18
172,0.40444444444444444,18
173,0.4066666666666667,24
174,0.41129629629629627,27
175,0.401,30
176,0.4061904761904762,21
177,0.4080952380952381,21
178,0.4072,25
179,0.3975,26
180,0.40410714285714283,28
181,0.40217391304347827,23
182,0.40955882352941175,34
183,0.4064285714285714,21
184,0.40904761904761905,21
185,0.41305555555555556,36
186,0.415,28
187,0.42095238095238097,21
188,0.40543478260869564,23
189,0.4166666666666667,21
190,0.420625,24
191,0.4095161290322581,31
192,0.4082,25
193,0.405,27
194,0.42128571428571426,35
195,0.405,16
196,0.4271052631578947,19
197,0.41805555555555557,18
198,0.4171739130434783,23
199,0.4235714285714286,21
200,0.42078125,32
201,0.42096153846153844,26
202,0.42875,24
203,0.4185714285714286,21
204,0.42863636363636365,22
205,0.4182,25
206,0.42612903225806453,31
207,0.42404761904761906,21
208,0.4320588235294118,17
209,0.4260344827586207,29
210,0.4288888888888889,27
211,0.426,20
212,0.42923076923076925,26
213,0.4298,25
214,0.43558823529411766,17
215,0.4335185185185185,27
216,0.439,20
217,0.43615384615384617,26
218,0.4398076923076923,26
219,0.44013157894736843,38
220,0.44142857142857145,28
221,0.4396,25
222,0.44,30
223,0.4429166666666667,24
224,0.4373214285714286,28
225,0.45,21
226,0.4425925925925926,27
227,0.44722222222222224,27
228,0.442,25
229,0.4386764705882353,34
230,0.44342105263157894,19
231,0.44555555555555554,36
232,0.4370833333333333,24
233,0.44184210526315787,19
234,0.44416666666666665,24
235,0.44,28
236,0.44125,12
237,0.44339285714285714,28
238,0.4484782608695652,23
239,0.4513157894736842,19
240,0.4496428571428571,28
241,0.44333333333333336,27
242,0.44795454545454544,22
243,0.4554,25
244,0.453125,24
245,0.45775,40
246,0.4726470588235294,17
247,0.4559615384615385,26
248,0.46195652173913043,23
249,0.44851851851851854,27
250,0.45655172413793105,29
251,0.4602272727272727,22
252,0.464,15
253,0.45208333333333334,24
254,0.4622222222222222,18
255,0.4653846153846154,26
256,0.4632608695652174,23
257,0.46517857142857144,28
258,0.4669354838709677,31
259,0.4618,25
260,0.4564285714285714,21
261,0.45629032258064517,31
262,0.46229166666666666,24
263,0.464375,24
264,0.4661111111111111,18
265,0.4608695652173913,23
266,0.46839285714285717,28
267,0.4669642857142857,28
268,0.4702173913043478,23
269,0.4622222222222222,27
270,0.4711666666666667,30
271,0.47410714285714284,28
272,0.4661111111111111,18
273,0.46416666666666667,24
274,0.4825,18
275,0.4717857142857143,28
276,0.46837837837837837,37
277,0.47580645161290325,31
278,0.4696,25
279,0.4792,25
280,0.47775,20
281,0.4724,25
282,0.47391304347826085,23
283,0.471875,16
284,0.46675,20
285,0.47095238095238096,21
286,0.47078947368421054,19
287,0.4770689655172414,29
288,0.4792105263157895,19
289,0.478125,24
290,0.48130434782608694,23
291,0.48282608695652174,23
292,0.48482758620689653,29
293,0.4792,25
294,0.48130434782608694,23
295,0.4738,25
296,0.4835714285714286,21
297,0.48333333333333334,18
298,0.4711111111111111,27
299,0.47703125,32
300,0.4909090909090909,22
301,0.4919117647058823,34
302,0.48456521739130437,23
303,0.48642857142857143,21
304,0.4882258064516129,31
305,0.486875,24
306,0.49142857142857144,28
307,0.478,20
308,0.48323529411764704,34
309,0.47791666666666666,24
310,0.48931034482758623,29
311,0.48657894736842106,19
312,0.4902941176470588,17
313,0.4888636363636364,22
314,0.49145833333333333,24
315,0.4876923076923077,26
316,0.48346153846153844,26
317,0.48782608695652174,23
318,0.4930952380952381,21
319,0.48770833333333335,24
320,0.48983333333333334,30
321,0.4937837837837838,37
322,0.4940625,32
323,0.4923913043478261,23
324,0.5059090909090909,22
325,0.4841666666666667,18
326,0.50675,20
327,0.4967241379310345,29
328,0.4928,25
329,0.49833333333333335,24
330,0.504,30
331,0.49796296296296294,27
332,0.4955357142857143,28
333,0.501,30
334,0.5018181818181818,33
335,0.49454545454545457,22
336,0.5020833333333333,24
337,0.4963888888888889,18
338,0.5066,25
339,0.4993103448275862,29
340,0.5002173913043478,23
341,0.5003125,32
342,0.5051470588235294,34
343,0.51075,20
344,0.5131578947368421,19
345,0.5131818181818182,22
346,0.5131578947368421,19
347,0.50859375,32
348,0.509090909090909,33
349,0.4976,25
350,0.5209090909090909,22
351,0.5089583333333333,24
352,0.5054545454545455,33
353,0.5073214285714286,28
354,0.5051923076923077,26
355,0.5036666666666667,30
356,0.5072413793103449,29
357,0.5213157894736842,19
358,0.514375,24
359,0.5070833333333333,24
360,0.5055555555555555,27
361,0.5170967741935484,31
362,0.5121739130434783,23
363,0.5125,30
364,0.51075,20
365,0.49777777777777776,18
366,0.5110526315789473,19
367,0.5118181818181818,33
368,0.5216129032258064,31
369,0.515,23
370,0.511551724137931,29
371,0.5268518518518519,27
372,0.5178,25
373,0.5075,26
374,0.5139285714285714,28
375,0.5175862068965518,29
376,0.514090909090909,33
377,0.519090909090909,22
378,0.535,25
379,0.5295454545454545,22
380,0.5218181818181818,22
381,0.5144736842105263,19
382,0.5109375,16
383,0.5193478260869565,23
384,0.525,28
385,0.5105357142857143,28
386,0.5244736842105263,19
387,0.51775,20
388,0.5104,25
389,0.52275,20
390,0.5352777777777777,18
391,0.5218181818181818,22
392,0.5282,25
393,0.51875,16
394,0.5153448275862069,29
395,0.5227142857142857,35
396,0.527,25
397,0.5236363636363637,22
398,0.5185714285714286,28
399,0.5245588235294117,34
400,0.51975,20
401,0.5195238095238095,21
402,0.5293103448275862,29
403,0.518,25
404,0.5171428571428571,21
405,0.520576923076923,26
406,0.5194,25
407,0.5258,25
408,0.5228571428571429,21
409,0.5307692307692308,26
410,0.5222727272727272,22
411,0.5382,25
412,0.5405769230769231,26
413,0.5423809523809524,21
414,0.523448275862069,29
415,0.5272,25
416,0.5324,25
417,0.5341071428571429,28
418,0.5152380952380953,21
419,0.5252777777777777,18
420,0.5334210526315789,19
421,0.5301851851851852,27
422,0.5225925925925926,27
423,0.5257142857142857,21
424,0.5308,25
425,0.5305,30
426,0.5297727272727273,22
427,0.5353571428571429,28
428,0.5280357142857143,28
429,0.5366,25
430,0.5283870967741936,31
431,0.5426190476190477,21
432,0.525,28
433,0.5381481481481482,27
434,0.5365217391304348,23
435,0.5380645161290323,31
436,0.5384848484848485,33
437,0.5347826086956522,23
438,0.5279411764705882,17
439,0.5301851851851852,27
440,0.5275,22
441,0.5366666666666666,21
442,0.5422,25
443,0.5336,25
444,0.5355,20
445,0.5469565217391305,23
446,0.5329166666666667,24
447,0.533,25
448,0.5342307692307692,26
449,0.541578947368421,38
450,0.5347222222222222,18
451,0.5362162162162162,37
452,0.5268518518518519,27
453,0.5402777777777777,36
454,0.5386363636363637,22
455,0.5530555555555555,18
456,0.54175,20
457,0.5320588235294118,17
458,0.5426190476190477,21
459,0.5365217391304348,23
460,0.5433333333333333,21
461,0.5445454545454546,22
462,0.5411764705882353,17
463,0.5370689655172414,29
464,0.5372916666666666,24
465,0.538235294117647,17
466,0.5482692307692307,26
467,0.5381818181818182,22
468,0.534,25
469,0.5319565217391304,23
470,0.5487142857142857,35
471,0.5335185185185185,27
472,0.55225,20
473,0.5392857142857143,28
474,0.5467647058823529,34
475,0.540952380952381,21
476,0.5484782608695652,23
477,0.5377777777777778,27
478,0.5375925925925926,27
479,0.5484615384615384,26
480,0.5508333333333333,30
481,0.5403703703703704,27
482,0.5442105263157895,19
483,0.5510344827586207,29
484,0.5404285714285715,35
485,0.5545833333333333,24
486,0.54275,20
487,0.53925,20
488,0.5522222222222222,18
489,0.5511111111111111,27
490,0.5452941176470588,17
491,0.5607142857142857,21
492,0.548974358974359,39
493,0.5458333333333333,30
494,0.5457692307692308,26
495,0.5551666666666667,30
496,0.5561538461538461,26
497,0.5470833333333334,24
498,0.5511904761904762,21
499,0.5572916666666666,24
500,0.5445161290322581,31
501,0.54046875,32
502,0.565625,24
503,0.5439655172413793,29
504,0.5503333333333333,30
505,0.5525,30
506,0.5504,25
507,0.5668421052631579,19
508,0.5328571428571428,14
509,0.557741935483871,31
510,0.5457407407407407,27
511,0.5579032258064516,31
512,0.55125,24
513,0.5707407407407408,27
514,0.55921875,32
515,0.5592857142857143,28
516,0.5552173913043478,23
517,0.553,30
518,0.5542592592592592,27
519,0.5589473684210526,38
520,0.5540909090909091,22
521,0.5627777777777778,27
522,0.5658620689655173,29
523,0.5711904761904761,21
524,0.5502380952380952,21
525,0.5630357142857143,28
526,0.5576315789473684,19
527,0.5595833333333333,24
528,0.5645454545454546,22
529,0.561304347826087,23
530,0.5523076923076923,26
531,0.5684375,16
532,0.5603448275862069,29
533,0.5505357142857142,28
534,0.5581818181818182,22
535,0.5759615384615384,26
536,0.5602702702702703,37
537,0.5625,30
538,0.5671153846153846,26
539,0.5634285714285714,35
540,0.5686842105263158,19
541,0.5555882352941176,17
542,0.5735,20
543,0.5728571428571428,28
544,0.5690625,32
545,0.5634,25
546,0.5651851851851852,27
547,0.5744117647058824,17
548,0.5602631578947368,19
549,0.566875,32
550,0.5713636363636364,22
551,0.56925,20
552,0.5516666666666666,18
553,0.5734848484848485,33
554,0.5675,20
555,0.5616666666666666,27
556,0.5623809523809524,21
557,0.58675,20
558,0.57825,20
559,0.5689285714285715,14
560,0.5683333333333334,18
561,0.5688636363636363,22
562,0.5662,25
563,0.5704347826086956,23
564,0.5710416666666667,24
565,0.5742,25
566,0.573125,24
567,0.5646875,32
568,0.5702,25
569,0.5752173913043478,23
570,0.5679545454545455,22
571,0.576060606060606,33
572,0.5705555555555556,27
573,0.5779032258064516,31
574,0.5747619047619048,21
575,0.5684,25
576,0.5742857142857143,35
577,0.579375,24
578,0.576551724137931,29
579,0.5854545454545454,22
580,0.5810416666666667,24
581,0.5702272727272727,22
582,0.581,25
583,0.5678571428571428,28
584,0.588,15
585,0.5846,25
586,0.5741304347826087,23
587,0.5693478260869566,23
588,0.5904347826086956,23
589,0.56525,20
590,0.5819230769230769,13
591,0.5810416666666667,24
592,0.56825,20
593,0.5866176470588236,34
594,0.5816666666666667,30
595,0.578076923076923,13
596,0.5683333333333334,24
597,0.5829310344827586,29
598,0.5708928571428571,28
599,0.5814814814814815,27
600,0.5863461538461539,26
601,0.5736842105263158,19
602,0.5795833333333333,24
603,0.5771875,32
604,0.589,25
605,0.5813333333333334,30
606,0.5838,25
607,0.5813157894736842,19
608,0.5852,25
609,0.5782258064516129,31
610,0.5804347826086956,23
611,0.577741935483871,31
612,0.564,15
613,0.575,27
614,0.5807692307692308,26
615,0.565,16
616,0.5889130434782609,23
617,0.5828846153846153,26
618,0.5893181818181819,22
619,0.5821428571428572,21
620,0.587037037037037,27
621,0.5901515151515152,33
622,0.5819230769230769,26
623,0.5856521739130435,23
624,0.5929411764705882,17
625,0.576875,24
626,0.5836363636363636,33
627,0.5870588235294117,34
628,0.5868518518518518,27
629,0.5833333333333334,27
630,0.5871428571428572,28
631,0.5980434782608696,23
632,0.5865384615384616,26
633,0.5822058823529411,34
634,0.57875,20
635,0.583,20
636,0.5768,25
637,0.5929545454545454,22
638,0.595,13
639,0.5930952380952381,21
640,0.5877777777777777,27
641,0.5798214285714286,28
642,0.59975,20
643,0.5886,25
644,0.5851666666666666,30
645,0.589,30
646,0.5966666666666667,21
647,0.5975,20
648,0.6028571428571429,28
649,0.5909210526315789,38
650,0.5869230769230769,26
651,0.5965384615384616,26
652,0.5976923076923077,26
653,0.5852173913043478,23
654,0.5944117647058823,17
655,0.5848387096774194,31
656,0.5893181818181819,22
657,0.5923529411764706,34
658,0.5979629629629629,27
659,0.5901612903225807,31
660,0.5973809523809523,21
661,0.5835,20
662,0.5944827586206897,29
663,0.5924242424242424,33
664,0.5860526315789474,19
665,0.5894444444444444,18
666,0.5935416666666666,24
667,0.5956451612903226,31
668,0.5925,22
669,0.5960416666666667,24
670,0.5934090909090909,22
671,0.6005263157894737,19
672,0.5966666666666667,21
673,0.5965,20
674,0.5888888888888889,18
675,0.5934482758620689,29
676,0.5979545454545454,22
677,0.5871052631578947,19
678,0.6008333333333333,18
679,0.596875,24
680,0.5928260869565217,23
681,0.594,25
682,0.5901666666666666,30
683,0.5948076923076923,26
684,0.6035714285714285,21
685,0.59265625,32
686,0.6075,18
687,0.59475,20
688,0.5929629629629629,27
689,0.60125,28
690,0.5963157894736842,19
691,0.59175,20
692,0.5868421052631579,19
693,0.6039285714285715,28
694,0.5946153846153847,26
695,0.5953703703703703,27
696,0.5927083333333333,24
697,0.60875,20
698,0.60625,24
699,0.6086206896551725,29
700,0.60125,44
701,0.5962068965517241,29
702,0.596304347826087,23
703,0.6,30
704,0.5970967741935483,31
705,0.5960344827586207,29
706,0.6017741935483871,31
707,0.6090384615384615,26
708,0.5937179487179487,39
709,0.5968,25
710,0.6055769230769231,26
711,0.6032142857142857,28
712,0.6138333333333333,30
713,0.6006,25
714,0.6063333333333333,30
715,0.6065789473684211,19
716,0.60734375,32
717,0.6020588235294118,17
718,0.6034090909090909,22
719,0.5954545454545455,22
720,0.6035483870967742,31
721,0.6069230769230769,26
722,0.6171212121212121,33
723,0.5963157894736842,19
724,0.6,28
725,0.6066,25
726,0.61125,20
727,0.6216666666666667,18
728,0.5968181818181818,22
729,0.6066176470588235,34
730,0.6193478260869565,23
731,0.6036111111111111,36
732,0.5990909090909091,33
733,0.6016,25
734,0.6095,20
735,0.6041666666666666,24
736,0.6077027027027027,37
737,0.599375,32
738,0.5969565217391304,23
739,0.60875,24
740,0.5980769230769231,13
741,0.6071153846153846,26
742,0.6022580645161291,31
743,0.6155882352941177,17
744,0.609,35
745,0.6018421052631578,19
746,0.61,21
747,0.6021666666666666,30
748,0.6068918918918919,37
749,0.6025,18
750,0.6067857142857143,28
751,0.6028333333333333,30
752,0.611,25
753,0.6073076923076923,26
754,0.5989705882352941,34
755,0.6103125,32
756,0.5990625,16
757,0.6193181818181818,22
