dv - | INFO flwr 2024-11-09 16:59:24,739 | server_app.py:101 | file writing: True
dv - | INFO flwr 2024-11-09 16:59:24,739 | server_app.py:102 | running in fed_adaptive
dv - | INFO flwr 2024-11-09 16:59:24,739 | server_app.py:103 | min num clients 2
dv - | INFO flwr 2024-11-09 16:59:24,739 | server_app.py:104 | num server rounds 200
dv - | INFO flwr 2024-11-09 16:59:24,739 | server_app.py:105 | config num local epochs 5
dv - | INFO flwr 2024-11-09 16:59:24,739 | server_app.py:106 | advanced logging False
dv - | INFO flwr 2024-11-09 16:59:24,739 | server_app.py:107 | partition: dirichlet
dv - | INFO flwr 2024-11-09 16:59:24,739 | server_app.py:108 | fraction: 4
dv - | INFO flwr 2024-11-09 16:59:24,739 | app.py:74 | Starting Flower ServerApp, config: num_rounds=200, no round_timeout
dv - | INFO flwr 2024-11-09 16:59:24,740 | app.py:79 | 
dv - | INFO flwr 2024-11-09 16:59:24,740 | server.py:92 | [INIT]
dv - | INFO flwr 2024-11-09 16:59:24,740 | server.py:277 | Using initial global parameters provided by strategy
dv - | INFO flwr 2024-11-09 16:59:24,740 | server.py:94 | Starting evaluation of initial global parameters
dv - | INFO flwr 2024-11-09 16:59:24,740 | server.py:106 | Evaluation returned no results (`None`)
dv - | INFO flwr 2024-11-09 16:59:24,740 | server.py:112 | 
dv - | INFO flwr 2024-11-09 16:59:24,740 | server.py:113 | [ROUND 1]
dv - | DEBUG flwr 2024-11-09 16:59:24,740 | fed_custom.py:174 | SMART sample
dv - | INFO flwr 2024-11-09 16:59:24,740 | fed_custom.py:200 | configure_fit: strategy returns 9 out of range 26 and round 13
dv - | INFO flwr 2024-11-09 16:59:24,740 | server.py:226 | configure_fit: strategy sampled 9 clients (out of 100)
dv - | DEBUG flwr 2024-11-09 16:59:26,930 | raybackend.py:141 | Constructed ActorPool with: 12 actors
dv - | DEBUG flwr 2024-11-09 16:59:26,930 | state_factory.py:50 | Using InMemoryState
dv - | INFO flwr 2024-11-09 16:59:31,731 | server.py:240 | aggregate_fit: received 9 results and 0 failures
dv - | INFO flwr 2024-11-09 16:59:31,735 | server.py:178 | configure_evaluate: strategy sampled 100 clients (out of 100)
dv - | INFO flwr 2024-11-09 16:59:35,153 | server.py:192 | aggregate_evaluate: received 100 results and 0 failures
dv - | INFO flwr 2024-11-09 16:59:35,153 | fed_custom.py:294 | aggregated accuracy: 0.10220141448351429
dv - | INFO flwr 2024-11-09 16:59:35,153 | server.py:112 | 
dv - | INFO flwr 2024-11-09 16:59:35,153 | server.py:113 | [ROUND 2]
dv - | DEBUG flwr 2024-11-09 16:59:35,153 | fed_custom.py:174 | SMART sample
dv - | INFO flwr 2024-11-09 16:59:35,153 | fed_custom.py:200 | configure_fit: strategy returns 9 out of range 26 and round 13
dv - | INFO flwr 2024-11-09 16:59:35,153 | server.py:226 | configure_fit: strategy sampled 9 clients (out of 100)
dv - | INFO flwr 2024-11-09 16:59:36,056 | server.py:240 | aggregate_fit: received 9 results and 0 failures
dv - | INFO flwr 2024-11-09 16:59:36,060 | server.py:178 | configure_evaluate: strategy sampled 100 clients (out of 100)
dv - | INFO flwr 2024-11-09 16:59:36,683 | server.py:192 | aggregate_evaluate: received 100 results and 0 failures
dv - | INFO flwr 2024-11-09 16:59:36,683 | fed_custom.py:294 | aggregated accuracy: 0.10230102599860544
dv - | INFO flwr 2024-11-09 16:59:36,683 | server.py:112 | 
dv - | INFO flwr 2024-11-09 16:59:36,684 | server.py:113 | [ROUND 3]
dv - | DEBUG flwr 2024-11-09 16:59:36,684 | fed_custom.py:174 | SMART sample
dv - | INFO flwr 2024-11-09 16:59:36,684 | fed_custom.py:200 | configure_fit: strategy returns 5 out of range 24 and round 12
dv - | INFO flwr 2024-11-09 16:59:36,684 | server.py:226 | configure_fit: strategy sampled 5 clients (out of 100)
dv - | INFO flwr 2024-11-09 16:59:37,286 | server.py:240 | aggregate_fit: received 5 results and 0 failures
dv - | INFO flwr 2024-11-09 16:59:37,357 | server.py:178 | configure_evaluate: strategy sampled 100 clients (out of 100)
dv - | INFO flwr 2024-11-09 16:59:38,179 | server.py:192 | aggregate_evaluate: received 100 results and 0 failures
dv - | INFO flwr 2024-11-09 16:59:38,180 | fed_custom.py:294 | aggregated accuracy: 0.10230102599860544
dv - | INFO flwr 2024-11-09 16:59:38,180 | server.py:112 | 
dv - | INFO flwr 2024-11-09 16:59:38,180 | server.py:113 | [ROUND 4]
dv - | DEBUG flwr 2024-11-09 16:59:38,180 | fed_custom.py:174 | SMART sample
