dv - | INFO flwr 2024-11-10 15:14:50,069 | server_app.py:101 | file writing: True
dv - | INFO flwr 2024-11-10 15:14:50,069 | server_app.py:102 | running in fed_equal
dv - | INFO flwr 2024-11-10 15:14:50,069 | server_app.py:103 | min num clients 2
dv - | INFO flwr 2024-11-10 15:14:50,069 | server_app.py:104 | num server rounds 200
dv - | INFO flwr 2024-11-10 15:14:50,069 | server_app.py:105 | config num local epochs 5
dv - | INFO flwr 2024-11-10 15:14:50,069 | server_app.py:106 | advanced logging False
dv - | INFO flwr 2024-11-10 15:14:50,069 | server_app.py:107 | partition: dirichlet
dv - | INFO flwr 2024-11-10 15:14:50,069 | server_app.py:108 | fraction: 2
dv - | INFO flwr 2024-11-10 15:14:50,069 | app.py:74 | Starting Flower ServerApp, config: num_rounds=200, no round_timeout
dv - | INFO flwr 2024-11-10 15:14:50,070 | app.py:79 | 
dv - | INFO flwr 2024-11-10 15:14:50,070 | server.py:92 | [INIT]
dv - | INFO flwr 2024-11-10 15:14:50,070 | server.py:277 | Using initial global parameters provided by strategy
dv - | INFO flwr 2024-11-10 15:14:50,070 | server.py:94 | Starting evaluation of initial global parameters
dv - | INFO flwr 2024-11-10 15:14:50,070 | server.py:106 | Evaluation returned no results (`None`)
dv - | INFO flwr 2024-11-10 15:14:50,070 | server.py:112 | 
dv - | INFO flwr 2024-11-10 15:14:50,070 | server.py:113 | [ROUND 1]
dv - | DEBUG flwr 2024-11-10 15:14:50,070 | fed_custom.py:174 | SMART sample
dv - | INFO flwr 2024-11-10 15:14:50,070 | fed_custom.py:200 | configure_fit: strategy returns 15 out of range 51 and round 25
dv - | INFO flwr 2024-11-10 15:14:50,070 | server.py:226 | configure_fit: strategy sampled 15 clients (out of 100)
dv - | DEBUG flwr 2024-11-10 15:14:53,997 | raybackend.py:141 | Constructed ActorPool with: 12 actors
dv - | DEBUG flwr 2024-11-10 15:14:53,997 | state_factory.py:50 | Using InMemoryState
dv - | INFO flwr 2024-11-10 15:15:04,527 | server.py:240 | aggregate_fit: received 15 results and 0 failures
dv - | INFO flwr 2024-11-10 15:15:04,533 | server.py:178 | configure_evaluate: strategy sampled 100 clients (out of 100)
dv - | INFO flwr 2024-11-10 15:15:05,351 | server.py:192 | aggregate_evaluate: received 100 results and 0 failures
dv - | INFO flwr 2024-11-10 15:15:05,352 | fed_custom.py:294 | aggregated accuracy: 0.09971112660623568
dv - | INFO flwr 2024-11-10 15:15:05,352 | server.py:112 | 
dv - | INFO flwr 2024-11-10 15:15:05,352 | server.py:113 | [ROUND 2]
dv - | DEBUG flwr 2024-11-10 15:15:05,352 | fed_custom.py:174 | SMART sample
dv - | INFO flwr 2024-11-10 15:15:05,352 | fed_custom.py:200 | configure_fit: strategy returns 17 out of range 52 and round 26
dv - | INFO flwr 2024-11-10 15:15:05,352 | server.py:226 | configure_fit: strategy sampled 17 clients (out of 100)
dv - | INFO flwr 2024-11-10 15:15:06,563 | server.py:240 | aggregate_fit: received 17 results and 0 failures
dv - | INFO flwr 2024-11-10 15:15:06,568 | server.py:178 | configure_evaluate: strategy sampled 100 clients (out of 100)
dv - | INFO flwr 2024-11-10 15:15:07,388 | server.py:192 | aggregate_evaluate: received 100 results and 0 failures
dv - | INFO flwr 2024-11-10 15:15:07,388 | fed_custom.py:294 | aggregated accuracy: 0.09971112660623568
dv - | INFO flwr 2024-11-10 15:15:07,388 | server.py:112 | 
dv - | INFO flwr 2024-11-10 15:15:07,388 | server.py:113 | [ROUND 3]
dv - | DEBUG flwr 2024-11-10 15:15:07,389 | fed_custom.py:174 | SMART sample
dv - | INFO flwr 2024-11-10 15:15:07,389 | fed_custom.py:200 | configure_fit: strategy returns 12 out of range 48 and round 24
dv - | INFO flwr 2024-11-10 15:15:07,389 | server.py:226 | configure_fit: strategy sampled 12 clients (out of 100)
dv - | INFO flwr 2024-11-10 15:15:08,425 | server.py:240 | aggregate_fit: received 12 results and 0 failures
dv - | INFO flwr 2024-11-10 15:15:08,430 | server.py:178 | configure_evaluate: strategy sampled 100 clients (out of 100)
dv - | INFO flwr 2024-11-10 15:15:09,323 | server.py:192 | aggregate_evaluate: received 100 results and 0 failures
dv - | INFO flwr 2024-11-10 15:15:09,323 | fed_custom.py:294 | aggregated accuracy: 0.09971112660623568
dv - | INFO flwr 2024-11-10 15:15:09,323 | server.py:112 | 
dv - | INFO flwr 2024-11-10 15:15:09,323 | server.py:113 | [ROUND 4]
dv - | DEBUG flwr 2024-11-10 15:15:09,324 | fed_custom.py:174 | SMART sample
dv - | INFO flwr 2024-11-10 15:15:09,324 | fed_custom.py:200 | configure_fit: strategy returns 14 out of range 49 and round 24
dv - | INFO flwr 2024-11-10 15:15:09,324 | server.py:226 | configure_fit: strategy sampled 14 clients (out of 100)
dv - | INFO flwr 2024-11-10 15:15:10,433 | server.py:240 | aggregate_fit: received 14 results and 0 failures
dv - | INFO flwr 2024-11-10 15:15:10,438 | server.py:178 | configure_evaluate: strategy sampled 100 clients (out of 100)
dv - | INFO flwr 2024-11-10 15:15:11,254 | server.py:192 | aggregate_evaluate: received 100 results and 0 failures
dv - | INFO flwr 2024-11-10 15:15:11,255 | fed_custom.py:294 | aggregated accuracy: 0.10678354417770694
dv - | INFO flwr 2024-11-10 15:15:11,255 | server.py:112 | 
dv - | INFO flwr 2024-11-10 15:15:11,255 | server.py:113 | [ROUND 5]
dv - | DEBUG flwr 2024-11-10 15:15:11,255 | fed_custom.py:174 | SMART sample
dv - | INFO flwr 2024-11-10 15:15:11,255 | fed_custom.py:200 | configure_fit: strategy returns 21 out of range 69 and round 34
dv - | INFO flwr 2024-11-10 15:15:11,255 | server.py:226 | configure_fit: strategy sampled 21 clients (out of 100)
dv - | INFO flwr 2024-11-10 15:15:12,781 | server.py:240 | aggregate_fit: received 21 results and 0 failures
dv - | INFO flwr 2024-11-10 15:15:12,789 | server.py:178 | configure_evaluate: strategy sampled 100 clients (out of 100)
