dv - | INFO flwr 2024-11-10 15:20:37,466 | server_app.py:101 | file writing: True
dv - | INFO flwr 2024-11-10 15:20:37,466 | server_app.py:102 | running in fed_trim
dv - | INFO flwr 2024-11-10 15:20:37,466 | server_app.py:103 | min num clients 2
dv - | INFO flwr 2024-11-10 15:20:37,466 | server_app.py:104 | num server rounds 200
dv - | INFO flwr 2024-11-10 15:20:37,466 | server_app.py:105 | config num local epochs 5
dv - | INFO flwr 2024-11-10 15:20:37,466 | server_app.py:106 | advanced logging False
dv - | INFO flwr 2024-11-10 15:20:37,466 | server_app.py:107 | partition: dirichlet
dv - | INFO flwr 2024-11-10 15:20:37,466 | server_app.py:108 | fraction: 2
dv - | INFO flwr 2024-11-10 15:20:37,466 | app.py:74 | Starting Flower ServerApp, config: num_rounds=200, no round_timeout
dv - | INFO flwr 2024-11-10 15:20:37,466 | app.py:79 | 
dv - | INFO flwr 2024-11-10 15:20:37,467 | server.py:92 | [INIT]
dv - | INFO flwr 2024-11-10 15:20:37,467 | server.py:277 | Using initial global parameters provided by strategy
dv - | INFO flwr 2024-11-10 15:20:37,467 | server.py:94 | Starting evaluation of initial global parameters
dv - | INFO flwr 2024-11-10 15:20:37,467 | server.py:106 | Evaluation returned no results (`None`)
dv - | INFO flwr 2024-11-10 15:20:37,467 | server.py:112 | 
dv - | INFO flwr 2024-11-10 15:20:37,467 | server.py:113 | [ROUND 1]
dv - | DEBUG flwr 2024-11-10 15:20:37,467 | fed_custom.py:174 | SMART sample
dv - | INFO flwr 2024-11-10 15:20:37,467 | fed_custom.py:200 | configure_fit: strategy returns 11 out of range 51 and round 25
dv - | INFO flwr 2024-11-10 15:20:37,467 | server.py:226 | configure_fit: strategy sampled 11 clients (out of 100)
dv - | DEBUG flwr 2024-11-10 15:20:39,527 | raybackend.py:141 | Constructed ActorPool with: 12 actors
dv - | DEBUG flwr 2024-11-10 15:20:39,527 | state_factory.py:50 | Using InMemoryState
dv - | INFO flwr 2024-11-10 15:20:44,431 | server.py:240 | aggregate_fit: received 11 results and 0 failures
dv - | INFO flwr 2024-11-10 15:20:44,435 | fed_trim.py:79 | Aggregated with trimmed mean. Trimmed count: 10, Original count: 11
dv - | INFO flwr 2024-11-10 15:20:44,435 | server.py:178 | configure_evaluate: strategy sampled 100 clients (out of 100)
dv - | INFO flwr 2024-11-10 15:20:47,355 | server.py:192 | aggregate_evaluate: received 100 results and 0 failures
dv - | INFO flwr 2024-11-10 15:20:47,355 | fed_custom.py:294 | aggregated accuracy: 0.10080685327223828
dv - | INFO flwr 2024-11-10 15:20:47,355 | server.py:112 | 
dv - | INFO flwr 2024-11-10 15:20:47,355 | server.py:113 | [ROUND 2]
dv - | DEBUG flwr 2024-11-10 15:20:47,356 | fed_custom.py:174 | SMART sample
dv - | INFO flwr 2024-11-10 15:20:47,356 | fed_custom.py:200 | configure_fit: strategy returns 16 out of range 52 and round 26
dv - | INFO flwr 2024-11-10 15:20:47,356 | server.py:226 | configure_fit: strategy sampled 16 clients (out of 100)
dv - | INFO flwr 2024-11-10 15:20:48,493 | server.py:240 | aggregate_fit: received 16 results and 0 failures
dv - | INFO flwr 2024-11-10 15:20:48,498 | fed_trim.py:79 | Aggregated with trimmed mean. Trimmed count: 15, Original count: 16
dv - | INFO flwr 2024-11-10 15:20:48,498 | server.py:178 | configure_evaluate: strategy sampled 100 clients (out of 100)
dv - | INFO flwr 2024-11-10 15:20:49,108 | server.py:192 | aggregate_evaluate: received 100 results and 0 failures
dv - | INFO flwr 2024-11-10 15:20:49,108 | fed_custom.py:294 | aggregated accuracy: 0.10499053690606634
dv - | INFO flwr 2024-11-10 15:20:49,108 | server.py:112 | 
dv - | INFO flwr 2024-11-10 15:20:49,108 | server.py:113 | [ROUND 3]
dv - | DEBUG flwr 2024-11-10 15:20:49,108 | fed_custom.py:174 | SMART sample
dv - | INFO flwr 2024-11-10 15:20:49,108 | fed_custom.py:200 | configure_fit: strategy returns 11 out of range 48 and round 24
dv - | INFO flwr 2024-11-10 15:20:49,108 | server.py:226 | configure_fit: strategy sampled 11 clients (out of 100)
dv - | INFO flwr 2024-11-10 15:20:49,911 | server.py:240 | aggregate_fit: received 11 results and 0 failures
