dv - | INFO flwr 2024-10-24 13:05:21,637 | server_app.py:93 | file writing: True
dv - | INFO flwr 2024-10-24 13:05:21,637 | server_app.py:94 | running in fed_double
dv - | INFO flwr 2024-10-24 13:05:21,637 | server_app.py:95 | min num clients 2
dv - | INFO flwr 2024-10-24 13:05:21,637 | server_app.py:96 | num server rounds 800
dv - | INFO flwr 2024-10-24 13:05:21,637 | server_app.py:97 | config num local epochs 3
dv - | INFO flwr 2024-10-24 13:05:21,637 | server_app.py:98 | advanced logging False
dv - | INFO flwr 2024-10-24 13:05:21,637 | server_app.py:99 | partition: dirichlet
dv - | INFO flwr 2024-10-24 13:05:21,637 | app.py:74 | Starting Flower ServerApp, config: num_rounds=800, no round_timeout
dv - | INFO flwr 2024-10-24 13:05:21,637 | app.py:79 | 
dv - | INFO flwr 2024-10-24 13:05:21,638 | server.py:92 | [INIT]
dv - | INFO flwr 2024-10-24 13:05:21,638 | server.py:277 | Using initial global parameters provided by strategy
dv - | INFO flwr 2024-10-24 13:05:21,638 | server.py:94 | Starting evaluation of initial global parameters
dv - | INFO flwr 2024-10-24 13:05:21,638 | server.py:106 | Evaluation returned no results (`None`)
dv - | INFO flwr 2024-10-24 13:05:21,638 | server.py:112 | 
dv - | INFO flwr 2024-10-24 13:05:21,638 | server.py:113 | [ROUND 1]
dv - | INFO flwr 2024-10-24 13:05:21,638 | server.py:226 | configure_fit: strategy sampled 26 clients (out of 50)
dv - | DEBUG flwr 2024-10-24 13:05:25,536 | raybackend.py:141 | Constructed ActorPool with: 12 actors
dv - | DEBUG flwr 2024-10-24 13:05:25,536 | state_factory.py:50 | Using InMemoryState
dv - | INFO flwr 2024-10-24 13:05:38,445 | server.py:240 | aggregate_fit: received 26 results and 0 failures
dv - | INFO flwr 2024-10-24 13:05:38,454 | server.py:178 | configure_evaluate: strategy sampled 26 clients (out of 50)
dv - | INFO flwr 2024-10-24 13:05:38,765 | server.py:192 | aggregate_evaluate: received 26 results and 0 failures
dv - | INFO flwr 2024-10-24 13:05:38,765 | fed_custom.py:227 | aggregated accuracy: 0.13895131086142323
dv - | INFO flwr 2024-10-24 13:05:38,765 | server.py:112 | 
dv - | INFO flwr 2024-10-24 13:05:38,765 | server.py:113 | [ROUND 2]
dv - | INFO flwr 2024-10-24 13:05:38,765 | server.py:226 | configure_fit: strategy sampled 26 clients (out of 50)
dv - | INFO flwr 2024-10-24 13:05:41,402 | server.py:240 | aggregate_fit: received 26 results and 0 failures
dv - | INFO flwr 2024-10-24 13:05:41,409 | server.py:178 | configure_evaluate: strategy sampled 26 clients (out of 50)
dv - | INFO flwr 2024-10-24 13:05:41,720 | server.py:192 | aggregate_evaluate: received 26 results and 0 failures
dv - | INFO flwr 2024-10-24 13:05:41,720 | fed_custom.py:227 | aggregated accuracy: 0.1488937612118796
dv - | INFO flwr 2024-10-24 13:05:41,720 | server.py:112 | 
dv - | INFO flwr 2024-10-24 13:05:41,720 | server.py:113 | [ROUND 3]
dv - | INFO flwr 2024-10-24 13:05:41,721 | server.py:226 | configure_fit: strategy sampled 24 clients (out of 50)
dv - | INFO flwr 2024-10-24 13:05:43,959 | server.py:240 | aggregate_fit: received 24 results and 0 failures
dv - | INFO flwr 2024-10-24 13:05:43,967 | server.py:178 | configure_evaluate: strategy sampled 24 clients (out of 50)
dv - | INFO flwr 2024-10-24 13:05:44,276 | server.py:192 | aggregate_evaluate: received 24 results and 0 failures
dv - | INFO flwr 2024-10-24 13:05:44,276 | fed_custom.py:227 | aggregated accuracy: 0.13676570650941255
dv - | INFO flwr 2024-10-24 13:05:44,276 | server.py:112 | 
dv - | INFO flwr 2024-10-24 13:05:44,276 | server.py:113 | [ROUND 4]
dv - | INFO flwr 2024-10-24 13:05:44,276 | server.py:226 | configure_fit: strategy sampled 24 clients (out of 50)
dv - | INFO flwr 2024-10-24 13:05:46,901 | server.py:240 | aggregate_fit: received 24 results and 0 failures
dv - | INFO flwr 2024-10-24 13:05:46,907 | server.py:178 | configure_evaluate: strategy sampled 24 clients (out of 50)
dv - | INFO flwr 2024-10-24 13:05:47,219 | server.py:192 | aggregate_evaluate: received 24 results and 0 failures
dv - | INFO flwr 2024-10-24 13:05:47,219 | fed_custom.py:227 | aggregated accuracy: 0.14148239148239147
dv - | INFO flwr 2024-10-24 13:05:47,219 | server.py:112 | 
dv - | INFO flwr 2024-10-24 13:05:47,219 | server.py:113 | [ROUND 5]
dv - | INFO flwr 2024-10-24 13:05:47,219 | server.py:226 | configure_fit: strategy sampled 38 clients (out of 50)
dv - | INFO flwr 2024-10-24 13:05:51,282 | server.py:240 | aggregate_fit: received 38 results and 0 failures
dv - | INFO flwr 2024-10-24 13:05:51,294 | server.py:178 | configure_evaluate: strategy sampled 38 clients (out of 50)
dv - | INFO flwr 2024-10-24 13:05:51,781 | server.py:192 | aggregate_evaluate: received 38 results and 0 failures
dv - | INFO flwr 2024-10-24 13:05:51,781 | fed_custom.py:227 | aggregated accuracy: 0.16151069863366846
dv - | INFO flwr 2024-10-24 13:05:51,781 | server.py:112 | 
dv - | INFO flwr 2024-10-24 13:05:51,781 | server.py:113 | [ROUND 6]
dv - | INFO flwr 2024-10-24 13:05:51,781 | server.py:226 | configure_fit: strategy sampled 30 clients (out of 50)
