dv - | INFO flwr 2024-11-11 17:51:45,712 | server_app.py:105 | file writing: True
dv - | INFO flwr 2024-11-11 17:51:45,712 | server_app.py:106 | running in fed_ftrim
dv - | INFO flwr 2024-11-11 17:51:45,712 | server_app.py:107 | min num clients 2
dv - | INFO flwr 2024-11-11 17:51:45,712 | server_app.py:108 | num server rounds 200
dv - | INFO flwr 2024-11-11 17:51:45,712 | server_app.py:109 | config num local epochs 10
dv - | INFO flwr 2024-11-11 17:51:45,713 | server_app.py:110 | advanced logging False
dv - | INFO flwr 2024-11-11 17:51:45,713 | server_app.py:111 | partition: dirichlet
dv - | INFO flwr 2024-11-11 17:51:45,713 | server_app.py:112 | fraction: 2
dv - | INFO flwr 2024-11-11 17:51:45,713 | app.py:74 | Starting Flower ServerApp, config: num_rounds=200, no round_timeout
dv - | INFO flwr 2024-11-11 17:51:45,713 | app.py:79 | 
dv - | INFO flwr 2024-11-11 17:51:45,713 | server.py:92 | [INIT]
dv - | INFO flwr 2024-11-11 17:51:45,713 | server.py:277 | Using initial global parameters provided by strategy
dv - | INFO flwr 2024-11-11 17:51:45,713 | server.py:94 | Starting evaluation of initial global parameters
dv - | INFO flwr 2024-11-11 17:51:45,713 | server.py:106 | Evaluation returned no results (`None`)
dv - | INFO flwr 2024-11-11 17:51:45,713 | server.py:112 | 
dv - | INFO flwr 2024-11-11 17:51:45,713 | server.py:113 | [ROUND 1]
dv - | DEBUG flwr 2024-11-11 17:51:45,713 | fed_custom.py:174 | SMART sample
dv - | INFO flwr 2024-11-11 17:51:45,713 | fed_custom.py:200 | configure_fit: strategy returns 9 out of range 26 and round 13
dv - | INFO flwr 2024-11-11 17:51:45,713 | server.py:226 | configure_fit: strategy sampled 9 clients (out of 50)
dv - | DEBUG flwr 2024-11-11 17:51:47,903 | raybackend.py:141 | Constructed ActorPool with: 12 actors
dv - | DEBUG flwr 2024-11-11 17:51:47,904 | state_factory.py:50 | Using InMemoryState
dv - | INFO flwr 2024-11-11 17:51:54,806 | server.py:240 | aggregate_fit: received 9 results and 0 failures
dv - | INFO flwr 2024-11-11 17:51:54,810 | server.py:178 | configure_evaluate: strategy sampled 50 clients (out of 50)
dv - | INFO flwr 2024-11-11 17:51:57,826 | server.py:192 | aggregate_evaluate: received 50 results and 0 failures
dv - | INFO flwr 2024-11-11 17:51:57,826 | fed_custom.py:294 | aggregated accuracy: 0.13859509080023946
dv - | INFO flwr 2024-11-11 17:51:57,826 | server.py:112 | 
dv - | INFO flwr 2024-11-11 17:51:57,826 | server.py:113 | [ROUND 2]
dv - | DEBUG flwr 2024-11-11 17:51:57,826 | fed_custom.py:174 | SMART sample
dv - | INFO flwr 2024-11-11 17:51:57,827 | fed_custom.py:200 | configure_fit: strategy returns 9 out of range 26 and round 13
dv - | INFO flwr 2024-11-11 17:51:57,827 | server.py:226 | configure_fit: strategy sampled 9 clients (out of 50)
dv - | INFO flwr 2024-11-11 17:52:00,633 | server.py:240 | aggregate_fit: received 9 results and 0 failures
dv - | INFO flwr 2024-11-11 17:52:00,636 | server.py:178 | configure_evaluate: strategy sampled 50 clients (out of 50)
dv - | INFO flwr 2024-11-11 17:52:01,062 | server.py:192 | aggregate_evaluate: received 50 results and 0 failures
dv - | INFO flwr 2024-11-11 17:52:01,062 | fed_custom.py:294 | aggregated accuracy: 0.1495709439233686
dv - | INFO flwr 2024-11-11 17:52:01,062 | server.py:112 | 
dv - | INFO flwr 2024-11-11 17:52:01,062 | server.py:113 | [ROUND 3]
dv - | DEBUG flwr 2024-11-11 17:52:01,062 | fed_custom.py:174 | SMART sample
dv - | INFO flwr 2024-11-11 17:52:01,062 | fed_custom.py:200 | configure_fit: strategy returns 5 out of range 24 and round 12
dv - | INFO flwr 2024-11-11 17:52:01,062 | server.py:226 | configure_fit: strategy sampled 5 clients (out of 50)
dv - | INFO flwr 2024-11-11 17:52:03,071 | server.py:240 | aggregate_fit: received 5 results and 0 failures
dv - | INFO flwr 2024-11-11 17:52:03,073 | server.py:178 | configure_evaluate: strategy sampled 50 clients (out of 50)
