round,accuracy,count
1,0.10526840949910198,7
2,0.10327279984035123,7
3,0.10896028736779086,5
4,0.10047894631810018,8
5,0.10786270205547795,13
6,0.10047894631810018,9
7,0.10067850728397526,7
8,0.09688684893234883,5
9,0.10097784873278787,6
10,0.10616643384553981,6
11,0.10047894631810018,7
12,0.10047894631810018,6
13,0.10327279984035123,5
14,0.0994811414887248,7
15,0.17541408900419078,9
16,0.09688684893234883,3
17,0.14059070045899022,9
18,0.15715426062662144,8
19,0.1367990421073638,5
20,0.10127719018160047,7
21,0.15416084613849532,7
22,0.1922769906206346,9
23,0.18539213729794451,7
24,0.21831969666733186,8
25,0.2356815006984634,6
26,0.17222111355018957,7
27,0.22829774496108562,7
28,0.227998403512273,11
29,0.2154260626621433,8
30,0.2613250848134105,8
31,0.16803033326681302,5
32,0.20474955098782677,9
33,0.25673518259828376,6
34,0.23109159848333666,9
35,0.24845340251446818,8
36,0.2664138894432249,9
37,0.18778686888844542,4
38,0.27070445020953904,5
39,0.20415086809020155,6
40,0.22011574536020753,7
41,0.24895230492915585,8
42,0.19936140490919976,7
43,0.27479545000997807,7
44,0.25703452404709637,7
45,0.20275394132907604,7
46,0.27130313310716425,8
47,0.29674715625623627,7
48,0.27988425463979244,12
49,0.2364797445619637,10
50,0.27369786469766516,11
51,0.2751945719417282,11
52,0.2173218918379565,6
53,0.23797645180602675,8
54,0.26062662143284776,9
55,0.29375374176811014,5
56,0.2779884254639792,9
57,0.31321093594092997,9
58,0.19247655158650967,5
59,0.29794452205148675,12
60,0.29964079026142487,8
61,0.33027339852324883,7
62,0.3133107164238675,5
63,0.2602274995010976,6
64,0.26960686489722613,8
65,0.30902015565755336,9
66,0.3104170824186789,7
67,0.27070445020953904,9
68,0.2662143284773498,7
69,0.32069447216124525,6
70,0.32129315505887046,7
71,0.344043105168629,5
72,0.2938535222510477,7
73,0.3257832767910597,10
74,0.2915585711434843,6
75,0.25703452404709637,9
76,0.2628217920574736,10
77,0.32548393534224707,7
78,0.2922570345240471,8
79,0.3586110556775095,4
80,0.3139093993214927,8
81,0.2704051087607264,7
82,0.2680103771702255,3
83,0.2888644981041708,7
84,0.3042306924765516,7
85,0.3567152265016963,9
86,0.3725803232887647,6
87,0.26940730393135104,7
88,0.29345440031929754,6
89,0.34843344641788065,7
90,0.3532229095988825,8
91,0.3421472759928158,6
92,0.3696866892835761,10
93,0.3053282777888645,6
94,0.3616044701656356,8
95,0.2623228896427859,4
96,0.36948712831770103,8
97,0.3008381560566753,6
98,0.32468569147874676,8
99,0.3523248852524446,8
100,0.3527240071841948,7
101,0.24655757333865497,7
102,0.32199161843943325,5
103,0.2888644981041708,7
104,0.3131111554579924,7
105,0.36409898223907405,8
106,0.36010776292157254,9
107,0.3558172021552584,13
108,0.3832568349630812,7
109,0.3469367391738176,8
110,0.3438435442027539,7
111,0.3161045699461185,4
112,0.35960886050688484,12
113,0.29744561963679905,7
114,0.34593893434444223,6
115,0.3562163240870086,5
116,0.38734783476352025,7
117,0.37657154260626624,8
118,0.2938535222510477,4
119,0.3523248852524446,7
120,0.33685891039712634,8
121,0.3578128118140092,10
122,0.3942326880862103,8
123,0.33186988625024944,8
124,0.3959289562961485,6
125,0.3784673717820794,10
126,0.34593893434444223,9
127,0.24017162243065257,4
128,0.32368788664937137,6
129,0.3175014967072441,7
130,0.36250249451207345,10
131,0.33186988625024944,6
132,0.33236878866493713,5
133,0.354619836360008,8
134,0.3550189582917581,7
135,0.37297944522051485,6
136,0.34903212931550587,5
137,0.36110556775094793,5
138,0.37138295749351424,9
139,0.3650967870684494,6
140,0.3780682498503293,8
141,0.389343444422271,7
142,0.3693873478347635,6
143,0.3861504689682698,7
144,0.3657952504490122,7
145,0.3576132508481341,7
146,0.35052883655956896,6
147,0.3898423468369587,9
148,0.33286769107962483,7
149,0.34883256834963083,6
150,0.4005188585112752,8
151,0.39263620035920976,10
152,0.41349032129315505,8
153,0.3843544202753941,8
154,0.42945519856316106,7
155,0.3616044701656356,6
156,0.3274795450009978,6
157,0.3837557373777689,8
158,0.3829574935142686,9
159,0.4054081021752145,7
160,0.419976052684095,8
161,0.35641588505288363,6
162,0.3924366393933347,5
163,0.3810616643384554,6
164,0.4437238076232289,7
165,0.37457593294751546,5
166,0.31291159449211736,11
167,0.4234683695869088,8
168,0.33496308122131313,8
169,0.338654959090002,4
170,0.4108960287367791,7
171,0.4048094192775893,8
172,0.3927359808421473,6
173,0.3775693474356416,7
174,0.42626222310915984,10
175,0.40341249251646377,8
176,0.3558172021552584,4
177,0.356116543604071,6
178,0.39822390740371183,7
179,0.3680902015565755,7
180,0.4220714428257833,6
181,0.40031929754540013,5
182,0.4488126122530433,11
183,0.44921173418479343,7
184,0.38864498104170825,6
185,0.40301337058471365,10
186,0.42795849131909797,8
187,0.45420075833167034,6
188,0.4100977848732788,8
189,0.3011374975054879,5
190,0.43873478347635203,7
191,0.43184993015366197,10
192,0.41618439433246857,8
193,0.40381161444821395,6
194,0.4421273198962283,8
195,0.3822590301337058,5
196,0.42306924765515863,6
197,0.3450409099980044,5
198,0.4386350029934145,7
199,0.38954300538814607,7
200,0.421273198962283,10
201,0.3965276391937737,8
202,0.40261424865296347,7
203,0.40411095589702656,6
204,0.3675912991418879,6
205,0.4469167830772301,8
206,0.40021951706246256,9
207,0.4349431251247256,7
208,0.3264817401716224,4
209,0.42925563759728597,10
210,0.4189782478547196,9
211,0.45300339253641986,7
212,0.3581121532628218,8
213,0.4370385152664139,5
214,0.41698263819596887,5
215,0.4490121732189184,8
216,0.3941329076032728,6
217,0.40331271203352625,8
218,0.46657353821592495,9
219,0.39822390740371183,12
220,0.40271402913590104,7
221,0.40999800439034123,8
222,0.4184793454400319,7
223,0.40161644382358813,5
224,0.422570345240471,5
225,0.3912392735980842,5
226,0.4509080023947316,9
227,0.45260427060466973,6
228,0.46487727000598683,6
229,0.410696467770904,10
230,0.39263620035920976,5
231,0.46926761125523847,9
232,0.45260427060466973,7
233,0.4091997605268409,5
234,0.43184993015366197,7
235,0.44023149072041506,8
236,0.36300139692676114,4
237,0.47106365994811417,7
238,0.42815805228497306,8
239,0.4098982239074037,5
240,0.3806625424067053,9
241,0.46807024545998804,9
242,0.41349032129315505,5
243,0.4826381959688685,7
244,0.41329076032727996,6
245,0.485332269008182,10
246,0.38924366393933346,4
247,0.44362402714029137,7
248,0.3576132508481341,6
249,0.47824785471961684,8
250,0.37567351825982837,8
251,0.463979245659549,8
252,0.4453202953502295,5
253,0.4151865895030932,6
254,0.4488126122530433,7
255,0.4108960287367791,7
256,0.4733586110556775,6
257,0.43264817401716227,7
258,0.4590900019956097,11
259,0.34524047096387944,6
260,0.45619636799042107,5
261,0.4611853921372979,10
262,0.44192775893035324,6
263,0.4703651965675514,9
264,0.4345440031929755,5
265,0.4852324885252445,6
266,0.4479145879066055,8
267,0.3567152265016963,8
268,0.42706046697266015,5
269,0.41877868688884456,7
270,0.5090800239473159,8
271,0.4993015366194372,9
272,0.42845739373378566,5
273,0.43643983236878864,5
274,0.42526441827978445,6
275,0.506685292356815,10
276,0.4909199760526841,11
277,0.4776491718219916,9
278,0.4381361005787268,7
279,0.4458191977649172,8
280,0.4653761724206745,6
281,0.5167631211335063,7
282,0.4887248054280583,8
283,0.42416683296747154,7
284,0.4085012971462782,7
285,0.46886848932348835,5
286,0.37667132308920376,4
287,0.4625823188984235,7
288,0.41239273598084214,5
289,0.4443224905208541,8
290,0.45579724605867095,6
291,0.4602873677908601,7
292,0.4209738575134704,7
293,0.5153661943723807,8
294,0.4337457593294752,8
295,0.4722610257433646,7
296,0.4341448812612253,5
297,0.4135901017760926,4
298,0.46497705048892435,7
299,0.4868289762522451,8
300,0.40011973657952504,6
301,0.4567950508880463,10
302,0.4077030532827779,6
303,0.48024346437836757,5
304,0.441329076032728,8
305,0.47106365994811417,7
306,0.4868289762522451,7
307,0.48174017162243066,6
308,0.48044302534424266,9
309,0.41688285771303135,6
310,0.5011973657952504,10
311,0.4620834164837358,5
312,0.40281380961883856,3
313,0.4329475154659749,7
314,0.4610856116543604,7
315,0.4490121732189184,6
316,0.4700658551187388,8
317,0.4752544402314907,7
318,0.44352424665735385,6
319,0.4341448812612253,7
320,0.48094192775893035,7
321,0.46677309918180004,12
322,0.49361404909199763,10
323,0.45619636799042107,7
324,0.5100778287766913,7
325,0.3532229095988825,4
326,0.46797046497705047,7
327,0.4575932947515466,8
328,0.49550987826781084,8
329,0.4466174416284175,7
330,0.4512073438435442,7
331,0.4995010975853123,6
332,0.44462183196966676,6
333,0.46547595290361204,10
334,0.4742566354021153,8
335,0.44023149072041506,6
336,0.48004390341249253,6
337,0.5102773897425663,6
338,0.46896826980642586,6
339,0.4731590500898024,10
340,0.5029934144881261,7
341,0.44122929554979046,10
342,0.4888245859109958,9
343,0.4854320494911195,7
344,0.42626222310915984,3
345,0.38635002993414486,6
346,0.4876272201157454,4
347,0.46617441628417483,9
348,0.4997006585511874,10
349,0.5114747555378168,7
350,0.497405707443624,6
351,0.47774895230492914,8
352,0.4878267810816204,7
353,0.4564957094392337,8
354,0.5061863899421273,8
355,0.45340251446817004,10
356,0.46807024545998804,7
357,0.44142885651566555,8
358,0.4703651965675514,8
359,0.4906206346038715,7
360,0.4451207343843544,8
361,0.521153462382758,8
362,0.48383556176411896,5
363,0.5109758531231291,9
364,0.40460985831171425,7
365,0.3987228098183995,5
366,0.46148473358611053,5
367,0.4738575134703652,9
368,0.5102773897425663,10
369,0.4440231490720415,6
370,0.45659548992217125,9
371,0.42526441827978445,7
372,0.48084214727599284,9
373,0.4434244661744163,6
374,0.4861305128716823,8
375,0.4470165635601676,6
376,0.4741568549191778,9
377,0.5049890241468769,7
378,0.4228696866892836,7
379,0.460087806824985,5
380,0.4209738575134704,6
381,0.4741568549191778,7
382,0.4203751746158451,3
383,0.42566354021153463,6
384,0.49590900019956097,9
385,0.49361404909199763,7
386,0.5247455597685092,7
