dv - | INFO flwr 2024-11-12 16:34:03,636 | server_app.py:105 | file writing: True
dv - | INFO flwr 2024-11-12 16:34:03,636 | server_app.py:106 | running in fed_avg
dv - | INFO flwr 2024-11-12 16:34:03,636 | server_app.py:107 | min num clients 2
dv - | INFO flwr 2024-11-12 16:34:03,636 | server_app.py:108 | num server rounds 200
dv - | INFO flwr 2024-11-12 16:34:03,636 | server_app.py:109 | config num local epochs 10
dv - | INFO flwr 2024-11-12 16:34:03,636 | server_app.py:110 | advanced logging False
dv - | INFO flwr 2024-11-12 16:34:03,636 | server_app.py:111 | partition: shard
dv - | INFO flwr 2024-11-12 16:34:03,636 | server_app.py:112 | fraction: 2
dv - | INFO flwr 2024-11-12 16:34:03,636 | app.py:74 | Starting Flower ServerApp, config: num_rounds=200, no round_timeout
dv - | INFO flwr 2024-11-12 16:34:03,636 | app.py:79 | 
dv - | INFO flwr 2024-11-12 16:34:03,637 | server.py:92 | [INIT]
dv - | INFO flwr 2024-11-12 16:34:03,637 | server.py:277 | Using initial global parameters provided by strategy
dv - | INFO flwr 2024-11-12 16:34:03,637 | server.py:94 | Starting evaluation of initial global parameters
dv - | INFO flwr 2024-11-12 16:34:03,637 | server.py:106 | Evaluation returned no results (`None`)
dv - | INFO flwr 2024-11-12 16:34:03,637 | server.py:112 | 
dv - | INFO flwr 2024-11-12 16:34:03,637 | server.py:113 | [ROUND 1]
dv - | DEBUG flwr 2024-11-12 16:34:03,637 | fed_custom.py:179 | random sample
dv - | INFO flwr 2024-11-12 16:34:03,637 | fed_custom.py:200 | configure_fit: strategy returns 9 out of range 51 and round 25
dv - | INFO flwr 2024-11-12 16:34:03,637 | server.py:226 | configure_fit: strategy sampled 9 clients (out of 100)
dv - | DEBUG flwr 2024-11-12 16:34:06,851 | raybackend.py:141 | Constructed ActorPool with: 12 actors
dv - | DEBUG flwr 2024-11-12 16:34:06,851 | state_factory.py:50 | Using InMemoryState
dv - | INFO flwr 2024-11-12 16:34:11,960 | server.py:240 | aggregate_fit: received 9 results and 0 failures
dv - | WARNING flwr 2024-11-12 16:34:11,962 | federal_avg.py:121 | No fit_metrics_aggregation_fn provided
dv - | INFO flwr 2024-11-12 16:34:11,962 | server.py:178 | configure_evaluate: strategy sampled 100 clients (out of 100)
dv - | INFO flwr 2024-11-12 16:34:15,072 | server.py:192 | aggregate_evaluate: received 100 results and 0 failures
dv - | INFO flwr 2024-11-12 16:34:15,072 | fed_custom.py:294 | aggregated accuracy: 0.1055
dv - | INFO flwr 2024-11-12 16:34:15,072 | server.py:112 | 
dv - | INFO flwr 2024-11-12 16:34:15,072 | server.py:113 | [ROUND 2]
dv - | DEBUG flwr 2024-11-12 16:34:15,073 | fed_custom.py:179 | random sample
dv - | INFO flwr 2024-11-12 16:34:15,073 | fed_custom.py:200 | configure_fit: strategy returns 12 out of range 52 and round 26
dv - | INFO flwr 2024-11-12 16:34:15,073 | server.py:226 | configure_fit: strategy sampled 12 clients (out of 100)
dv - | INFO flwr 2024-11-12 16:34:16,631 | server.py:240 | aggregate_fit: received 12 results and 0 failures
dv - | INFO flwr 2024-11-12 16:34:16,634 | server.py:178 | configure_evaluate: strategy sampled 100 clients (out of 100)
dv - | INFO flwr 2024-11-12 16:34:17,150 | server.py:192 | aggregate_evaluate: received 100 results and 0 failures
dv - | INFO flwr 2024-11-12 16:34:17,150 | fed_custom.py:294 | aggregated accuracy: 0.1264
dv - | INFO flwr 2024-11-12 16:34:17,150 | server.py:112 | 
dv - | INFO flwr 2024-11-12 16:34:17,150 | server.py:113 | [ROUND 3]
dv - | DEBUG flwr 2024-11-12 16:34:17,150 | fed_custom.py:179 | random sample
dv - | INFO flwr 2024-11-12 16:34:17,150 | fed_custom.py:200 | configure_fit: strategy returns 7 out of range 48 and round 24
dv - | INFO flwr 2024-11-12 16:34:17,150 | server.py:226 | configure_fit: strategy sampled 7 clients (out of 100)
dv - | INFO flwr 2024-11-12 16:34:18,455 | server.py:240 | aggregate_fit: received 7 results and 0 failures
dv - | INFO flwr 2024-11-12 16:34:18,457 | server.py:178 | configure_evaluate: strategy sampled 100 clients (out of 100)
dv - | INFO flwr 2024-11-12 16:34:19,277 | server.py:192 | aggregate_evaluate: received 100 results and 0 failures
dv - | INFO flwr 2024-11-12 16:34:19,277 | fed_custom.py:294 | aggregated accuracy: 0.1017
dv - | INFO flwr 2024-11-12 16:34:19,277 | server.py:112 | 
dv - | INFO flwr 2024-11-12 16:34:19,277 | server.py:113 | [ROUND 4]
dv - | DEBUG flwr 2024-11-12 16:34:19,277 | fed_custom.py:179 | random sample
dv - | INFO flwr 2024-11-12 16:34:19,277 | fed_custom.py:200 | configure_fit: strategy returns 8 out of range 49 and round 24
dv - | INFO flwr 2024-11-12 16:34:19,277 | server.py:226 | configure_fit: strategy sampled 8 clients (out of 100)
dv - | INFO flwr 2024-11-12 16:34:20,780 | server.py:240 | aggregate_fit: received 8 results and 0 failures
dv - | INFO flwr 2024-11-12 16:34:20,783 | server.py:178 | configure_evaluate: strategy sampled 100 clients (out of 100)
