round,accuracy,count
1,0.11235955056179775,51
2,0.12335143522110163,52
3,0.15443037974683543,48
4,0.0859437751004016,49
5,0.09988518943742825,69
6,0.1031578947368421,57
7,0.09815950920245399,51
8,0.10126582278481013,37
9,0.11491442542787286,49
10,0.13738959764474976,40
11,0.09512937595129375,50
12,0.12309074573225516,45
13,0.0971107544141252,49
14,0.11702127659574468,52
15,0.10800970873786407,65
16,0.13793103448275862,47
17,0.08866615265998458,54
18,0.08163265306122448,53
19,0.11629881154499151,43
20,0.0980720871751886,46
21,0.10190615835777127,51
22,0.11811023622047244,43
23,0.13230994152046785,53
24,0.13636363636363635,49
25,0.14428857715430862,42
26,0.138109305760709,53
27,0.12861136999068035,43
28,0.15279770444763272,57
29,0.12109115103127079,58
30,0.12232204561161023,55
31,0.17102966841186737,45
32,0.1546134663341646,46
33,0.16380789022298456,46
34,0.15368421052631578,36
35,0.15564516129032258,51
36,0.17520661157024794,50
37,0.17335243553008595,52
38,0.1709470304975923,46
39,0.12036108324974924,41
40,0.14486754966887416,45
41,0.14750198255352895,52
42,0.12292118582791034,58
43,0.1369765791341377,54
44,0.15590008613264428,44
45,0.11846153846153847,52
46,0.1281645569620253,49
47,0.13401310997815002,54
48,0.1426553672316384,57
49,0.13428766189502386,60
50,0.13703943115707823,60
51,0.13177159590043924,55
52,0.14017595307917888,67
53,0.1420545746388443,48
54,0.13846153846153847,53
55,0.17907148120854827,52
56,0.11494252873563218,41
57,0.15860014892032762,51
58,0.1550759392486011,51
59,0.16774193548387098,53
60,0.1630170316301703,61
61,0.14571190674437967,49
62,0.12764456981664316,57
63,0.1407035175879397,42
64,0.1911864406779661,57
65,0.13360323886639677,48
66,0.1807044410413476,54
67,0.16395978344934262,55
68,0.1503267973856209,50
69,0.17690875232774675,43
70,0.14809688581314878,57
71,0.17114914425427874,47
72,0.16405667412378822,54
73,0.17582417582417584,42
74,0.1498371335504886,52
75,0.16362530413625304,63
76,0.15987701767870868,51
77,0.14169491525423727,55
78,0.1784037558685446,48
79,0.16979714500375656,55
80,0.16680227827502034,44
81,0.15526601520086863,35
82,0.18093556928508384,46
83,0.21269579554822754,47
84,0.1346548188653452,54
85,0.16072842438638163,51
86,0.15362526920315864,53
87,0.14210061782877317,46
88,0.18529862174578868,52
89,0.14938080495356038,53
90,0.1774600504625736,45
91,0.17208672086720866,54
92,0.1664626682986536,65
93,0.13616652211621855,45
94,0.13475760065735415,50
95,0.15022222222222223,43
96,0.15327257663628832,47
97,0.19736842105263158,45
98,0.14162234042553193,59
99,0.115748031496063,50
100,0.18032786885245902,55
101,0.12868217054263567,51
102,0.11838306063522618,41
103,0.16570008285004142,47
104,0.1590749824807288,56
105,0.15824915824915825,61
106,0.1943381790359602,51
107,0.1849942726231386,69
108,0.1971326164874552,44
109,0.20097020097020096,54
110,0.17548500881834214,45
111,0.19754464285714285,36
112,0.18228829993535875,64
113,0.17851373182552505,53
114,0.19327073552425664,45
115,0.1778496362166532,52
116,0.1551433389544688,47
117,0.17988252569750368,50
118,0.16834170854271358,47
119,0.1919945725915875,57
120,0.18949771689497716,50
121,0.1606060606060606,39
122,0.1738544474393531,61
123,0.18416370106761565,46
124,0.18311036789297658,48
125,0.17994376757263356,41
126,0.19312362838332114,55
127,0.19482288828337874,56
128,0.1858974358974359,38
129,0.18879508825786645,54
130,0.20347394540942929,48
131,0.20563195808775375,59
132,0.22281639928698752,45
133,0.1838150289017341,35
134,0.16906170752324598,45
135,0.19619326500732065,54
136,0.1679454390451833,45
137,0.19263456090651557,42
138,0.19944979367262725,56
139,0.19368600682593856,45
140,0.21347464042392128,52
141,0.22686832740213522,47
142,0.20679245283018868,49
143,0.19750519750519752,57
144,0.2097560975609756,50
145,0.19158200290275762,53
146,0.20045906656465187,48
147,0.2220484753713839,51
148,0.20283436669619131,45
149,0.21908713692946058,48
150,0.1992373689227836,43
151,0.19485580670303976,51
152,0.20052424639580602,60
153,0.21177315147164394,55
154,0.25170489770613763,61
155,0.23265895953757226,54
156,0.22803487592219987,56
157,0.23008057296329454,44
158,0.24767540152155537,49
159,0.2513020833333333,59
160,0.24602272727272728,66
161,0.2604456824512535,57
162,0.2642526964560863,53
163,0.24494142705005326,36
164,0.24895572263993315,45
165,0.24046140195208518,47
166,0.28979907264296756,48
167,0.2322910019144863,59
168,0.26525630593978844,46
169,0.2602739726027397,52
170,0.2889576883384933,37
171,0.2620689655172414,44
172,0.24517374517374518,41
173,0.2529296875,40
174,0.26849733028222733,48
175,0.26165413533834586,53
176,0.2594171997157072,56
177,0.25774134790528236,44
178,0.24511545293072823,44
179,0.263249348392702,50
180,0.28861154446177845,51
181,0.2534001431639227,54
182,0.28165374677002586,47
183,0.2585278276481149,63
184,0.28900709219858156,44
185,0.259581881533101,44
186,0.25316455696202533,66
187,0.24303987960872836,54
188,0.23201438848920863,45
189,0.302836230558097,47
190,0.24559859154929578,44
191,0.26617526617526616,49
192,0.25,58
193,0.2690794649881983,50
194,0.24816326530612245,53
195,0.27398119122257053,64
196,0.2531779661016949,37
197,0.25413826679649465,42
198,0.2533062054933876,41
199,0.3169491525423729,47
200,0.26666666666666666,45
201,0.2506265664160401,61
202,0.24829674489023468,51
203,0.26739640344018767,49
204,0.25440806045340053,44
205,0.27416666666666667,46
206,0.2428219852337982,50
207,0.24754244861483468,46
208,0.2764438676184296,59
209,0.29498269896193774,45
210,0.2665350444225074,39
211,0.27157738095238093,55
212,0.2545180722891566,52
213,0.2955575702629193,43
214,0.3202005730659026,54
215,0.23516153268219384,51
216,0.25784238714613616,51
217,0.27253218884120173,38
218,0.25184094256259204,52
219,0.26865671641791045,43
220,0.252,52
221,0.3256916996047431,52
222,0.2877574370709382,69
223,0.2843497428361499,54
224,0.2415686274509804,50
225,0.2945351312987935,57
226,0.2902746844840386,49
227,0.31259600614439326,54
228,0.3142857142857143,44
229,0.2765636774679729,53
230,0.27078734363502577,52
231,0.2793427230046948,50
232,0.2896764252696456,51
233,0.26309067688378035,62
234,0.2938856015779093,42
235,0.2851919561243144,66
236,0.2553606237816764,42
237,0.2673434856175973,49
238,0.2677746999076639,42
239,0.3048211508553655,49
240,0.25429799426934097,54
241,0.25598086124401914,32
242,0.28032544378698226,54
243,0.29846938775510207,47
244,0.29829545454545453,42
245,0.28134556574923547,54
246,0.3067577828397874,52
247,0.2772727272727273,45
248,0.29156999226604796,50
