dv - | INFO flwr 2024-11-05 16:01:21,134 | server_app.py:101 | file writing: True
dv - | INFO flwr 2024-11-05 16:01:21,134 | server_app.py:102 | running in fed_avg
dv - | INFO flwr 2024-11-05 16:01:21,134 | server_app.py:103 | min num clients 2
dv - | INFO flwr 2024-11-05 16:01:21,134 | server_app.py:104 | num server rounds 200
dv - | INFO flwr 2024-11-05 16:01:21,134 | server_app.py:105 | config num local epochs 10
dv - | INFO flwr 2024-11-05 16:01:21,134 | server_app.py:106 | advanced logging False
dv - | INFO flwr 2024-11-05 16:01:21,134 | server_app.py:107 | partition: iid
dv - | INFO flwr 2024-11-05 16:01:21,134 | server_app.py:108 | fraction: 2
dv - | INFO flwr 2024-11-05 16:01:21,134 | app.py:74 | Starting Flower ServerApp, config: num_rounds=200, no round_timeout
dv - | INFO flwr 2024-11-05 16:01:21,134 | app.py:79 | 
dv - | INFO flwr 2024-11-05 16:01:21,134 | server.py:92 | [INIT]
dv - | INFO flwr 2024-11-05 16:01:21,134 | server.py:277 | Using initial global parameters provided by strategy
dv - | INFO flwr 2024-11-05 16:01:21,134 | server.py:94 | Starting evaluation of initial global parameters
dv - | INFO flwr 2024-11-05 16:01:21,134 | server.py:106 | Evaluation returned no results (`None`)
dv - | INFO flwr 2024-11-05 16:01:21,134 | server.py:112 | 
dv - | INFO flwr 2024-11-05 16:01:21,135 | server.py:113 | [ROUND 1]
dv - | DEBUG flwr 2024-11-05 16:01:21,135 | fed_custom.py:164 | random sample
dv - | INFO flwr 2024-11-05 16:01:21,135 | server.py:226 | configure_fit: strategy sampled 33 clients (out of 100)
dv - | DEBUG flwr 2024-11-05 16:01:24,254 | raybackend.py:141 | Constructed ActorPool with: 12 actors
dv - | DEBUG flwr 2024-11-05 16:01:24,254 | state_factory.py:50 | Using InMemoryState
dv - | INFO flwr 2024-11-05 16:01:32,495 | server.py:240 | aggregate_fit: received 33 results and 0 failures
dv - | WARNING flwr 2024-11-05 16:01:32,503 | federal_avg.py:121 | No fit_metrics_aggregation_fn provided
dv - | INFO flwr 2024-11-05 16:01:32,503 | server.py:178 | configure_evaluate: strategy sampled 33 clients (out of 100)
dv - | INFO flwr 2024-11-05 16:01:32,817 | server.py:192 | aggregate_evaluate: received 33 results and 0 failures
